	Forms_Biofilms
356942	FALSE
557211	FALSE
1065569	FALSE
701393	FALSE
2550290	FALSE
1110665	FALSE
806354	FALSE
300387	FALSE
3114949	FALSE
1500147	FALSE
4329303	FALSE
4437259	FALSE
863019	FALSE
98258	FALSE
4451400	FALSE
212239	FALSE
210958	FALSE
978072	FALSE
160903	FALSE
2743133	FALSE
539508	FALSE
309693	FALSE
571304	FALSE
2932342	FALSE
155521	FALSE
3240665	FALSE
1015143	FALSE
104310	FALSE
427183	FALSE
325677	FALSE
832260	FALSE
4326288	FALSE
833257	FALSE
181641	FALSE
549144	FALSE
622992	FALSE
536947	FALSE
324488	FALSE
529653	FALSE
40401	FALSE
1107711	FALSE
275275	FALSE
4343435	FALSE
112259	FALSE
1111413	FALSE
112352	FALSE
14917	FALSE
2055428	FALSE
761601	FALSE
257221	FALSE
817013	FALSE
4465677	FALSE
2153390	FALSE
4359327	FALSE
1107031	FALSE
4195126	FALSE
1845162	FALSE
1114358	FALSE
2740140	FALSE
141607	FALSE
790466	FALSE
339359	FALSE
3192521	FALSE
517031	FALSE
1078375	FALSE
538924	FALSE
14475	FALSE
3348667	FALSE
4340807	FALSE
310249	FALSE
209523	FALSE
537062	FALSE
849585	FALSE
591796	FALSE
330263	FALSE
114176	FALSE
3956482	FALSE
206386	FALSE
4425615	FALSE
563796	FALSE
1134274	FALSE
370067	FALSE
4324360	FALSE
829240	FALSE
1112192	FALSE
1787054	FALSE
543572	FALSE
646478	FALSE
469663	FALSE
62921	FALSE
221294	FALSE
2776653	FALSE
512121	FALSE
351673	FALSE
3213372	FALSE
1106960	FALSE
759250	FALSE
4312329	FALSE
809730	FALSE
2401319	FALSE
21210	FALSE
668615	FALSE
1731151	FALSE
590604	FALSE
246853	FALSE
540643	FALSE
10724	FALSE
4359533	FALSE
170883	FALSE
259809	FALSE
313174	FALSE
772190	FALSE
518263	FALSE
612198	FALSE
815435	FALSE
146126	FALSE
812016	FALSE
65700	FALSE
782472	FALSE
678059	FALSE
321346	FALSE
334363	FALSE
141106	FALSE
4073887	FALSE
1048194	FALSE
2191823	FALSE
2051733	FALSE
329032	FALSE
251620	FALSE
7511	FALSE
4024143	FALSE
3829182	FALSE
4426298	FALSE
1560939	FALSE
134174	FALSE
1128225	FALSE
4478053	FALSE
938948	FALSE
106690	FALSE
3645942	FALSE
951711	FALSE
2804901	FALSE
4475220	FALSE
154682	FALSE
564586	FALSE
4221693	FALSE
4475254	FALSE
838990	FALSE
3683949	FALSE
1591297	FALSE
1967331	FALSE
237991	FALSE
4462887	FALSE
4357289	FALSE
962249	FALSE
150851	FALSE
624099	FALSE
806030	FALSE
238940	FALSE
1040796	FALSE
17901	FALSE
256758	FALSE
1016369	FALSE
4374557	FALSE
33606	FALSE
146556	FALSE
4481373	FALSE
250908	FALSE
931727	FALSE
811571	FALSE
758320	FALSE
808440	FALSE
4451743	FALSE
830956	FALSE
3860285	FALSE
632342	FALSE
693124	FALSE
2853353	FALSE
3905299	FALSE
254116	FALSE
567670	FALSE
581316	FALSE
164443	FALSE
933546	FALSE
693333	FALSE
242119	FALSE
1028542	FALSE
570595	FALSE
246636	FALSE
694505	FALSE
1106085	FALSE
254951	FALSE
589277	FALSE
335960	FALSE
664541	FALSE
727369	FALSE
2143302	FALSE
555217	FALSE
135965	FALSE
