,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,outside of CI mean,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
3e550bfa735f87b9632cf3cea01ea3b6,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Bacteria,Patescibacteria,Microgenomatia,Candidatus_Chisholmbacteria,Candidatus_Chisholmbacteria,NA,NA
4b69d04d08b4929422bf2fc60f8bd2d0,8.56E-06,0.007334963,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.708,6.86E+01,1.10E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Algiphilaceae,NA,NA
a37be4a971144e89b11cdaad389bbbf6,8.56E-06,0.009779951,0.000456194,1.22E-05,0.01684895,0.004,0.120,2.277,1.77E+01,-1.35E-03,neutral,d__Archaea,Asgardarchaeota,Odinarchaeia,Odinarchaeia,Odinarchaeia,NA,NA
c8caf204cfe446d7d0ab23fc51a9f9a5,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,uncultured,NA,NA
d8f3a1ece25c2f5b163d0c01fe184a04,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Unclassified Saccharimonadales,NA,NA
fffec351728399c096cab8503a023abc,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Archaea,Aenigmarchaeota,Unclassified Aenigmarchaeota,Unclassified Aenigmarchaeota,Unclassified Aenigmarchaeota,NA,NA
0dc87278db45f2b7090f480429057f60,9.78E-06,0.007334963,0.000521349,1.58E-05,0.016973577,0.004,0.121,1.696,7.04E+01,1.16E-03,neutral,d__Bacteria,Bdellovibrionota,Unclassified Bdellovibrionota,Unclassified Bdellovibrionota,Unclassified Bdellovibrionota,NA,NA
0e09ae159032df7bf6499d653dea622d,9.78E-06,0.004889976,0.000521349,1.58E-05,0.016973577,0.004,0.121,1.130,2.05E+02,3.60E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Unclassified SAR11_clade,NA,NA
11b035bedd12c9faac29bcca46444bc5,9.78E-06,0.002444988,0.000521349,1.58E-05,0.016973577,0.004,0.121,0.565,4.58E+02,6.05E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,NA,NA
42672d31c50315d865cd6413b3f8a6cb,9.78E-06,0.002444988,0.000521349,1.58E-05,0.016973577,0.004,0.121,0.565,4.58E+02,6.05E-03,neutral,d__Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA,NA
4c5b136ba516e868b2f7624de8ffe2dc,9.78E-06,0.002444988,0.000521349,1.58E-05,0.016973577,0.004,0.121,0.565,4.58E+02,6.05E-03,neutral,d__Bacteria,Chloroflexi,Dehalococcoidia,661239,661239,NA,NA
a4d31f395ba8c31446339babb60fc450,9.78E-06,0.002444988,0.000521349,1.58E-05,0.016973577,0.004,0.121,0.565,4.58E+02,6.05E-03,neutral,d__Bacteria,Spirochaetota,V2072-189E03,V2072-189E03,V2072-189E03,NA,NA
