,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,outside of CI mean,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
5ab3d4259851c7cfcb261698eb42751d,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Patescibacteria,Microgenomatia,Candidatus_Gottesmanbacteria,Candidatus_Gottesmanbacteria,NA,NA
5ebf44ffd0a032b448a6d05a40101015,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,HglApr721,HglApr721,NA,NA
647ab5eaff0156530511517511eb593a,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales,NA,NA
715b188c4bfe03d4608931f52cd9eda2,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Unclassified Thermosynechococcales,NA,NA
82ece182c5721be0e317e8c3c9078add,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Actinobacteriota,Thermoleophilia,uncultured,uncultured,NA,NA
863e0b9a5bc0fd273e63588df230cfdc,2.44E-06,0.004889976,0.000130361,1.03E-06,0.016218809,0.004,0.116,1.182,1.88E+02,3.22E-03,neutral,d__Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Unclassified Vampirovibrionales,NA,NA
8cf1864fedeab4dbee5f77a06f6cfd01,2.44E-06,0.004889976,0.000130361,1.03E-06,0.016218809,0.004,0.116,1.182,1.88E+02,3.22E-03,neutral,d__Bacteria,Firmicutes,Bacilli,RF39,RF39,NA,NA
95b409b69224fcb53c28d8c007082c95,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA
ade05e7d9c1bf6f0739ab6c799d6cc13,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Actinobacteriota,Coriobacteriia,CG2-30-50-142,CG2-30-50-142,NA,NA
b67db1f3b3530dc0b163c757d72aee3d,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Prochlorotrichaceae,NA,NA
bed44607ad8083c60e179c1564f5ac23,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,NA,NA
c4b43ff4f73ff004a468ca2890a9cf06,2.44E-06,0.004889976,0.000130361,1.03E-06,0.016218809,0.004,0.116,1.182,1.88E+02,3.22E-03,neutral,d__Bacteria,Sumerlaeota,Sumerlaeia,Unclassified Sumerlaeia,Unclassified Sumerlaeia,NA,NA
c755b0eca00b1eed24c5baa63e7fa846,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,Unclassified Thermomicrobiales,NA,NA
e68a0cbde1885a0e65924878c753ef5e,2.44E-06,0.002444988,0.000130361,1.03E-06,0.016218809,0.004,0.116,0.591,4.44E+02,5.66E-03,neutral,d__Bacteria,Chloroflexi,Dehalococcoidia,H3.93,H3.93,NA,NA
ed45da4f43092451012465b82869b269,2.44E-06,0.004889976,0.000130361,1.03E-06,0.016218809,0.004,0.116,1.182,1.88E+02,3.22E-03,neutral,d__Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Unclassified Oligoflexales,NA,NA
02bc7c4dc37209a709845d6b282cf6b0,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Unclassified Fibrobacterales,NA,NA
09016553bdc40a6c0133ea0704440903,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,sediment-surface35,sediment-surface35,NA,NA
111bac6ebb52bfe627e6e3c74450c323,3.67E-06,0.004889976,0.000195535,2.30E-06,0.016345807,0.004,0.117,1.173,1.91E+02,3.28E-03,neutral,d__Bacteria,Actinobacteriota,Thermoleophilia,Unclassified Thermoleophilia,Unclassified Thermoleophilia,NA,NA
1dcb18156fff6ebd64ab9934070cc805,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Archaea,Thermoplasmatota,Thermoplasmata,SG8-5,SG8-5,NA,NA
3881b4d07b607a556323a67f5cef9d55,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Verrucomicrobiota,Lentisphaeria,Oligosphaerales,Unclassified Oligosphaerales,NA,NA
5b4e45bb0b2a7fd35abcd08e6bbba3d5,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Archaea,Thermoplasmatota,Thermoplasmatota,Thermoplasmatota,Thermoplasmatota,NA,NA
6e2e7572eea27fc37d2f793118c44c1d,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,211ds20,211ds20,NA,NA
827039c3a3896f2c855b7cb5f5064c82,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Spirochaetota,Brachyspirae,Brachyspirales,LH041,NA,NA
94e473a9906c3e292e201716584f2f22,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,NA,NA
aff33452e0e89b48e8228c68d7cb9331,3.67E-06,0.004889976,0.000195535,2.30E-06,0.016345807,0.004,0.117,1.173,1.91E+02,3.28E-03,neutral,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Unclassified Campylobacterales,NA,NA
badbcfa046786547670544cf9a77d5d5,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Planctomycetota,SGST604,SGST604,SGST604,NA,NA
bd7b08fc836a67569f8454e644a802c1,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Desulfobacterota,Desulfuromonadia,C8S-102,C8S-102,NA,NA
cefa134477826ed5c3552b9f9245e8f1,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Chloroflexi,Dehalococcoidia,GIF9,GIF9,NA,NA
dab6b49d8620201d8f0e5a1c7623eb91,3.67E-06,0.002444988,0.000195535,2.30E-06,0.016345807,0.004,0.117,0.586,4.47E+02,5.73E-03,neutral,d__Bacteria,Firmicutes,Bacilli,Bacillales,Salisediminibacteriaceae,NA,NA
0105e2d0edc374f215c1402cbfff274a,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,D90,D90,NA,NA
0db1d8628854620bdb571f8c6e1962e7,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Zavarziniales,uncultured,NA,NA
1bb4727c14f7bf1f938acd7ead8cb88c,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Archaea,Altiarchaeota,Altiarchaeia,Altiarchaeales,Altiarchaeaceae,NA,NA
3066a55aea93323ec6d766f2274e5b53,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,NA,NA
