,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
a701ae794f0f152645aa049c25b1b1c4,0.0065,0.088235294,0.486983326,0.287125925,0.691091472,0.103,1.886,0.856,1.34E+02,below,d__Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,NA,NA
a92a1ce1f9f54df4ff33ca578eea29ee,0.006382353,0.470588235,0.480556506,0.281819047,0.685643462,0.103,1.886,4.568,2.15E-03,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
a057f46fbdede43ce46fdee12ae82ad8,0.006264706,0.088235294,0.474055866,0.276479681,0.680104407,0.103,1.885,0.857,1.34E+02,below,d__Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA,NA
475fbb1ef6558f1ff627fcc57fc64763,0.005882353,0.058823529,0.452410071,0.258907713,0.661453468,0.103,1.880,0.573,1.94E+02,below,d__Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,NA,NA
7eea75cac60f8d15416bb0b6af8b2b49,0.005529412,0.411764706,0.431708276,0.24240196,0.643316041,0.102,1.872,4.026,2.20E-02,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
618c40959300a90e4a425bbbf81a0d8d,0.005058824,0.5,0.40299267,0.219999166,0.617665033,0.101,1.857,4.929,3.99E-04,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,NA,NA
427db6efd78c4a35b2666f4f7be52fec,0.004338235,0.588235294,0.356450113,0.184940551,0.574837543,0.099,1.820,5.914,2.31E-06,above,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NA,NA
345582e28a8e92a4715693530eed0e22,0.004308824,0.382352941,0.35448212,0.183493332,0.572991446,0.099,1.819,3.848,4.48E-02,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified Alphaproteobacteria,Unclassified Alphaproteobacteria,NA,NA
c045120dbab4c2c5a4e72d8e2a6e79a2,0.004205882,0.470588235,0.347550991,0.17841968,0.56646628,0.099,1.812,4.754,9.16E-04,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
0ec3f8aede1f55e74c31b0e0c1564e85,0.004073529,0.088235294,0.33854021,0.171878612,0.557928361,0.098,1.803,0.896,1.26E+02,below,d__Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
40dac0535b9d974565e22e85afedfc49,0.003941176,0.470588235,0.329416591,0.165319793,0.549219364,0.098,1.792,4.805,7.20E-04,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7_marine_group,NA,NA
3a88fb26cf565b32c553e0ca02459b34,0.003632353,0.617647059,0.307682643,0.149962288,0.528206445,0.096,1.766,6.401,1.35E-07,above,d__Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
54169bf4a3bff566c2b7e8dc87265049,0.003617647,0.647058824,0.306631949,0.149229579,0.527180883,0.096,1.765,6.711,1.99E-08,above,d__Bacteria,Planctomycetota,OM190,OM190,OM190,NA,NA
83784da74cbe8bed4475bf63b50f8c72,0.003485294,0.647058824,0.297110524,0.1426316,0.517845341,0.096,1.752,6.760,1.46E-08,above,d__Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,NA,NA
b28a625b7ff4fdb60a03aaf24d503c1e,0.003455882,0.5,0.294978645,0.141164723,0.515744651,0.096,1.749,5.233,8.90E-05,neutral,d__Bacteria,Planctomycetota,Unclassified Planctomycetota,Unclassified Planctomycetota,Unclassified Planctomycetota,NA,NA
ccad5ed502a9f2052ac0005f6ff03933,0.003455882,0.294117647,0.294978645,0.141164723,0.515744651,0.096,1.749,3.078,7.16E-01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,NA,NA
cc1daf9d47bcab022617f20cf6f88af1,0.003147059,0.470588235,0.272238203,0.125761976,0.493092666,0.094,1.715,5.022,2.54E-04,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade,NA,NA
584b57970732ed17c79568fe52d455df,0.003132353,0.470588235,0.271138974,0.125029007,0.491986142,0.094,1.713,5.027,2.48E-04,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,NA,NA
