,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
197539521ed2f8e4672d0884bee82810,0.000897059,0.264705882,0.085601597,0.021511506,0.285018257,0.067,1.230,3.938,3.14E-02,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
f088183bf252f6b8280e03e0d1d0218c,0.000882353,0.176470588,0.084252551,0.020964655,0.283307562,0.067,1.225,2.637,2.80E+00,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,NA,NA
68aeb6584432791176720b1f7a530e68,0.000867647,0.147058824,0.082901733,0.020421591,0.281590115,0.067,1.219,2.207,9.07E+00,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,NA,NA
cb813d02b433eb7168cdbff142439d0c,0.000852941,0.117647059,0.081549141,0.019882393,0.279865833,0.066,1.214,1.774,2.54E+01,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,NA,NA
407c52019c218f0be37cdff0cee09db9,0.000823529,0.058823529,0.078838628,0.018815919,0.27639643,0.066,1.203,0.895,1.26E+02,neutral,d__Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group,SL56_marine_group,NA,NA
46996a1d39893c2afb2be13f14d956fd,0.000808824,0.088235294,0.077480703,0.018288811,0.274651136,0.065,1.197,1.349,5.97E+01,neutral,d__Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA,NA
e448699b220a1da832a7df923149b66d,0.000794118,0.058823529,0.076120998,0.017765904,0.272898659,0.065,1.191,0.904,1.25E+02,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,NA,NA
2228b074e67ed423fd4c52a5943acfad,0.000779412,0.294117647,0.074759509,0.017247287,0.271138908,0.065,1.185,4.541,2.43E-03,above,d__Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,NA,NA
4fad03c62b7470d2ac0326a159c8191b,0.000779412,0.088235294,0.074759509,0.017247287,0.271138908,0.065,1.185,1.362,5.83E+01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,NA,NA
69141b4afac1e442dc2023b5905ecabc,0.000764706,0.088235294,0.073396235,0.016733054,0.269371786,0.064,1.180,1.369,5.76E+01,neutral,d__Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,NA,NA
73bcc1f0b0f5827c02007dbf7cde3245,0.000735294,0.176470588,0.070664326,0.015718122,0.265815036,0.064,1.168,2.766,1.91E+00,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,NA,NA
f78f94f21685ff79e79c173ec408bd8d,0.000735294,0.058823529,0.070664326,0.015718122,0.265815036,0.064,1.168,0.922,1.21E+02,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unclassified Bacteroidales,NA,NA
ff5ffb8a8264b0f07a8eb8b8c0372377,0.000720588,0.029411765,0.069295687,0.015217622,0.264025203,0.063,1.162,0.463,2.20E+02,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Oscillatoriaceae,NA,NA
5bd2bb67de0621a1926be5a17845c28c,0.000691176,0.147058824,0.066553029,0.014231071,0.260422084,0.063,1.149,2.342,6.39E+00,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,NA,NA
50bc61e7d794d9d87d21803dd825171b,0.000691176,0.058823529,0.066553029,0.014231071,0.260422084,0.063,1.149,0.937,1.19E+02,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,NA,NA
