"","sampleID","variable","value","compartment","model_fit","trait","conditions","TukeyHSD"
"57","E3.6.Acr.hyac.1.20150120","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"58","E3.6.Acr.hyac.1.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"59","E3.6.Acr.hyac.1.20150123","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"60","E3.6.Acr.hyac.2.20150105","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"61","E3.6.Acr.hyac.2.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"62","E3.6.Acr.hyac.2.20150123","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"63","E3.6.Acr.hyac.3.20150121","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"64","E3.6.Acr.hyac.3.20150123","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"65","E3.7.Pav.vari.1.20150124","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"66","E3.7.Pav.vari.2.20150124","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"67","E7.10.Poc.dami.2.20150621","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"68","E7.10.Ser.cali.3.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"69","E7.17.Cyp.micr.1.20150621","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"70","E7.17.Cyp.micr.2.20150621","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"71","E7.17.Ech.lame.1.20150620","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"72","E7.17.Ech.lame.3.20150620","M_above",0.185089974293059,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"73","E7.17.Fav.abdi.1.20150623","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"74","E7.17.Fav.spB.1.20150623","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"75","E7.17.Hyd.exce.1.20150620","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"76","E7.17.Hyd.exes.1.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"77","E7.17.Mer.ampl.1.20150621","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"78","E7.17.Mer.ampl.3.20150621","M_above",0.657370517928287,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"79","E7.17.Myc.elep.1.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"80","E7.17.Pla.sine.2.20150622","M_above",0.767918088737201,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"81","E7.3.Por.loba.3.20150619","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"82","E7.5.Gal.astr.1.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"83","E7.5.Gal.fasc.1.20150621","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"84","E7.6.Acr.hyac.1.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"85","E7.6.Acr.hyac.2.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"86","E7.6.Acr.hyac.3.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"87","E7.7.Pav.vari.1.20150622","M_above",0.400468384074942,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"88","E7.7.Pav.vari.2.20150622","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"89","117-PC1","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"90","1256-009-C120","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"91","1256-012-C121","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"92","1256-022-C127","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"93","1256-025-C128","M_above",0.300319488817891,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"94","1256-043-C144","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"95","1256-071-C328","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"96","1256-104-PW165","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"97","1256-110-PW167","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"98","1256-113-PW168","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"99","1256-116-PW169","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"100","1256-120-PW170","M_above",0.211678832116788,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"101","1256-123-PW171","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"102","1256-129-PW174","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"103","1256-134-PW176","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"104","1256-137-PW177","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"105","1256-140-PW178","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"106","1256-143-PW181","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"107","1256-145-PW182","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"108","1256-148-PW183","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"109","1256-152-PW185","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"110","1256-158-PW187","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"111","1256-161-PW190","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"112","1256-165-PW192","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"113","1256-172-PW194","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"114","1256-175-PW195","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"115","1256-185-PW199","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"116","1256-190-PW202","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"117","1256-193-PW203","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"118","1256-196-PW204","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"119","1256-219-HI59","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"120","1256-232-HI63","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"121","1256-274-P5","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"122","1256-291-P8","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"123","1256-307-P481","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"124","1256-311-P483","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
