"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E1","Favites sp1","below","Tissue","E1.17.Fav.sp.1.20140805.T_below","Tissue_below"
"E1","Echinophyllia orpheensis","below","Tissue","E1.17.Fav.sp.1.20140811.T_below","Tissue_below"
"E1","Favites sp2","below","Tissue","E1.17.Fav.sp.2.20140805.T_below","Tissue_below"
"E1","Hydnophora exesa","below","Tissue","E1.17.Hyd.exes.1.20140803.T_below","Tissue_below"
"E1","Lobophyllia sp","below","Tissue","E1.19.Lob.sp.1.20140730.T_below","Tissue_below"
"E1","Lobophyllia sp","below","Tissue","E1.19.Lob.sp.1.20140809.T_below","Tissue_below"
"E1","Symphyllia sp","below","Tissue","E1.19.Sym.sp.1.20140814.T_below","Tissue_below"
"E1","Symphyllia sp","below","Tissue","E1.19.Sym.sp.1.20140815.T_below","Tissue_below"
"E1","Symphyllia sp","below","Tissue","E1.19.Sym.sp.1.20140905.T_below","Tissue_below"
"E1","Turbinaria peltata","below","Tissue","E1.2.Tur.pelt.1.20140814.T_below","Tissue_below"
"E1","Turbinaria reniformis","below","Tissue","E1.2.Tur.reni.1.20140730.T_below","Tissue_below"
"E1","Turbinaria reniformis","below","Tissue","E1.2.Tur.reni.1.20140814.T_below","Tissue_below"
"E1","Turbinaria stellulata","below","Tissue","E1.2.Tur.stel.1.20140805.T_below","Tissue_below"
"E1","Porites cylindrica","below","Tissue","E1.3.Por.cyli.1.20140801.T_below","Tissue_below"
"E1","Porites cylindrica","below","Tissue","E1.3.Por.cyli.1.20140815.T_below","Tissue_below"
"E1","Porites lobata","below","Tissue","E1.3.Por.loba.1.20140726.T_below","Tissue_below"
"E1","Porites lobata","below","Tissue","E1.3.Por.loba.1.20140905.T_below","Tissue_below"
"E1","Pachyseris rugosa","below","Tissue","E1.4.Pac.rugo.1.20140728.T_below","Tissue_below"
"E1","Pachyseris rugosa","below","Tissue","E1.4.Pac.rugo.1.20140814.T_below","Tissue_below"
"E1","Pachyseris speciosa","below","Tissue","E1.4.Pac.spec.1.20140801.T_below","Tissue_below"
"E1","Pachyseris speciosa","below","Tissue","E1.4.Pac.spec.1.20140811.T_below","Tissue_below"
"E1","Galaxea astreata","below","Tissue","E1.5.Gal.astr.1.20140728.T_below","Tissue_below"
"E1","Galaxea astreata","below","Tissue","E1.5.Gal.astr.1.20140807.T_below","Tissue_below"
"E1","Galaxea astreata","below","Tissue","E1.5.Gal.astr.1.20140814.T_below","Tissue_below"
"E1","Galaxea astreata","below","Tissue","E1.5.Gal.astr.1.20140905.T_below","Tissue_below"
"E1","Acropora humilis","below","Tissue","E1.6.Acr.humi.1.20140731.T_below","Tissue_below"
"E1","Acropora sp_bushy","below","Tissue","E1.6.Acr.sp.1.20140905.T_below","Tissue_below"
"E1","Isopora palifera","below","Tissue","E1.6.Iso.pali.1.20140803.T_below","Tissue_below"
"E1","Isopora palifera","below","Tissue","E1.6.Iso.pali.1.20140815.T_below","Tissue_below"
"E1","Pavona sp","below","Tissue","E1.7.Pav.sp.1.20140905.T_below","Tissue_below"
"E1","Pavona varians","below","Tissue","E1.7.Pav.vari.1.20140805.T_below","Tissue_below"
"E1","Pavona varians","below","Tissue","E1.7.Pav.vari.1.20140815.T_below","Tissue_below"
"E1","Pavona venosa","below","Tissue","E1.7.Pav.veno.1.20140809.T_below","Tissue_below"
"E1","Pavona venosa","below","Tissue","E1.7.Pav.veno.1.20140811.T_below","Tissue_below"
"E10","Pocillopora damicornis","below","Tissue","E10.10.Poc.dami.1.20150630.T_below","Tissue_below"
"E10","Stylophora pistillata","below","Tissue","E10.10.Sty.pist.2.20150630.T_below","Tissue_below"
"E10","Favites abdita","below","Tissue","E10.17.Fav.abdi.1.20150630.T_below","Tissue_below"
"E10","Goniastrea favulus","below","Tissue","E10.17.Gon.favu.1.20150629.T_below","Tissue_below"
"E10","Goniastrea favulus","below","Tissue","E10.17.Gon.favu.1.20150630.T_below","Tissue_below"
"E10","Goniastrea favulus","below","Tissue","E10.17.Gon.favu.2.20150630.T_below","Tissue_below"
"E10","Astrea curta","below","Tissue","E10.17.Mon.curt.3.20150629.T_below","Tissue_below"
"E10","Acropora cytherea","below","Tissue","E10.Acr.cyth.1.20150627.T_below","Tissue_below"
"E10","Acropora cytherea","below","Tissue","E10.Acr.cyth.2.20150627.T_below","Tissue_below"
"E10","Acropora cytherea","below","Tissue","E10.Acr.cyth.3.20150627.T_below","Tissue_below"
"E10","Isopora palifera","below","Tissue","E10.Acr.pali.2.20150627.T_below","Tissue_below"
"E10","Isopora palifera","below","Tissue","E10.Acr.pali.3.20150627.T_below","Tissue_below"
"E10","Alveopora allingi","below","Tissue","E10.Alv.alli.1.20150628.T_below","Tissue_below"
"E10","Alveopora allingi","below","Tissue","E10.Alv.alli.2.20150628.T_below","Tissue_below"
"E10","Alveopora allingi","below","Tissue","E10.Alv.alli.3.20150628.T_below","Tissue_below"
"E10","Cyphastrea microphthalma","below","Tissue","E10.Cyp.micr.1.20150627.T_below","Tissue_below"
"E10","Favites abdita","below","Tissue","E10.Fav.abdi.1.20150629.T_below","Tissue_below"
"E10","Astrea curta","below","Tissue","E10.Mon.curt.1.20150629.T_below","Tissue_below"
"E10","Astrea curta","below","Tissue","E10.Mon.curt.2.20150629.T_below","Tissue_below"
"E10","Pocillopora damicornis","below","Tissue","E10.Poc.dami.1.20150628.T_below","Tissue_below"
"E10","Pocillopora damicornis","below","Tissue","E10.Poc.dami.2.20150628.T_below","Tissue_below"
"E10","Porites heronensis","below","Tissue","E10.Por.hero.1.20150628.T_below","Tissue_below"
"E10","Porites heronensis","below","Tissue","E10.Por.hero.2.20150628.T_below","Tissue_below"
"E10","Porites heronensis","below","Tissue","E10.Por.hero.3.20150628.T_below","Tissue_below"
"E10","Stylophora pistillata","below","Tissue","E10.Sty.pist.1.20150628.T_below","Tissue_below"
"E3","Fungia sp","below","Tissue","E3.11.Fun.sp.1.20150125.T_below","Tissue_below"
"E3","Fungia sp","below","Tissue","E3.11.Fun.sp.1.20150127.T_below","Tissue_below"
"E3","Fungia sp","below","Tissue","E3.11.Fun.sp.2.20150125.T_below","Tissue_below"
"E3","Physogyra lichtensteini","below","Tissue","E3.14.Phy.lich.1.20150129.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150105.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150106.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150118.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150120.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150121.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.1.20150123.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.2.20150105.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.2.20150106.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.2.20150119.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.2.20150121.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.3.20150105.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.3.20150106.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.3.20150120.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.3.20150121.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.3.20150123.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.4.20150105.T_below","Tissue_below"
"E3","Diploastrea heliopora","below","Tissue","E3.15.Dip.heli.4.20150106.T_below","Tissue_below"
"E3","Echinopora horrida","below","Tissue","E3.17.Ech.horr.1.20150123.T_below","Tissue_below"
"E3","Echinopora mammiformis","below","Tissue","E3.17.Ech.mamm.1.20150123.T_below","Tissue_below"
"E3","Echinopora mammiformis","below","Tissue","E3.17.Ech.mamm.1.20150127.T_below","Tissue_below"
"E3","Turbinaria reniformis","below","Tissue","E3.2.Tur.reni.1.20150127.T_below","Tissue_below"
"E3","Porites cylindrica","below","Tissue","E3.3.Por.cyli.1.20150123.T_below","Tissue_below"
"E3","Porites cylindrica","below","Tissue","E3.3.Por.cyli.1.20150127.T_below","Tissue_below"
"E3","Porites cylindrica","below","Tissue","E3.3.Por.cyli.2.20150123.T_below","Tissue_below"
"E3","Pachyseris rugosa","below","Tissue","E3.4.Pac.rugo.1.20150127.T_below","Tissue_below"
"E3","Pachyseris rugosa","below","Tissue","E3.4.Pac.rugo.1.20150128.T_below","Tissue_below"
"E3","Pachyseris speciosa","below","Tissue","E3.4.Pac.spec.1.20150128.T_below","Tissue_below"
"E3","Pachyseris speciosa","below","Tissue","E3.4.Pac.spec.1.20150129.T_below","Tissue_below"
"E3","Galaxea astreata","below","Tissue","E3.5.Gal.astr.1.20150124.T_below","Tissue_below"
