SampleId,model,compartment
neutral_E1.4.Pac.spec.1.20140801.S,neutral,Skeleton
neutral_E1.4.Pac.spec.1.20140811.S,neutral,Skeleton
neutral_E1.5.Gal.astr.1.20140728.S,neutral,Skeleton
neutral_E1.5.Gal.astr.1.20140807.S,neutral,Skeleton
neutral_E1.5.Gal.astr.1.20140814.S,neutral,Skeleton
neutral_E1.5.Gal.astr.1.20140905.S,neutral,Skeleton
neutral_E1.6.Acr.humi.1.20140731.S,neutral,Skeleton
neutral_E1.6.Acr.sp.1.20140905.S,neutral,Skeleton
neutral_E1.6.Iso.pali.1.20140803.S,neutral,Skeleton
neutral_E1.6.Iso.pali.1.20140815.S,neutral,Skeleton
neutral_E1.6.Mon.hisp.1.20140807.S,neutral,Skeleton
neutral_E1.7.Pav.sp.1.20140905.S,neutral,Skeleton
neutral_E1.7.Pav.vari.1.20140805.S,neutral,Skeleton
neutral_E1.7.Pav.vari.1.20140815.S,neutral,Skeleton
neutral_E1.7.Pav.veno.1.20140809.S,neutral,Skeleton
neutral_E1.7.Pav.veno.1.20140811.S,neutral,Skeleton
neutral_E10.10.Sty.pist.1.20150630.S,neutral,Skeleton
neutral_E10.17.Fav.abdi.1.20150630.S,neutral,Skeleton
neutral_E10.17.Fav.pali.1.20150630.S,neutral,Skeleton
neutral_E10.17.Gon.favu.1.20150629.S,neutral,Skeleton
neutral_E10.17.Gon.favu.1.20150630.S,neutral,Skeleton
neutral_E10.17.Gon.favu.2.20150630.S,neutral,Skeleton
neutral_E10.17.Mon.curt.3.20150629.S,neutral,Skeleton
neutral_E10.Aca.hill.1.20150629.S,neutral,Skeleton
neutral_E10.Aca.hill.2.20150629.S,neutral,Skeleton
neutral_E10.Aca.hill.3.20150629.S,neutral,Skeleton
neutral_E10.Acr.cyth.1.20150627.S,neutral,Skeleton
neutral_E10.Acr.cyth.2.20150627.S,neutral,Skeleton
neutral_E10.Acr.cyth.3.20150627.S,neutral,Skeleton
neutral_E10.Acr.pali.2.20150627.S,neutral,Skeleton
neutral_E10.Acr.pali.3.20150627.S,neutral,Skeleton
neutral_E10.Alv.alli.2.20150628.S,neutral,Skeleton
neutral_E10.Alv.alli.3.20150628.S,neutral,Skeleton
neutral_E10.Mon.curt.1.20150629.S,neutral,Skeleton
neutral_E10.Poc.dami.1.20150628.S,neutral,Skeleton
neutral_E10.Poc.dami.2.20150628.S,neutral,Skeleton
neutral_E10.Por.hero.1.20150628.S,neutral,Skeleton
neutral_E10.Por.hero.2.20150628.S,neutral,Skeleton
neutral_E10.Por.hero.3.20150628.S,neutral,Skeleton
neutral_E10.Sty.pist.1.20150628.S,neutral,Skeleton
neutral_E3.14.Phy.lich.1.20150125.S,neutral,Skeleton
neutral_E3.14.Phy.lich.1.20150129.S,neutral,Skeleton
