"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E2","Montastraea cavernosa","below","Skeleton","1256-282-P1-S_below","Skeleton_below"
"E2","Orbicella franksi","below","Skeleton","1256-286-P6-S_below","Skeleton_below"
"E2","Orbicella franksi","below","Skeleton","1256-289-P7-S_below","Skeleton_below"
"E2","Orbicella faveolata","below","Skeleton","1256-292-P8-S_below","Skeleton_below"
"E2","Orbicella annularis","below","Skeleton","1256-296-P11-S_below","Skeleton_below"
"E2","Orbicella annularis","below","Skeleton","1256-299-P12-S_below","Skeleton_below"
"E1","Pocillopora damicornis","below","Skeleton","E1.10.Poc.dami.1.20140731.S_below","Skeleton_below"
"E1","Pocillopora damicornis","below","Skeleton","E1.10.Poc.dami.1.20140905.S_below","Skeleton_below"
"E1","Fungia sp","below","Skeleton","E1.11.Fun.sp.1.20140811.S_below","Skeleton_below"
"E1","Leptastrea transversa","below","Skeleton","E1.11.Lep.tran.1.20140731.S_below","Skeleton_below"
"E1","Psammocora contigua","below","Skeleton","E1.11.Psa.cont.1.20140730.S_below","Skeleton_below"
"E1","Psammocora digitata","below","Skeleton","E1.11.Psa.digi.1.20140807.S_below","Skeleton_below"
"E1","Physogyra lichtensteini","below","Skeleton","E1.14.Phy.lich.1.20140801.S_below","Skeleton_below"
"E1","Physogyra lichtensteini","below","Skeleton","E1.14.Phy.lich.1.20140811.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140726.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140809.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140815.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140905.S_below","Skeleton_below"
"E1","Caulastrea furcata","below","Skeleton","E1.17.Cau.furc.1.20140801.DS_below","Skeleton_below"
"E1","Caulastrea furcata","below","Skeleton","E1.17.Cau.furc.1.20140801.S_below","Skeleton_below"
"E1","Echinopora lamellosa","below","Skeleton","E1.17.Ech.lame.1.20140905.S_below","Skeleton_below"
"E1","Echinopora mammiformis","below","Skeleton","E1.17.Ech.mamm.1.20140728.S_below","Skeleton_below"
"E1","Favites sp1","below","Skeleton","E1.17.Fav.sp.1.20140805.S_below","Skeleton_below"
"E1","Echinophyllia orpheensis","below","Skeleton","E1.17.Fav.sp.1.20140811.S_below","Skeleton_below"
"E1","Favites sp2","below","Skeleton","E1.17.Fav.sp.2.20140805.S_below","Skeleton_below"
"E1","Hydnophora exesa","below","Skeleton","E1.17.Hyd.exes.1.20140803.S_below","Skeleton_below"
"E1","Lobophyllia sp","below","Skeleton","E1.19.Lob.sp.1.20140730.S_below","Skeleton_below"
"E1","Lobophyllia sp","below","Skeleton","E1.19.Lob.sp.1.20140809.S_below","Skeleton_below"
"E1","Symphyllia sp","below","Skeleton","E1.19.Sym.sp.1.20140724.S_below","Skeleton_below"
"E1","Symphyllia sp","below","Skeleton","E1.19.Sym.sp.1.20140814.S_below","Skeleton_below"
"E1","Symphyllia sp","below","Skeleton","E1.19.Sym.sp.1.20140815.S_below","Skeleton_below"
"E1","Symphyllia sp","below","Skeleton","E1.19.Sym.sp.1.20140905.S_below","Skeleton_below"
"E1","Turbinaria peltata","below","Skeleton","E1.2.Tur.pelt.1.20140814.S_below","Skeleton_below"
"E1","Turbinaria reniformis","below","Skeleton","E1.2.Tur.reni.1.20140730.S_below","Skeleton_below"
"E1","Turbinaria stellulata","below","Skeleton","E1.2.Tur.stel.1.20140805.S_below","Skeleton_below"
"E1","Porites cylindrica","below","Skeleton","E1.3.Por.cyli.1.20140801.S_below","Skeleton_below"
"E1","Porites cylindrica","below","Skeleton","E1.3.Por.cyli.1.20140815.S_below","Skeleton_below"
"E1","Porites lobata","below","Skeleton","E1.3.Por.loba.1.20140726.S_below","Skeleton_below"
"E1","Porites lobata","below","Skeleton","E1.3.Por.loba.1.20140905.S_below","Skeleton_below"
"E1","Pachyseris rugosa","below","Skeleton","E1.4.Pac.rugo.1.20140728.S_below","Skeleton_below"
"E1","Pachyseris rugosa","below","Skeleton","E1.4.Pac.rugo.1.20140814.S_below","Skeleton_below"
"E1","Pachyseris speciosa","below","Skeleton","E1.4.Pac.spec.1.20140801.S_below","Skeleton_below"
"E1","Pachyseris speciosa","below","Skeleton","E1.4.Pac.spec.1.20140811.S_below","Skeleton_below"
"E1","Galaxea astreata","below","Skeleton","E1.5.Gal.astr.1.20140728.S_below","Skeleton_below"
"E1","Galaxea astreata","below","Skeleton","E1.5.Gal.astr.1.20140807.S_below","Skeleton_below"
"E1","Galaxea astreata","below","Skeleton","E1.5.Gal.astr.1.20140814.S_below","Skeleton_below"
"E1","Galaxea astreata","below","Skeleton","E1.5.Gal.astr.1.20140905.S_below","Skeleton_below"
"E1","Acropora humilis","below","Skeleton","E1.6.Acr.humi.1.20140731.S_below","Skeleton_below"
"E1","Acropora sp_bushy","below","Skeleton","E1.6.Acr.sp.1.20140905.S_below","Skeleton_below"
"E1","Isopora palifera","below","Skeleton","E1.6.Iso.pali.1.20140803.S_below","Skeleton_below"
"E1","Isopora palifera","below","Skeleton","E1.6.Iso.pali.1.20140815.S_below","Skeleton_below"
"E1","Montipora hispida","below","Skeleton","E1.6.Mon.hisp.1.20140807.S_below","Skeleton_below"
"E1","Pavona sp","below","Skeleton","E1.7.Pav.sp.1.20140905.S_below","Skeleton_below"
"E1","Pavona varians","below","Skeleton","E1.7.Pav.vari.1.20140805.S_below","Skeleton_below"
"E1","Pavona varians","below","Skeleton","E1.7.Pav.vari.1.20140815.S_below","Skeleton_below"
"E1","Pavona venosa","below","Skeleton","E1.7.Pav.veno.1.20140809.S_below","Skeleton_below"
"E1","Pavona venosa","below","Skeleton","E1.7.Pav.veno.1.20140811.S_below","Skeleton_below"
"E10","Stylophora pistillata","below","Skeleton","E10.10.Sty.pist.1.20150630.S_below","Skeleton_below"
"E10","Favites abdita","below","Skeleton","E10.17.Fav.abdi.1.20150630.S_below","Skeleton_below"
"E10","Dipsastraea pallida","below","Skeleton","E10.17.Fav.pali.1.20150630.S_below","Skeleton_below"
"E10","Goniastrea favulus","below","Skeleton","E10.17.Gon.favu.1.20150629.S_below","Skeleton_below"
"E10","Goniastrea favulus","below","Skeleton","E10.17.Gon.favu.1.20150630.S_below","Skeleton_below"
"E10","Goniastrea favulus","below","Skeleton","E10.17.Gon.favu.2.20150630.S_below","Skeleton_below"
"E10","Astrea curta","below","Skeleton","E10.17.Mon.curt.3.20150629.S_below","Skeleton_below"
"E10","Acanthastrea hillae","below","Skeleton","E10.Aca.hill.1.20150629.S_below","Skeleton_below"
"E10","Acanthastrea hillae","below","Skeleton","E10.Aca.hill.2.20150629.S_below","Skeleton_below"
"E10","Acanthastrea hillae","below","Skeleton","E10.Aca.hill.3.20150629.S_below","Skeleton_below"
"E10","Acropora cytherea","below","Skeleton","E10.Acr.cyth.1.20150627.S_below","Skeleton_below"
"E10","Acropora cytherea","below","Skeleton","E10.Acr.cyth.2.20150627.S_below","Skeleton_below"
"E10","Acropora cytherea","below","Skeleton","E10.Acr.cyth.3.20150627.S_below","Skeleton_below"
"E10","Isopora palifera","below","Skeleton","E10.Acr.pali.2.20150627.S_below","Skeleton_below"
"E10","Isopora palifera","below","Skeleton","E10.Acr.pali.3.20150627.S_below","Skeleton_below"
"E10","Alveopora allingi","below","Skeleton","E10.Alv.alli.2.20150628.S_below","Skeleton_below"
"E10","Alveopora allingi","below","Skeleton","E10.Alv.alli.3.20150628.S_below","Skeleton_below"
"E10","Astrea curta","below","Skeleton","E10.Mon.curt.1.20150629.S_below","Skeleton_below"
"E10","Pocillopora damicornis","below","Skeleton","E10.Poc.dami.1.20150628.S_below","Skeleton_below"
"E10","Pocillopora damicornis","below","Skeleton","E10.Poc.dami.2.20150628.S_below","Skeleton_below"
"E10","Porites heronensis","below","Skeleton","E10.Por.hero.1.20150628.S_below","Skeleton_below"
"E10","Porites heronensis","below","Skeleton","E10.Por.hero.2.20150628.S_below","Skeleton_below"
"E10","Porites heronensis","below","Skeleton","E10.Por.hero.3.20150628.S_below","Skeleton_below"
"E10","Stylophora pistillata","below","Skeleton","E10.Sty.pist.1.20150628.S_below","Skeleton_below"
"E3","Physogyra lichtensteini","below","Skeleton","E3.14.Phy.lich.1.20150125.S_below","Skeleton_below"
"E3","Physogyra lichtensteini","below","Skeleton","E3.14.Phy.lich.1.20150129.S_below","Skeleton_below"
"E3","Physogyra lichtensteini","below","Skeleton","E3.14.Phy.lich.2.20150125.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150105.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150106.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150118.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150119.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150120.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150121.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.1.20150123.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150105.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150106.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150119.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150120.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150121.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.2.20150123.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.3.20150105.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.3.20150106.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.3.20150120.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.3.20150121.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.3.20150123.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.4.20150105.S_below","Skeleton_below"
"E3","Diploastrea heliopora","below","Skeleton","E3.15.Dip.heli.4.20150106.S_below","Skeleton_below"
"E3","Echinopora horrida","below","Skeleton","E3.17.Ech.horr.1.20150123.S_below","Skeleton_below"
"E3","Echinopora mammiformis","below","Skeleton","E3.17.Ech.mamm.1.20150123.S_below","Skeleton_below"
"E3","Symphyllia sp","below","Skeleton","E3.19.Sym.sp.1.20150125.S_below","Skeleton_below"
"E3","Symphyllia sp","below","Skeleton","E3.19.Sym.sp.2.20150125.S_below","Skeleton_below"
"E3","Turbinaria reniformis","below","Skeleton","E3.2.Tur.reni.1.20150127.S_below","Skeleton_below"
"E3","Porites cylindrica","below","Skeleton","E3.3.Por.cyli.1.20150123.S_below","Skeleton_below"
"E3","Porites cylindrica","below","Skeleton","E3.3.Por.cyli.1.20150127.S_below","Skeleton_below"
"E3","Porites cylindrica","below","Skeleton","E3.3.Por.cyli.2.20150123.S_below","Skeleton_below"
"E3","Pachyseris rugosa","below","Skeleton","E3.4.Pac.rugo.1.20150127.S_below","Skeleton_below"
"E3","Pachyseris rugosa","below","Skeleton","E3.4.Pac.rugo.1.20150128.S_below","Skeleton_below"
"E3","Pachyseris speciosa","below","Skeleton","E3.4.Pac.spec.1.20150128.S_below","Skeleton_below"
"E3","Pachyseris speciosa","below","Skeleton","E3.4.Pac.spec.1.20150129.S_below","Skeleton_below"
"E3","Galaxea astreata","below","Skeleton","E3.5.Gal.astr.1.20150124.S_below","Skeleton_below"
"E3","Galaxea astreata","below","Skeleton","E3.5.Gal.astr.2.20150124.S_below","Skeleton_below"
"E3","Galaxea astreata","below","Skeleton","E3.5.Gal.astr.2.20150127.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150105.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150106.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150118.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150120.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150121.S_below","Skeleton_below"
