SampleId,model,compartment
neutral_1256-012-C121-M,neutral,Mucus
neutral_1256-019-C123-M,neutral,Mucus
neutral_1256-022-C127-M,neutral,Mucus
neutral_1256-025-C128-M,neutral,Mucus
neutral_1256-028-C129-M,neutral,Mucus
neutral_1256-040-C143-M,neutral,Mucus
neutral_1256-043-C144-M,neutral,Mucus
neutral_1256-046-C145-M,neutral,Mucus
neutral_1256-049-C148-M,neutral,Mucus
neutral_1256-056-C150-M,neutral,Mucus
neutral_1256-059-C151-M,neutral,Mucus
neutral_1256-062-C152-M,neutral,Mucus
neutral_1256-064-C153-M,neutral,Mucus
neutral_1256-068-C327-M,neutral,Mucus
neutral_1256-071-C328-M,neutral,Mucus
neutral_1256-101-PW164-M,neutral,Mucus
neutral_1256-104-PW165-M,neutral,Mucus
neutral_1256-107-PW166-M,neutral,Mucus
neutral_1256-110-PW167-M,neutral,Mucus
neutral_1256-113-PW168-M,neutral,Mucus
neutral_1256-116-PW169-M,neutral,Mucus
neutral_1256-120-PW170-M,neutral,Mucus
neutral_1256-123-PW171-M,neutral,Mucus
neutral_1256-126-PW172-M,neutral,Mucus
neutral_1256-129-PW174-M,neutral,Mucus
neutral_1256-132-PW175-M,neutral,Mucus
neutral_1256-134-PW176-M,neutral,Mucus
neutral_1256-137-PW177-M,neutral,Mucus
neutral_1256-140-PW178-M,neutral,Mucus
neutral_1256-143-PW181-M,neutral,Mucus
neutral_1256-145-PW182-M,neutral,Mucus
neutral_1256-148-PW183-M,neutral,Mucus
neutral_1256-152-PW185-M,neutral,Mucus
neutral_1256-155-PW186-M,neutral,Mucus
neutral_1256-158-PW187-M,neutral,Mucus
neutral_1256-161-PW190-M,neutral,Mucus
neutral_1256-163-PW191-M,neutral,Mucus
neutral_1256-165-PW192-M,neutral,Mucus
neutral_1256-169-PW193-M,neutral,Mucus
neutral_1256-172-PW194-M,neutral,Mucus
neutral_1256-175-PW195-M,neutral,Mucus
neutral_1256-178-PW197-M,neutral,Mucus
neutral_1256-185-PW199-M,neutral,Mucus
neutral_1256-190-PW202-M,neutral,Mucus
neutral_1256-193-PW203-M,neutral,Mucus
neutral_1256-196-PW204-M,neutral,Mucus
neutral_1256-200-HI6-M,neutral,Mucus
