"id","E1.10.Poc.dami.1.20140731.S","E1.10.Poc.dami.1.20140905.S","E1.11.Fun.sp.1.20140811.S","E1.11.Lep.tran.1.20140731.S","E1.11.Psa.cont.1.20140730.S","E1.11.Psa.digi.1.20140807.S","E1.14.Phy.lich.1.20140801.S","E1.14.Phy.lich.1.20140811.S","E1.15.Dip.heli.1.20140726.S","E1.15.Dip.heli.1.20140809.S","E1.15.Dip.heli.1.20140815.S","E1.15.Dip.heli.1.20140905.S","E1.17.Cau.furc.1.20140801.S","E1.17.Ech.lame.1.20140905.S","E1.17.Ech.mamm.1.20140728.S","E1.17.Fav.sp.1.20140805.S","E1.17.Fav.sp.1.20140811.S","E1.17.Fav.sp.2.20140805.S","E1.17.Hyd.exes.1.20140803.S","E1.19.Lob.sp.1.20140730.S","E1.19.Lob.sp.1.20140809.S","E1.19.Sym.sp.1.20140724.S","E1.19.Sym.sp.1.20140814.S","E1.19.Sym.sp.1.20140815.S","E1.19.Sym.sp.1.20140905.S","E1.2.Tur.pelt.1.20140814.S","E1.2.Tur.reni.1.20140730.S","E1.2.Tur.stel.1.20140805.S","E1.3.Por.cyli.1.20140801.S","E1.3.Por.cyli.1.20140815.S","E1.3.Por.loba.1.20140726.S","E1.3.Por.loba.1.20140905.S","E1.4.Pac.rugo.1.20140728.S","E1.4.Pac.rugo.1.20140814.S","E1.4.Pac.spec.1.20140801.S","E1.4.Pac.spec.1.20140811.S","E1.5.Gal.astr.1.20140728.S","E1.5.Gal.astr.1.20140807.S","E1.5.Gal.astr.1.20140814.S","E1.5.Gal.astr.1.20140905.S","E1.6.Acr.humi.1.20140731.S","E1.6.Acr.sp.1.20140905.S","E1.6.Iso.pali.1.20140803.S","E1.6.Iso.pali.1.20140815.S","E1.6.Mon.hisp.1.20140807.S","E1.7.Pav.sp.1.20140905.S","E1.7.Pav.vari.1.20140805.S","E1.7.Pav.vari.1.20140815.S","E1.7.Pav.veno.1.20140809.S","E1.7.Pav.veno.1.20140811.S","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S","E3.14.Phy.lich.1.20150125.S","E3.14.Phy.lich.1.20150129.S","E3.14.Phy.lich.2.20150125.S","E3.15.Dip.heli.1.20150105.S","E3.15.Dip.heli.1.20150106.S","E3.15.Dip.heli.1.20150118.S","E3.15.Dip.heli.1.20150119.S","E3.15.Dip.heli.1.20150120.S","E3.15.Dip.heli.1.20150121.S","E3.15.Dip.heli.1.20150123.S","E3.15.Dip.heli.2.20150105.S","E3.15.Dip.heli.2.20150106.S","E3.15.Dip.heli.2.20150119.S","E3.15.Dip.heli.2.20150120.S","E3.15.Dip.heli.2.20150121.S","E3.15.Dip.heli.2.20150123.S","E3.15.Dip.heli.3.20150105.S","E3.15.Dip.heli.3.20150106.S","E3.15.Dip.heli.3.20150120.S","E3.15.Dip.heli.3.20150121.S","E3.15.Dip.heli.3.20150123.S","E3.15.Dip.heli.4.20150105.S","E3.15.Dip.heli.4.20150106.S","E3.17.Ech.horr.1.20150123.S","E3.17.Ech.mamm.1.20150123.S","E3.19.Sym.sp.1.20150125.S","E3.19.Sym.sp.2.20150125.S","E3.2.Tur.reni.1.20150127.S","E3.3.Por.cyli.1.20150123.S","E3.3.Por.cyli.1.20150127.S","E3.3.Por.cyli.2.20150123.S","E3.4.Pac.rugo.1.20150127.S","E3.4.Pac.rugo.1.20150128.S","E3.4.Pac.spec.1.20150128.S","E3.4.Pac.spec.1.20150129.S","E3.5.Gal.astr.1.20150124.S","E3.5.Gal.astr.2.20150124.S","E3.5.Gal.astr.2.20150127.S","E3.6.Acr.hyac.1.20150105.S","E3.6.Acr.hyac.1.20150106.S","E3.6.Acr.hyac.1.20150118.S","E3.6.Acr.hyac.1.20150120.S","E3.6.Acr.hyac.1.20150121.S","E3.6.Acr.hyac.1.20150123.S","E3.6.Acr.hyac.2.20150105.S","E3.6.Acr.hyac.2.20150106.S","E3.6.Acr.hyac.2.20150120.S","E3.6.Acr.hyac.2.20150121.S","E3.6.Acr.hyac.2.20150123.S","E3.6.Acr.hyac.3.20150105.S","E3.6.Acr.hyac.3.20150120.S","E3.6.Acr.hyac.3.20150121.S","E3.6.Acr.hyac.3.20150123.S","E3.6.Acr.hyac.4.20150105.S","E3.6.Acr.hyac.4.20150106.S","E3.7.Pav.vari.1.20150124.S","E3.7.Pav.vari.1.20150127.S","E3.7.Pav.vari.2.20150124.S","E7.10.Poc.dami.2.20150621.S","E7.10.Poc.dami.3.20150621.S","E7.10.Ser.cali.1.20150622.S","E7.10.Ser.cali.2.20150622.S","E7.10.Ser.cali.3.20150622.S","E7.17.Cyp.micr.1.20150621.S","E7.17.Cyp.micr.2.20150621.S","E7.17.Cyp.micr.3.20150621.S","E7.17.Ech.lame.1.20150620.S","E7.17.Ech.lame.2.20150620.S","E7.17.Ech.lame.3.20150620.S","E7.17.Fav.abdi.1.20150623.S","E7.17.Fav.spA.1.20150623.S","E7.17.Fav.spA.2.20150623.S","E7.17.Fav.spB.1.20150623.S","E7.17.Fav.spC.1.20150623.S","E7.17.Gon.edwa.1.20150623.S","E7.17.Hyd.exce.1.20150620.S","E7.17.Hyd.exes.2.20150622.S","E7.17.Myc.elep.1.20150622.S","E7.17.Pla.sine.1.20150622.S","E7.17.Pla.sine.2.20150622.S","E7.17.Pla.sine.3.20150622.S","E7.19.Lob.hemp.1.20150619.S","E7.19.Lob.hemp.1.20150621.S","E7.19.Lob.hemp.2.20150619.S","E7.3.Por.loba.1.20150619.S","E7.3.Por.loba.2.20150619.S","E7.3.Por.loba.3.20150619.S","E7.3.Por.loba.4.20150619.S","E7.5.Gal.astr.1.20150622.S","E7.5.Gal.fasc.1.20150621.S","E7.5.Gal.fasc.1.20150622.S","E7.6.Acr.hyac.1.20150622.S","E7.6.Acr.hyac.2.20150622.S","E7.6.Acr.hyac.3.20150622.S","E7.6.Mon.aequ.1.20150620.S","E7.6.Mon.aequ.2.20150620.S","E7.6.Mon.aequ.3.20150620.S","E7.6.Mon.aequ.4.20150620.S","E7.7.Pav.vari.1.20150623.S","E7.7.Pav.vari.2.20150622.S"
"e43437a71f38cd3ce4235b95c0c03619",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c1356a087fefbb27d645516b409e8423",0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,6,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"af3b331a8b252a113770173aa1902410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b7bf3120ead165261e1aa3584eedd41",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3ae29370fb2308fe4c9fcf0754930c51",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5d0f3c2a8eb48a62042d281b287706b",0,0,0,0,0,0,4,5,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b08e5e4efd7cd65a5a55318ea3534a15",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2eb9f4e6c8a08a211d016177b3b52a52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,6,0
"94896e5e58c4b104292a9809bf69f0db",0,0,0,1,0,8,0,0,1,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,2,0,7,0,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0
"e523b41ed2a0d26a7349193ab39df741",0,0,13,0,15,0,15,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,8,0,8,0,1,0,22,25,10,0,2,0,31,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
