"SampleId","model","compartment"
"neutral_E1.19.Sym.sp.1.20140905.T","neutral","Tissue"
"neutral_E1.2.Tur.pelt.1.20140814.T","neutral","Tissue"
"neutral_E1.2.Tur.reni.1.20140730.T","neutral","Tissue"
"neutral_E1.2.Tur.reni.1.20140814.T","neutral","Tissue"
"neutral_E1.2.Tur.stel.1.20140805.T","neutral","Tissue"
"neutral_E1.3.Por.cyli.1.20140801.T","neutral","Tissue"
"neutral_E1.3.Por.cyli.1.20140815.T","neutral","Tissue"
"neutral_E1.3.Por.loba.1.20140726.T","neutral","Tissue"
"neutral_E1.3.Por.loba.1.20140905.T","neutral","Tissue"
"neutral_E1.4.Pac.rugo.1.20140728.T","neutral","Tissue"
"neutral_E1.4.Pac.rugo.1.20140814.T","neutral","Tissue"
"neutral_E1.4.Pac.spec.1.20140801.T","neutral","Tissue"
"neutral_E1.4.Pac.spec.1.20140811.T","neutral","Tissue"
"neutral_E1.5.Gal.astr.1.20140728.T","neutral","Tissue"
"neutral_E1.5.Gal.astr.1.20140807.T","neutral","Tissue"
"neutral_E1.5.Gal.astr.1.20140814.T","neutral","Tissue"
"neutral_E1.5.Gal.astr.1.20140905.T","neutral","Tissue"
"neutral_E1.6.Acr.humi.1.20140731.T","neutral","Tissue"
"neutral_E1.6.Acr.sp.1.20140905.T","neutral","Tissue"
"neutral_E1.6.Iso.pali.1.20140803.T","neutral","Tissue"
"neutral_E1.6.Iso.pali.1.20140815.T","neutral","Tissue"
"neutral_E1.7.Pav.sp.1.20140905.T","neutral","Tissue"
"neutral_E1.7.Pav.vari.1.20140805.T","neutral","Tissue"
"neutral_E1.7.Pav.vari.1.20140815.T","neutral","Tissue"
"neutral_E1.7.Pav.veno.1.20140809.T","neutral","Tissue"
"neutral_E1.7.Pav.veno.1.20140811.T","neutral","Tissue"
"neutral_E10.10.Poc.dami.1.20150630.T","neutral","Tissue"
"neutral_E10.10.Sty.pist.2.20150630.T","neutral","Tissue"
"neutral_E10.17.Fav.abdi.1.20150630.T","neutral","Tissue"
"neutral_E10.17.Gon.favu.1.20150629.T","neutral","Tissue"
"neutral_E10.17.Gon.favu.1.20150630.T","neutral","Tissue"
"neutral_E10.17.Gon.favu.2.20150630.T","neutral","Tissue"
"neutral_E10.17.Mon.curt.3.20150629.T","neutral","Tissue"
"neutral_E10.Acr.cyth.1.20150627.T","neutral","Tissue"
"neutral_E10.Acr.cyth.2.20150627.T","neutral","Tissue"
"neutral_E10.Acr.cyth.3.20150627.T","neutral","Tissue"
"neutral_E10.Acr.pali.2.20150627.T","neutral","Tissue"
"neutral_E10.Acr.pali.3.20150627.T","neutral","Tissue"
"neutral_E10.Alv.alli.1.20150628.T","neutral","Tissue"
"neutral_E10.Alv.alli.2.20150628.T","neutral","Tissue"
"neutral_E10.Alv.alli.3.20150628.T","neutral","Tissue"
"neutral_E10.Cyp.micr.1.20150627.T","neutral","Tissue"
