"Phylum","taxon_path_count","tax_path_mean_abun","tax_path_sd","unique_function_count"
"Acetothermia",137378,40.3104460093897,19.5885288676792,852
"Acidobacteriota",669507,67.511041645659,34.4034038335568,1416
"Actinobacteriota",301646,84.0239554317549,78.5744681413639,1178
"AncK6",143034,64.5169147496617,32.9753464392325,739
"Bacteroidota",5627702,64.4063952024537,51.3619237193093,2077
"Bdellovibrionota",715235,60.4747611397649,51.4547323593748,1597
"Calditrichota",22968,25.8940248027058,8.99573753662403,887
"Campilobacterota",14616,12.2207357859532,6.69529440405056,1196
"Chloroflexi",471711,51.6603876902858,35.4819761446734,1350
"Cyanobacteria",423996,26.4964379452568,25.9869726668653,1928
"Dadabacteria",75504,53.701280227596,18.6891891732669,703
"Deinococcota",36386.5,34.7199427480916,16.4060246230393,1048
"Dependentiae",35035,51.6740412979351,15.8661760913572,678
"Desulfobacterota",691112,45.9974708818636,33.6894216362437,1909
"Entotheonellaeota",83328,48.9014084507042,14.0260104953884,852
"Fibrobacterota",49581,66.3734939759036,19.5528017911246,747
"Firmicutes",554554.25,35.2075582502698,44.1272408956157,1549
"Fusobacteriota",47005,8.2609841827768,8.1076661669519,1138
"Gemmatimonadota",192001,58.8599019006744,36.7204018251702,923
"Hydrogenedentes",51054,69.5558583106267,18.3415083194974,734
"Latescibacterota",76946,45.2091656874266,26.0335054882026,1014
"MBNT15",40221,43.3415948275862,10.9377326790923,928
"Marinimicrobia_(SAR406_clade)",85824,51.2688172043011,21.1489329604698,558
"Myxococcota",800918.96,59.3185424381573,52.1112658989515,2071
"NB1-j",93810,110.364705882353,25.0880884170132,850
"Nanoarchaeota",67071,85.4407643312102,27.4683374203744,785
"Nitrospinota",49796,61.6287128712871,16.6665160040794,808
"Nitrospirota",98728,95.0221366698749,44.288492949768,1039
"Patescibacteria",454025,60.877581120944,30.255452633352,678
"Planctomycetota",682570.5,42.6900056288698,47.9345197124814,1851
"Proteobacteria",11328872,68.8676854992644,62.1806840972585,3694
"SAR324_clade(Marine_group_B)",66096,71.377969762419,17.5643899758867,926
"Spirochaetota",67928,65.6943907156673,39.7323990081768,1034
"Sumerlaeota",33089,31.603629417383,13.2864638131426,1047
"Sva0485",22239,22.1283582089552,5.66639301072884,1005
"Thermoplasmatota",19260,31.5737704918033,8.27376214979879,610
"Verrucomicrobiota",2790933,76.5667059888618,67.1302369432325,1781
