"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"1256-008-C119-T_below","1256-008-C119-T","Orbicella annularis","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-011-C120-T_below","1256-011-C120-T","Orbicella faveolata","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-014-C121-T_below","1256-014-C121-T","Orbicella faveolata","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-018-C122-T_below","1256-018-C122-T","Orbicella annularis","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-024-C127-T_below","1256-024-C127-T","Scolymia sp","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-027-C128-T_below","1256-027-C128-T","Scolymia sp","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-030-C129-T_below","1256-030-C129-T","Scolymia sp","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-032-C132-T_below","1256-032-C132-T","Montastraea cavernosa","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-036-C133-T_below","1256-036-C133-T","Montastraea cavernosa","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-042-C143-T_below","1256-042-C143-T","Stephanocoenia intersepta","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-045-C144-T_below","1256-045-C144-T","Stephanocoenia intersepta","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-048-C145-T_below","1256-048-C145-T","Stephanocoenia intersepta","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-052-C148-T_below","1256-052-C148-T","Diploria labyrinthiformis","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-055-C149-T_below","1256-055-C149-T","Diploria labyrinthiformis","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-061-C151-T_below","1256-061-C151-T","Siderastrea siderea","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-066-C153-T_below","1256-066-C153-T","Siderastrea siderea","E5","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-070-C327-T_below","1256-070-C327-T","Montastraea cavernosa","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-073-C328-T_below","1256-073-C328-T","Montastraea cavernosa","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-074-C369-T_below","1256-074-C369-T","Acropora palmata","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-075-C370-T_below","1256-075-C370-T","Acropora palmata","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-076-C371-T_below","1256-076-C371-T","Acropora palmata","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-077-C372-T_below","1256-077-C372-T","Acropora palmata","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-078-C373-T_below","1256-078-C373-T","Acropora palmata","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-079-C386-T_below","1256-079-C386-T","Diploria labyrinthiformis","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-080-C435-T_below","1256-080-C435-T","Acropora cervicornis","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-081-C436-T_below","1256-081-C436-T","Acropora cervicornis","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-082-C437-T_below","1256-082-C437-T","Acropora cervicornis","E12","Colombia","Caribbean","Tissue_below","Tissue","below"
"1256-103-PW164-T_below","1256-103-PW164-T","Pavona clavus","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-106-PW165-T_below","1256-106-PW165-T","Pavona clavus","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-109-PW166-T_below","1256-109-PW166-T","Tubastraea sp","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-112-PW167-T_below","1256-112-PW167-T","Tubastraea sp","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-115-PW168-T_below","1256-115-PW168-T","Pavona clavus","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-119-PW169-T_below","1256-119-PW169-T","Tubastraea sp","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-122-PW170-T_below","1256-122-PW170-T","Pavona clavus","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-125-PW171-T_below","1256-125-PW171-T","Gardineroseris planulata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-128-PW172-T_below","1256-128-PW172-T","Gardineroseris planulata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-131-PW174-T_below","1256-131-PW174-T","Pavona gigantea","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-136-PW176-T_below","1256-136-PW176-T","Pavona gigantea","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-139-PW177-T_below","1256-139-PW177-T","Porites panamensis","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-142-PW178-T_below","1256-142-PW178-T","Porites panamensis","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-147-PW182-T_below","1256-147-PW182-T","Tubastraea sp","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-151-PW183-T_below","1256-151-PW183-T","Pavona gigantea","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-154-PW185-T_below","1256-154-PW185-T","Psammocora stellata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-157-PW186-T_below","1256-157-PW186-T","Psammocora stellata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-160-PW187-T_below","1256-160-PW187-T","Psammocora stellata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-168-PW192-T_below","1256-168-PW192-T","Pocillopora damicornis","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-171-PW193-T_below","1256-171-PW193-T","Gardineroseris planulata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-174-PW194-T_below","1256-174-PW194-T","Porites lobata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-177-PW195-T_below","1256-177-PW195-T","Pocillopora elegans","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-180-PW197-T_below","1256-180-PW197-T","Porites lobata","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-189-PW201-T_below","1256-189-PW201-T","Pocillopora elegans","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-192-PW202-T_below","1256-192-PW202-T","Pocillopora elegans","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-195-PW203-T_below","1256-195-PW203-T","Pavona varians","E11","Panama","Eastern Pacific","Tissue_below","Tissue","below"
"1256-202-HI6-T_below","1256-202-HI6-T","Porites lobata","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
"1256-205-HI7-T_below","1256-205-HI7-T","Montipora capitata","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
"1256-208-HI8-T_below","1256-208-HI8-T","Pocillopora meandrina","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
"1256-211-HI10-T_below","1256-211-HI10-T","Pocillopora meandrina","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
"1256-214-HI57-T_below","1256-214-HI57-T","Leptastrea purpurea","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
"1256-218-HI58-T_below","1256-218-HI58-T","Lobactis scutaria","E15","Hawaii, United States","North Pacific","Tissue_below","Tissue","below"
