"Feature ID"	"Taxon"	"Consensus"
"109d69e09148a9757f466352851f89c8"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales"	0.7
"1162738631787faae1159ce1840dc5ff"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_III; g__Clade_III; s__uncultured_bacterium"	0.6
"116b1cac992c327b3c2641b56b6ceddf"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales"	0.6
"122211db3ffd3f79121d1f39865c9fb6"	"d__Bacteria; p__Planctomycetota; c__Pla3_lineage; o__Pla3_lineage; f__Pla3_lineage; g__Pla3_lineage"	1
"129e42f50ca4a785146850c01585b64d"	"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae"	1
"13410e4186436f3e36ebd90be22dcf49"	"d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__uncultured_bacterium"	0.6
"13554dc2ef1e7c5ab2cfbaf5ff011289"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41"	1
"13edc181295be4d7edd686f3bb798dd6"	"d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium"	0.8
"143e2107bf6409cf050b4748500b3f19"	"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales; s__uncultured_organism"	0.9
"14e203bf0a8817d007d13b780997ee31"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured; s__uncultured_bacterium"	0.7
"151e0158f0344cba50fea7aa0f39fcba"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales"	0.8
"15faca6e47988b4fb3648dda6c216bc0"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella"	0.6
