	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
1142199	FALSE	FALSE	FALSE	FALSE	FALSE
591043	FALSE	FALSE	FALSE	TRUE	FALSE
112962	FALSE	FALSE	FALSE	FALSE	FALSE
4325392	FALSE	FALSE	FALSE	FALSE	FALSE
517031	FALSE	FALSE	FALSE	FALSE	FALSE
1126195	FALSE	FALSE	FALSE	FALSE	FALSE
1078375	FALSE	FALSE	FALSE	FALSE	FALSE
354247	FALSE	FALSE	FALSE	FALSE	FALSE
14475	FALSE	FALSE	FALSE	FALSE	FALSE
1118132	FALSE	FALSE	FALSE	FALSE	FALSE
3348667	FALSE	FALSE	FALSE	FALSE	FALSE
4440517	FALSE	FALSE	FALSE	FALSE	FALSE
1124068	FALSE	FALSE	FALSE	FALSE	FALSE
7229	FALSE	FALSE	FALSE	TRUE	FALSE
4378239	FALSE	FALSE	FALSE	FALSE	FALSE
5137	FALSE	FALSE	FALSE	FALSE	FALSE
439457	FALSE	FALSE	FALSE	FALSE	FALSE
107461	FALSE	FALSE	FALSE	FALSE	FALSE
679745	FALSE	FALSE	FALSE	FALSE	FALSE
1108706	FALSE	FALSE	TRUE	FALSE	FALSE
4374109	FALSE	FALSE	FALSE	FALSE	FALSE
4340807	FALSE	FALSE	FALSE	FALSE	FALSE
262768	FALSE	FALSE	FALSE	FALSE	FALSE
669611	FALSE	FALSE	FALSE	FALSE	FALSE
4408637	FALSE	FALSE	FALSE	FALSE	FALSE
4351262	FALSE	FALSE	FALSE	FALSE	FALSE
209523	FALSE	FALSE	FALSE	FALSE	FALSE
136286	FALSE	FALSE	FALSE	FALSE	FALSE
2216255	FALSE	FALSE	FALSE	FALSE	FALSE
558772	FALSE	FALSE	FALSE	FALSE	FALSE
350334	FALSE	FALSE	FALSE	FALSE	FALSE
3070042	FALSE	FALSE	FALSE	FALSE	FALSE
849585	FALSE	FALSE	FALSE	FALSE	FALSE
