"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S"
"43cdf5873abd339e129692a1efad066a","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"475a720a57492fd2f0b89718bc43ffd7","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b52230b03a1ccd82d65d32fa08331b91","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Unclassified  Candidatus_Magasanikbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"909f1a2dfb1f4f59aba82dc56e390281","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"40218aa3709ced0d4f09e606a9c22982","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria uncultured_bacterium",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cbd0a874739e36c9d92b1eb46f0df3aa","d__Bacteria","Patescibacteria","Gracilibacteria","Unclassified Gracilibacteria","Unclassified Gracilibacteria","Unclassified Gracilibacteria","Unclassified Gracilibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"9877009424ed514bc8cd5dbc211b5e16","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Unclassified  Absconditabacteriales_(SR1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"9d6f724cc264b405e135e20caafd915d","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"62965a6407efa05fd514871dbb928efa","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b8cc4c9661d725e12be85dfcffac04b8","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ed00febbd2a76da65881c82a651b589","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
