"id","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S"
"04fbfd7dbd4ecaf5856cfa6bcd8f1899",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"21bf3ce0496e4ceaf4287cbe6d7f3001",0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"065541b7cd7b5fb73eab7d92c5ee4d27",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1824d4270111440b66934d219edf333b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"77b9a20a89129c426bb42461fc092f36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"258327e6883170d7e5d5349110ae437e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"769593636aad0c52dfffb1ca23b4a9c1",116,0,0,0,0,0,0,73,0,0,0,33,76,0,79,0,0,0,0,5,11,0,0,0
"85a30698a8da467271df1f21aeff16df",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0
"a70cbe12bf90c465fab7b7b9c6630db8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"a752393b7b17a0b999bb1cabe4cb690a",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d34ab5ee7e6886abe87081450064ed81",0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b775a565dad5034b5f66bfe3d372d106",0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f10e5d2a393fd53efbfac4a56331e66",0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,4,0,0,0,0,0,0,0,0
"d1f7847f8b46bbbdb02b65a86513a6a7",0,4,7,0,0,2,9,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0
"a1f7064ffcc8b6700d07c6dddef3f07b",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0
"47bc1667d7ccabc131fe20fae73bf8cd",70,0,0,0,1,0,3,0,0,0,232,142,0,3,0,0,0,11,0,41,20,0,0,65
"877a60a7b33c4b6444346f905a15eaa1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d40fa0fa9d260e36ea3b815cde91fc9",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c14a316dfc225e31480c83d2b8b1cccc",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55619a4e623dfd41560c42cb767d3c8d",0,0,103,39,1,11,15,13,0,0,0,0,0,4,41,0,0,0,39,0,0,4,0,0
"aeaad16f5be499841aad34042b8e4964",0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0758f406f8145ddbaef8a11760d9f78c",0,0,0,0,0,2,0,0,0,0,0,221,0,0,59,0,0,0,0,0,0,0,0,0
"a4b4689eb2240d9cf3725a1f890cba45",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483e3bd3f94f9b834e32e370391cc3e9",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"393dc63912a7591c868a2bb2fc1d02a0",0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfb26c4a8eaf3e72b1774997e2d5cc47",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"27e9a934456d9c5cf53a471df8003b29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"8bedfcedd47c0d24e7b4a38f80b979aa",0,0,0,0,0,0,0,1,0,0,87,0,0,0,0,1,0,0,0,7,0,0,0,0
"87bbf310182fe12ed3a56f577f557761",0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
"1d21c69f29447f7b15053f93419a4eac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"389424a453091776937b0630beb8e16e",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"26159cc94769dd444726ff5c59061406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"cc3b86769c5ac03ec3b44cf529a1f8f4",0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"e986bee3a82d359a815a03b8b5ccc771",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,7,0
"0b4ee2e4cfa46bb732f1fdd84f543fba",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660608b107387438765e71fbb318798e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"d084baf4fa2ff3af5f4f36898fe92337",0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18bd0a9ae7d5f86586609335611103d8",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"b264ae9723d008bd7be51b01979bee57",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,0
"5bbb0b1e5abd649c12e386a02af97cd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,29,0,0,0
"a2ebdeda1c2b86af14c7650f9640fa88",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6abb5f4d64baba09d2f1a1b6219ae041",0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"36fd92cc1c2b517cfe712de653a5fe73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c7bffe2b807202d216306f3ebbc6116",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1bfd8fbd0f9cabbe723f8b0d5f33f350",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45f2640db4d7d486215d5dc0006df7cf",0,9,0,0,15,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94d274f7895c26f5ea2afc3c64925bd9",0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ebcb2c26fe2246f3ea0a24aa40a96cf",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a4b6fa247c4dac925865e5019f91371",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d7a1084634f2ea46491e1814593eafa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce6d98ec24c57a16818c75ea27e1c20e",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74247eee133a691639bafc4d9620abde",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9bb21f64f9942e9b1fdf5bda5effdead",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c1f8090dd5bb9a0bf011f5ccc20aef54",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f7b9b12b3b030992560863db37b944b",0,0,0,0,1,5,0,2,0,12,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"293ed7390f22b13d06ad23e78a181158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"3732538b1a24c28944eb2bf3a47fdfc5",0,79,0,50,21,68,32,18,0,44,0,0,0,0,57,44,108,0,0,61,11,0,106,76
"fad96b92a298d4ff45d21f468307230d",0,0,0,0,0,0,2,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"eaffeaa6cb1179c873773e7e68618036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"37dc1bb5f92168b7faa4912967692cb7",0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0
