"id","1256-102-PW164-S","1256-105-PW165-S","1256-108-PW166-S","1256-111-PW167-S","1256-114-PW168-S","1256-118-PW169-S","1256-121-PW170-S","1256-124-PW171-S","1256-127-PW172-S","1256-130-PW174-S","1256-135-PW176-S","1256-138-PW177-S","1256-141-PW178-S","1256-144-PW181-S","1256-146-PW182-S","1256-149-PW183-S","1256-153-PW185-S","1256-156-PW186-S","1256-159-PW187-S","1256-162-PW190-S","1256-164-PW191-S","1256-167-PW192-S","1256-170-PW193-S","1256-173-PW194-S","1256-176-PW195-S","1256-179-PW197-S","1256-186-PW199-S","1256-191-PW202-S","1256-194-PW203-S","1256-197-PW204-S"
"0d21ec55c82452b8dba221a31eed50ff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,0,0,0
"833675102ee0af0915b35f77f4c739da",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486c33210b132281f2b0c38572798f83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40c1397b6dfed7ac135d1eec0e2b47d2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc2f06283da840c67cebd4f1efa9c7b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"bf20e8ffdced683e9403676e64e77419",0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,4
"309f95815bd3e3e2f19e8cf71d130408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0
"e041d9d66bffca70eb419f17ae0f287e",0,0,0,0,0,0,0,1,6,1,4,0,0,7,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"98d2aeba92b38a8aba3d41dd26a19f1e",0,0,1,0,0,0,0,0,13,3,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"f086f7a66fec887e3c36d0dc9cc5d902",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c329d4dd53c82d76c46520998ca9ba9",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"f3e292455fcd30a20f69ee31a338ea3f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a703f26be2d645fb7562cd2fe5c879c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2f63b9435f0a1a2ecb25f7a676bb4ba4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1f0107e6a633390de85be80accbb973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"3066a55aea93323ec6d766f2274e5b53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d89fc6a2cc9c25f7e3c8e400bbe65964",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ef6f62d7ff2e96c0f11e9af548a867a8",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"9392da2e9dcfa6ac6194aab95403000e",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"da9cc77eba6a0eff335abe64fb4b6db8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"e69f77c46e473b0fb934b8bd64c317b7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83840b84d2b90abba9cc91e626e72848",0,0,11,0,0,32,3,0,0,0,4,0,0,0,3,0,6,0,6,0,0,0,1,0,0,0,0,0,0,4
"4955203e3d1f9d43cbe839402b1ce3b0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"c547049c64c885fc0aebf40693eab988",0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
"e9305207ed7184a3eb2d7c892352a275",0,0,10,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a1e41f59a6a2f0a3ca8efb43f1e2edff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0
"700d22984559176798bd8cd62312d40b",0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4bd9ca608f510acc06149c8f68c92a8c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"c4f162bb647c5fe03f65250bae36d480",18,0,0,0,43,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1
"9a9f788c9fd0461e45ea287cb0bd3f7e",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"9bb68b38533881615fadaca07a3cf9c2",0,0,0,0,37,0,0,0,0,43,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,51,0
"0717cd1ca0e14d4841c63e1e0c4b2229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,17,9
"8fc0e1983b67fd0fa1922846e07ca3ae",0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"3b1d679176606de13026c44f85744a65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0
"472be8a5db706f8c615c869e0d4a1514",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0
"e782fb329ab7b6c3accc5e715eba340b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"dcd4320828c51de8f6d6c5516472522b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b48a0e6fe9cf051057508bd7525e810",0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"7bff15c06d5d3d8846a8c546ed8ff516",0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"9fa3e0b7a62dd6625b52a4cc34be9788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a51500884c830b54a375d8ef88fbe381",0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"f5ecbc019fa4425b5561575781e473e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0
"59d3c91935df2c46f5a1ef24f5eae02e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"4f3dd2853f10b04bee4be40a4cf8f80b",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0
"0385bba397640d3ae565755eb20ff8a2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
