"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"5ca6fa5c41b62799d3096cdfffe4b529","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"dbe86964f46d4d620ef8c68a7c2e2d25","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"a8adfc78b821a4f339a1bca296063a32","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c7e8ad8c7a45349a609da8a17ceb6659","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06a643b0979b644b1fbae71edbe91ca0","d__Bacteria","Cyanobacteria","Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8b360dec5968a295a5ee87413e81a2e1","d__Bacteria","Cyanobacteria","Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"c888069dd6ba9b19a8fdd7aa173de5ba","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales uncultured_bacterium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"e3666f37055583168060b79eff513358","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Unclassified  Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"0f31b6439223a96a9abfd930cca09e4c","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales uncultured_organism",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"f9ebf14dfc4736f8d1922f64608dea1e","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Unclassified  Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6675b368ee23257440a30c1c0c2d5d7e","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
