"id","E10.10.Poc.dami.1.20150630.M","E10.10.Sty.pist.1.20150630.M","E10.10.Sty.pist.2.20150630.M","E10.10.Sty.pist.3.20150630.M","E10.17.Fav.abdi.1.20150630.M","E10.17.Fav.abdi.2.20150630.M","E10.17.Gon.favu.1.20150629.M","E10.17.Gon.favu.1.20150630.M","E10.17.Gon.favu.2.20150630.M","E10.17.Mon.curt.3.20150629.M","E10.Aca.hill.1.20150629.M","E10.Aca.hill.2.20150629.M","E10.Aca.hill.3.20150629.M","E10.Acr.cyth.1.20150627.M","E10.Acr.cyth.2.20150627.M","E10.Acr.cyth.3.20150627.M","E10.Acr.pali.1.20150627.M","E10.Acr.pali.2.20150627.M","E10.Acr.pali.3.20150627.M","E10.Alv.alli.1.20150628.M","E10.Alv.alli.2.20150628.M","E10.Alv.alli.3.20150628.M","E10.Cyp.micr.1.20150627.M","E10.Cyp.sera.2.20150628.M","E10.Fav.abdi.1.20150629.M","E10.Mon.curt.1.20150629.M","E10.Mon.curt.2.20150629.M","E10.Poc.dami.1.20150628.M","E10.Por.hero.1.20150628.M","E10.Por.hero.2.20150628.M","E10.Por.hero.3.20150628.M","E10.Ser.cali.1.20150627.M","E10.Ser.cali.2.20150627.M","E10.Ser.cali.3.20150627.M","E10.Sty.pist.1.20150628.M"
"28c4186f046903bb87e03cc4c634618c",0,0,0,0,0,0,4,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,21,0
"05695a7de9c729c3b53ae2054c8a3143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"77b1294eded21e8f0900018d0da6f6ae",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"f5f36db04331084c05d8145fab1db301",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,0,0
"973214b081506fbf9cd3e0ea1672eed0",0,0,16,0,0,0,0,0,0,0,18,0,21,0,0,0,11,13,15,0,0,0,0,11,10,25,0,0,0,12,0,0,59,20,0
"f59eda3819fcda1b441658dcad5809ee",0,0,12,0,0,0,2,0,0,0,3,0,16,23,22,26,0,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,31,0,37
"858e51b3dd68371683e59b6ddc02bfaf",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1007b1b916d7a473753268fafc56eb40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9ffe42627ceaf6bae59c5c301b63b6a9",0,0,0,0,0,0,0,0,0,0,30,0,0,14,0,0,0,0,0,0,0,32,0,0,3,12,0,0,0,0,0,0,0,0,0
"c2c0513e6610e0ca3e9242a62a6ac0fb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5416452b4bed13e03edfc993f7e53466",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76f463a1a2b1727db838028cd6162280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"75c3fb67b9d34ab5c7ffdef02c962cf3",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c96208030f3c25e0c953e517051f9902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"e43a58ad80ff58792a461639d78880fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"adc6d6050e32536d981e8e0d9d60e7ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"648c76f1eeccfcd7c808f46f02782e61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"7bfb4295fc89be68761e498c6dee4714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6cdc5f39734f542b3c70f9cdba511173",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189646b719fdfc9dd2787b19b2e0eb53",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13edc181295be4d7edd686f3bb798dd6",0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"3e1a2f5c968c59fcdd093014ee6328e7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1803c3ad3d2bab7ea9ff8ef09429de36",9,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,22,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,9,0
"ba5f1b81d38c64252fc6356cf307bd32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2cda0e5a2607c16ecb7f99d57fb734be",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293d94dbc272ccfa12266e5febf45025",0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714a0b19b3b6af9b966dd9b4f3f55d28",0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e0f661f0d8140a699cbf7bb7a6185ad",0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351368706da833694975fd1668ba4cf0",0,0,0,0,0,0,17,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,40,0,0,0,0
"e1131cdc948b9e3cd35b487e62db92ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,0,16,0,5,0,0,0,0,0,18,0,0,0,0,0
"b8d4ade25acdb76a0ae65e858e025d09",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d5849c32fc4844eb2625ce9c5b2a690",0,0,9,0,0,0,11,0,0,0,24,0,17,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,39,0,0
