"id","1256-101-PW164-M","1256-104-PW165-M","1256-107-PW166-M","1256-110-PW167-M","1256-113-PW168-M","1256-116-PW169-M","1256-120-PW170-M","1256-123-PW171-M","1256-126-PW172-M","1256-129-PW174-M","1256-132-PW175-M","1256-134-PW176-M","1256-137-PW177-M","1256-140-PW178-M","1256-143-PW181-M","1256-145-PW182-M","1256-148-PW183-M","1256-152-PW185-M","1256-155-PW186-M","1256-158-PW187-M","1256-161-PW190-M","1256-163-PW191-M","1256-165-PW192-M","1256-169-PW193-M","1256-172-PW194-M","1256-175-PW195-M","1256-178-PW197-M","1256-185-PW199-M","1256-190-PW202-M","1256-193-PW203-M","1256-196-PW204-M"
"cc97ce7f9198fde45c7ce81910cb2d57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"83308b4ef4c9163bf707aa07627a7884",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,4,1,0
"5eea439c47fcac7a73d75898171fb17d",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3bbb7ea4272f934fc6e1afc5553f08ba",0,0,0,0,32,0,9,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,11,8
"faa0334b772310c4157743f2e5b09484",0,0,11,16,7,0,6,6,0,14,0,22,11,12,10,35,8,0,0,3,33,0,10,0,0,18,3,27,17,23,10
"5c66e54ac5038337667ec46f83d72085",0,0,13,55,0,0,6,4,0,0,6,32,7,0,21,32,16,15,0,24,28,0,16,18,0,34,3,30,27,15,17
"ce3efa0d286ca5fad2a4aee6b83ae2a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"f051f501234a113a0f51247c32f4cae4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4
"49fc70a7882c2c6e63f7d742bebfb9c5",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"85ee831736c16d0b838f194055707322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"c05cc88ab3086e20489e84200e0426ec",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,2,0
"77d809840331e383959a9789b7e1bef7",0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
"16b6815bd893a3ca42916a63decca49f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d20f6bb9e6b969b86300da5c9046d29c",0,0,0,6,0,0,0,7,0,0,0,14,0,0,0,0,0,5,0,5,4,0,0,0,0,0,0,0,3,2,5
"8662d9b41063575c702c4900cc69ddf6",0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,9,0,0,0,7,0,0,0,2,1,0,1,0,0
"4387acf68ad4bbfd64e7bbd5673d254e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"3e3bc461d5c226eaf2be6cf74b25a9d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"cc9951bb9e5bedd217053de599889226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"0cdf6f7197b8c3ec1f6af3439072e8fd",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
"bbef7a39ab74f99471ee617dde952ff4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15c76e94e2e7238a8f5426d67c0bf6e8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"bc0533e754cda40e80893c6bc36cd4b3",0,0,0,0,0,0,0,0,0,0,0,0,107,270,71,5,1,0,0,5,0,0,2,0,0,0,3,0,7,1,1
"0853f1ee3da5f825a3aa897e0d9b3b68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7f3f8153b2397f1a8c159f280e6377b5",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ebfd1b71615a88fb3906eb4f842a739e",0,0,0,12,0,0,0,0,0,0,0,1,14,0,8,19,11,9,0,12,5,0,12,0,0,1,19,27,8,9,8
"80eb17d7316e6c64c6c2443b6dc7ead8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,6,0,0,0,20,3,8,16,7
"a9a02db8f599111510a6796d4f2b09fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"536ca33f944abb6abce801ca88ae9d72",0,0,8,6,6,0,0,0,0,27,0,22,8,19,55,49,23,15,0,25,22,0,30,0,0,14,1,22,32,19,14
"78c9e1265a14df3326b58d640ccf3ba0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,2,0,0,8,0,9,0,2,2
"836789987da50989963da945ac6141d0",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc67d62206520a1a1c4a0e25698be54e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"f7cdf331ff0d3533a45f6eabeae1ed52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"a173837b725b44abb4791d9f6685f781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ff7bace23291c986aaa025cc18a96097",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10bb66e26c48eda9a4584a51744775d5",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320cb2e4096fad05c2cc5d8538236bc5",0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,9,15,0,1,0,0,5,69,0,0,0,0,0,0,0
"30135b80f6c2608cfb68f5fdd4b4e697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,5,0,0,0,0,0,1,0,3
"4170072eccc3bde8afc7af3417ed216f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"651419b8e51ce1f0ab7e237703e40e6b",0,0,4,0,3,0,0,0,30,0,0,13,0,0,5,9,7,16,0,24,23,0,39,0,0,12,0,13,15,13,1
"3074ae5fc5b1390e5ebaf828c26999c7",0,0,0,0,0,0,0,0,0,4,8,9,8,0,0,3,3,0,0,4,0,0,2,37,0,0,5,0,5,0,0
"3f8b1f16da52cbee2e9751350a339f96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"728a12d31092bb9804140c029cd358f9",0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0
"641f5b32134d7808a752034c3cfd6785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ed57d13c50be800f2c0bc4387aacf34",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,21,3,0,13,4,0,0,0,0,3,0,10,7,0,0
"86965f502acb614a759643f4ca7c4357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"c5a0e6f410f0b0156e41e0ee285c5cc7",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a078ca30d8020f8c807fa079c25c9396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8f0d4670d069f96efae6808fde56004f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,0,0,0,0,0,0
"46996a1d39893c2afb2be13f14d956fd",76,75,24,0,16,21,0,0,0,16,0,9,4,7,0,0,4,0,0,0,9,34,0,0,19,5,0,0,1,11,0
"5220669154c0a3e6feac24c6d4b96101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"34e5a2caf9568757ba9f36d6e1c7e4fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"450318f01d8f5111c99979dff0fea3ab",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"5da65127c8b4d62f102843b841a36aaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"a8abef2b4783dcf363e42575bff174ae",0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0
"7673098e3e1ac0d16a0bc71b9c40cf2f",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b97b5e870a28e1e71d25feb92e9bcd7",0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ead377f2e3de8e0abe70ad7180b58055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"4743b80cde3890715e12581a8856d5d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5c37627bb4f4695608310e7d4a4b1a86",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,4
"1fd7b6f87ce911d199161fcd8ae5eef1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"20a23bc2da44088650f38bf3a98ca51e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"53947b5a7f3e2ea3f85b535fca0e7d21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"b0ae2bb40c249ab4f5fc4e44138096f2",0,0,7,8,7,0,39,12,0,43,0,10,8,7,32,29,32,11,0,10,29,22,9,0,0,22,0,17,33,17,12
"da6c0c1252b4d878f7a122e3d75c622c",0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,0,2,0,0,0,0,0
