"","PD","SR"
"E1_Coral Tissue",2058.871665,20
"E2_Coral Tissue",1680.646455,13
"E3_Coral Tissue",1527.222944,9
"E7_Coral Tissue",1466.393136,14
"E15_Coral Tissue",1421.780707,10
"E10_Coral Tissue",1141.044148,9
"E11_Coral Tissue",1129.608899,7
"E5_Coral Tissue",1034.859469,6
"E12_Coral Tissue",796.461367,4
"E8_Coral Tissue",738.886092,2
"E9_Coral Tissue",369.443045,1
"E4_Coral Tissue",0,0
