"","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","ci.mean","SE","zstat","p_value","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"097d674ebf2687d95ae96b111b22ff39",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA,NA
"09bb38624052e751e600e674782e476f",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"199b3e0eefb44cd918ff794f82fd35f2",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"2530f2af38b351ab319c03ed7f6046cd",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",NA,NA
"2d2140f4da653391e4cad0e9b57df92d",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"2dc14cf87db0f8590b1342914f99854d",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"3defb1715b9f54b862716e20522730d3",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"3ee0289836d2edf226fef103db64e1fc",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1",NA,NA
"4fc7dd9aea5d494dd7ac45605799b5d1",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae",NA,NA
"5284be82fd5eb97083f8a9b51466c075",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae",NA,NA
"5345c50acea65b5d78fd5a2a7a9b789e",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"5980d6beb8c6ebe7d58bc84de699939d",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae",NA,NA
"64a5a6d22af822e920b7061395fdfef1",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"6701013657b798f44f0f12e6f3a511bc",5e-05,0.05,0.00115850852376493,4.01770961963859e-06,0.250841218975686,0.0487717645749595,0.00851140684704331,0.234440563804385,"neutral",0.250837201266066,0.0639890819556292,0.781383299649003,0.442973766726536,87.708805811854,"d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales",NA,NA
