"id","1256-200-HI6-M","1256-203-HI7-M","1256-206-HI8-M","1256-209-HI10-M","1256-216-HI58-M","1256-219-HI59-M","1256-222-HI60-M","1256-225-HI61-M","1256-228-HI62-M","1256-232-HI63-M","1256-235-HI64-M","1256-238-HI65-M","1256-244-HI67-M","1256-247-HI68-M","1256-251-HI69-M","1256-254-HI70-M","1256-256-HIA-M","1256-259-HIB-M","1256-262-HICM","1256-269-HIE-M"
"9292e54b84068d02aa36fb0ebdecaadc",0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0
"2dee0c07fbc734ab39877be6c7c03568",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"d6d1b2b144665b9fcf1a7c4f57d8d5d7",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"d0f39e41e158e51c53be709d61d9e049",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"f798f8fbcc73baea0eb85d606590d1b5",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"f3619a72f27118697126a904620feaf8",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"09bb38624052e751e600e674782e476f",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4fc7dd9aea5d494dd7ac45605799b5d1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ac6c6fa403cc06085da319e908fdd03f",0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0
"c4c1841241a474b239d66510ceddb6b9",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"b9c2fc17168ae9d7f90bae5181e81167",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"fa7e95899ac79b7e2d05daa837f1b2b9",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"058210a24669e63024ae57396dfdd660",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"ca7f92987506656401a146f2ebe6d9c3",0,0,19,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"cc10426d505684eea0facbb76d44f2f6",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73b6fe71585134700c28ef930eae0aa1",0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52ea160d6a9134f5b46ad5030ea5e75a",0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
"8257945ae6bbd266fe7a7081a2c3c636",0,6,7,117,0,0,0,0,0,0,65,0,0,34,0,263,0,15,0,53
"045a24a9043e950709bc435aa984f2fc",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0
"667c03782df371d1ce853ab932416dc9",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"d9e11523a04f3facd3c4a90efb271103",0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,9,0,0,0
"98aa63a9a577aab58e43fd8f6bdd598a",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"70f60f16a6c6c8cd71f76d5a826062fb",1,8,0,20,0,0,1,0,16,24,0,0,1,0,0,0,11,0,0,0
"e736897bb5ea8f57fd5230ef2a52af98",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"81a10d442ce8d23dcbc2f28cee654a09",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,51,0,0
"7798433ec9e924c2f65e08b1d5e8b1a9",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"3defb1715b9f54b862716e20522730d3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7df5b9149b84800e305892162d029afb",0,0,0,0,0,0,27,0,0,30,0,0,2,0,0,0,11,0,0,0
"8b62d402e2122ffbdda9ef6c0fdc5341",0,0,0,0,0,0,3,0,11,1,0,0,0,0,0,0,0,0,0,0
"72360820288b47230a0093e17aa765c8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5bade9ef6d22501a189d805192f8b27c",0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0
"277f5016aa14ff7da18de2db75d884f7",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7cdfda296f28f9cfb339c9f7583d255e",0,0,0,42,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf1d101f3c137b00af0fc1dd37985611",0,0,0,0,0,0,0,0,0,77,0,0,1,0,0,0,4,0,0,0
"dc3f7e30c6351bbf4a73911601d93573",0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,10,0,0,0
"f709efa5d59176c9b835bdfd8ca7118f",2,0,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0
"ac02d5f8551fe555189ba9103e50fdea",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"8a0902cb041b8681581284db538e3b6b",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d2140f4da653391e4cad0e9b57df92d",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35749006945d6f4ac2d2e713a977a074",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1b0838a06389eaf98e0000c911be5716",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"097d674ebf2687d95ae96b111b22ff39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74388b720a3f4b3bbb1615cbe753fb63",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5345c50acea65b5d78fd5a2a7a9b789e",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9b02895e3eb2b9ff78d34471b08f50ea",0,1,0,0,0,0,9,0,0,6,0,0,6,0,0,0,58,0,0,0
"fd4dd44d1364089d6f2844a4186d8f3d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
"92ea04e5f99479c6e135a2ccfcb54902",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"5faf1dbf741d14e44f5a6e934d55467b",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dcd7643368eabcb12d2a9869d686a12f",0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"bf363e288ea49312d7bf6dfb9fafd2c7",0,0,0,0,0,0,0,0,18,2,32,13,0,16,0,0,0,0,0,0
"0d0504356af8733ee6d6985cd56a85bf",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4e4c5cd13eb19d445bd2ee4bd71a7053",0,62,137,187,98,99,20,24,44,0,278,0,0,121,112,0,0,80,34,0
"5753622de6122b9c9d6fa950b6e1055f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,0,0,0,0
"48472c7310804351e4b26d61fb76bc2e",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"b96e6b4c797e05985884ebc4b62669d9",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7689623ecf55653115a565c9b799ebf1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"f23aa6580ee8aa1b929861b09a03ea81",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"53ccd354e574be1fc0a675a3ad5eb75f",0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"5fae875260a6220e59371b9f1ea5a97f",0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,28,15,19,0
"3e038923df1af6df658a2ea51da225b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"bcc1d87755202ab05911185c80fb4f92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"2452981251b2f15856a87e3f99b881ee",2,0,0,0,0,0,25,0,55,28,0,0,7,0,0,0,9,0,0,0
"51c48cce45e17c06fcdae730377d6c6e",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"d74a865a93621b275dad03b9c2e0da8d",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0
"4705d868aae547a0035a3ecb08a714b9",0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,38,0,0,0
"cba9e3840af4ea3b01bdc9b9a0d90ffe",0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0
"7a40c666b080490c8061590eb8684463",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b5d55e07cb4eb78df62730f673d958b",2,5,0,0,13,0,19,124,0,5,16,0,0,0,0,0,0,15,7,44
"96f6790c40cd81f5e1c03e51ea02de57",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"c422404b4ee8586548b229867ffea5aa",0,0,0,0,0,0,0,0,11,7,0,0,1,0,0,0,0,0,0,0
"6565c446fa2d675e1dc88b64615fa0f1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"199b3e0eefb44cd918ff794f82fd35f2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d2230fe0d0466a5dc5a5f25319947a1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"3701da42a987a3ff40d5a798e6338e04",0,0,48,0,15,0,0,31,0,0,0,22,0,48,59,32,0,27,0,27
"997669261aeff835c9a044e4feaf08d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"9d4d8ee1b3c0c2c71b671654bd81e7d1",0,0,12,0,28,0,0,34,4,8,0,0,0,0,0,57,0,0,0,0
"c38d49651ac3c904d865bfc850e707c5",0,23,0,11,0,0,86,0,40,90,40,0,1,51,0,17,113,30,0,0
"de3ca9523a45fda6c408a006f2766c21",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80f917f4f3e624cd9bcc873549547a22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"049dd59355abf9c1f4f50ed1f1f3ca0c",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
"c7037c5821c345a79626d8b5314f1edf",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"d59e27f92299cfe849de35b2bd5c8beb",0,0,0,0,0,0,37,0,0,15,0,0,3,0,0,0,10,0,0,0
"f309c2a2a33b675c5a502356479650db",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"88da696ecae9a272ac97b9334ce283fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"d8186cbf971dbc9a54ffa7614e8a8304",0,0,0,0,0,0,0,0,0,0,3,6,0,26,0,0,0,1,22,0
"5980d6beb8c6ebe7d58bc84de699939d",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"d1a83a830b1deb3b2194c3a0d9f8ee4b",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"9bf52c4b3742fdc2e4fde21559dd5ceb",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e7225f68a453547c9684bb5cad21fc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9
"7414de07e246b3e087855c7899ba1504",0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,10
"d61a4d2978d0ccce3f11b71b0baf9784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"536d36e966b26a0922712aa419752a54",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"3d78ff5308068e6c90836f6d42754091",0,71,0,70,26,34,101,0,0,0,119,0,0,85,215,12,0,89,57,0
"5bd4288076b405b8e3bb45a7bb7c3a61",1,0,0,0,0,0,0,0,41,21,0,0,0,0,0,0,0,0,66,0
"4ca01f017978d944036f25ecda198b66",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"eb9bd25154ae0c2a430dcec84e2e9687",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"6701013657b798f44f0f12e6f3a511bc",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8323bf9ec965459b49390610d00b6c93",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"d60af955987fa4c3f394fd9ce7603109",0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0
"c9e5f4da92a533466b1f90feefb76b5f",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"8d59eb570a781db8893e872d10bfacf0",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"c51e141ed8032e1fdacaa4ad97a83ccd",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5284be82fd5eb97083f8a9b51466c075",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"c1a78a4dbf57fb5adeb1b786b07ca657",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"53333fe83247cce721c332a8ff2299b0",0,0,0,0,0,0,15,0,0,4,0,0,2,0,0,0,0,0,0,0
"64a5a6d22af822e920b7061395fdfef1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"600af22dc296445ae1142989dd300916",0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,12,0,0,0
"565a70ffe94fdbe92d96073076fd6e2e",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"e321cef102280a9d9cceb8b99b23679a",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"9ba3ae9783c5f0ad250cbb2a655c2ab6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9b2fcaecf4a0f1dfd8594718ccef74b4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2530f2af38b351ab319c03ed7f6046cd",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"984b1011397a58452f4ccb3000cccaa0",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
