"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"90182083420c2709ea8d1c9a7e106811","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria uncultured_bacterium",5,0,0,0,0,0,0
"8a9b07ddf15dab3da4a19f0372693f06","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Chisholmbacteria","Candidatus_Chisholmbacteria","Candidatus_Chisholmbacteria","Candidatus_Chisholmbacteria uncultured_bacterium",0,0,0,0,1,0,0
"366919f56c8caf2b110c235b2b755cd0","d__Bacteria","Patescibacteria","Microgenomatia","Unclassified Microgenomatia","Unclassified Microgenomatia","Unclassified Microgenomatia","Unclassified Microgenomatia",0,0,1,0,0,0,0
"072b936623782c4c89535afade990cd4","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria uncultured_bacterium",0,0,1,0,0,0,0
"ff192a91bb244f12df0d402a7ef70a0f","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria uncultured_bacterium",0,0,0,25,0,0,0
"9a96f2df57ad4e5d59ff2b0e349113cf","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,0,0,1
"d5d5a5516faccd4406abe9f5ebb2ce71","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,1,0,0,0,0
"a9776e75222ae6562eb6c50d774b0df9","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,2,0,0,0
"ab0f96965ded99f4bbd9f9b7d96d71c4","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,1,0,0,0
"bdb05226c5379bf2f9ef37cc0fad7064","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,9,0,0
"a4d190f05054b9c04c711bc2791981e4","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria uncultured_bacterium",0,0,0,0,0,0,4
"01502c131c9336081d1979c7577a7562","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,0,0,5
"9cbae80bc0a51dad52e4c23dd57596d5","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria uncultured_bacterium",0,0,0,0,1,0,0
"3d755a2d8c6ad0572e9de69324c1a86e","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria uncultured_bacterium",0,0,0,1,0,0,0
"3d6561a9c2cc88651449dd3c65a17a5a","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Unclassified  Candidatus_Magasanikbacteria",0,0,0,0,3,0,0
"4821933d72c9dedba96dfb67d95399ae","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Unclassified  Candidatus_Magasanikbacteria",0,0,0,0,3,0,0
"5f3504bdded680855ccdaf9db99b1e30","d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Unclassified  Candidatus_Uhrbacteria",0,0,0,0,0,0,1
"2261df007bf51ab6ecc3dee1d66fb4af","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,1,0,0,0
"56dd11058c81d490ecb3de2b2a64cf24","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b","GWA2-38-13b","GWA2-38-13b uncultured_bacterium",0,0,0,1,0,0,0
"6d3383af307cb28bc008a13b2e3527fd","d__Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma uncultured_bacterium",75,0,0,0,0,0,0
"dd9004c2826f567cb4f972e0e464fbc1","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus_PCC-7305","Xenococcus_PCC-7305 uncultured_bacterium",40,0,0,0,0,0,0
"b5f9a95a46771c896742c42efed37698","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcidiopsis_PCC-6712","Unclassified  Chroococcidiopsis_PCC-6712",5,0,0,0,0,0,0
"1b61f5d2295d5479eb9fa526a1695485","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcidiopsis_PCC-6712","Unclassified  Chroococcidiopsis_PCC-6712",0,5,0,0,0,0,0
"9ffd34380b7c14b7fc8724d4561667a8","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Unclassified Cyanobacteriales","Unclassified Cyanobacteriales","Unclassified Cyanobacteriales",0,0,0,0,0,1,0
"2a2b48fbb55a272a35450164e6687d68","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales","Unclassified Eurycoccales","Unclassified Eurycoccales",0,4,0,0,0,0,0
"5ea64524534b537d0ba21837a5eb68ac","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia_PCC-7116","Unclassified  Rivularia_PCC-7116",30,0,0,0,0,0,0
"0526dc4957d9ea61ba30256d8f56540a","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Unclassified Nostocaceae","Unclassified Nostocaceae",0,17,0,0,0,0,0
"092f3b49f3a9d0fa8fa50cfe89eebade","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales",0,0,0,1,0,0,0
"3eb6487f50e487c829f918d2cd7ec8da","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales",0,0,0,0,6,0,0
