	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
993455	FALSE	FALSE	FALSE	FALSE	FALSE
541244	FALSE	FALSE	FALSE	FALSE	FALSE
10724	FALSE	FALSE	FALSE	FALSE	FALSE
807851	FALSE	FALSE	FALSE	FALSE	FALSE
88754	FALSE	FALSE	FALSE	FALSE	FALSE
320773	FALSE	FALSE	FALSE	FALSE	FALSE
540940	FALSE	FALSE	FALSE	FALSE	FALSE
1107031	FALSE	FALSE	FALSE	FALSE	FALSE
146126	FALSE	FALSE	FALSE	FALSE	FALSE
574835	FALSE	FALSE	FALSE	FALSE	FALSE
136608	FALSE	FALSE	FALSE	FALSE	FALSE
546268	FALSE	FALSE	FALSE	FALSE	FALSE
758112	FALSE	FALSE	TRUE	FALSE	FALSE
539735	FALSE	FALSE	FALSE	FALSE	FALSE
262096	FALSE	FALSE	FALSE	FALSE	FALSE
4406621	FALSE	FALSE	FALSE	FALSE	FALSE
166322	FALSE	FALSE	FALSE	TRUE	FALSE
4434807	FALSE	FALSE	FALSE	FALSE	FALSE
4329788	FALSE	FALSE	FALSE	FALSE	FALSE
1106960	FALSE	FALSE	FALSE	TRUE	FALSE
2143302	FALSE	FALSE	FALSE	FALSE	FALSE
782472	FALSE	FALSE	FALSE	FALSE	FALSE
804742	FALSE	FALSE	FALSE	FALSE	FALSE
1104728	FALSE	FALSE	FALSE	TRUE	FALSE
254116	FALSE	FALSE	FALSE	FALSE	FALSE
4357413	FALSE	FALSE	FALSE	FALSE	FALSE
4358716	FALSE	FALSE	FALSE	FALSE	FALSE
366545	FALSE	FALSE	FALSE	FALSE	FALSE
921110	FALSE	FALSE	FALSE	FALSE	FALSE
1129931	FALSE	FALSE	FALSE	FALSE	FALSE
3944484	FALSE	FALSE	TRUE	FALSE	FALSE
4363948	FALSE	FALSE	FALSE	TRUE	FALSE
4442779	FALSE	FALSE	FALSE	FALSE	FALSE
4369968	FALSE	FALSE	FALSE	TRUE	FALSE
225041	FALSE	FALSE	FALSE	FALSE	FALSE
933546	FALSE	FALSE	FALSE	FALSE	FALSE
3290338	FALSE	FALSE	FALSE	FALSE	FALSE
2775220	FALSE	FALSE	FALSE	FALSE	FALSE
828806	FALSE	FALSE	FALSE	FALSE	FALSE
1640195	FALSE	FALSE	FALSE	FALSE	FALSE
3555019	FALSE	FALSE	FALSE	FALSE	FALSE
336306	FALSE	FALSE	FALSE	FALSE	FALSE
176775	FALSE	FALSE	FALSE	FALSE	FALSE
4253641	FALSE	FALSE	FALSE	FALSE	FALSE
539547	FALSE	FALSE	FALSE	FALSE	FALSE
207780	FALSE	FALSE	FALSE	TRUE	FALSE
840347	FALSE	FALSE	FALSE	FALSE	FALSE
968354	FALSE	FALSE	FALSE	FALSE	FALSE
511931	FALSE	FALSE	FALSE	FALSE	FALSE
4053303	FALSE	FALSE	FALSE	FALSE	FALSE
1016369	FALSE	FALSE	FALSE	FALSE	FALSE
4374109	FALSE	FALSE	FALSE	FALSE	FALSE
304211	FALSE	FALSE	FALSE	FALSE	FALSE
225187	FALSE	FALSE	FALSE	FALSE	FALSE
301921	FALSE	FALSE	FALSE	FALSE	FALSE
574883	FALSE	TRUE	TRUE	FALSE	FALSE
81639	FALSE	TRUE	FALSE	TRUE	FALSE
920506	FALSE	FALSE	FALSE	FALSE	FALSE
4389389	FALSE	FALSE	FALSE	FALSE	FALSE
848713	FALSE	FALSE	FALSE	FALSE	FALSE
110755	FALSE	FALSE	FALSE	FALSE	FALSE
1015143	FALSE	FALSE	FALSE	FALSE	FALSE
469663	FALSE	FALSE	FALSE	FALSE	FALSE
4298967	FALSE	FALSE	FALSE	FALSE	FALSE
4465677	FALSE	FALSE	FALSE	FALSE	FALSE
538600	FALSE	FALSE	FALSE	FALSE	FALSE
693333	FALSE	FALSE	FALSE	FALSE	FALSE
576076	FALSE	FALSE	FALSE	FALSE	FALSE
966091	FALSE	FALSE	FALSE	FALSE	FALSE
4394926	FALSE	FALSE	TRUE	FALSE	FALSE
135965	FALSE	FALSE	FALSE	FALSE	FALSE
99430	FALSE	FALSE	FALSE	FALSE	FALSE
4295177	FALSE	FALSE	FALSE	FALSE	FALSE
581821	FALSE	FALSE	FALSE	FALSE	FALSE
806354	FALSE	FALSE	FALSE	FALSE	FALSE
174755	FALSE	FALSE	FALSE	FALSE	FALSE
114498	FALSE	FALSE	FALSE	FALSE	FALSE
718758	FALSE	FALSE	FALSE	TRUE	FALSE
4441046	FALSE	FALSE	FALSE	FALSE	FALSE
