"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"1256-012-C121-M_above","1256-012-C121-M","Orbicella faveolata","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-019-C123-M_above","1256-019-C123-M","Orbicella annularis","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-022-C127-M_above","1256-022-C127-M","Scolymia sp","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-025-C128-M_above","1256-025-C128-M","Scolymia sp","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-028-C129-M_above","1256-028-C129-M","Scolymia sp","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-040-C143-M_above","1256-040-C143-M","Stephanocoenia intersepta","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-043-C144-M_above","1256-043-C144-M","Stephanocoenia intersepta","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-046-C145-M_above","1256-046-C145-M","Stephanocoenia intersepta","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-049-C148-M_above","1256-049-C148-M","Diploria labyrinthiformis","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-056-C150-M_above","1256-056-C150-M","Diploria labyrinthiformis","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-059-C151-M_above","1256-059-C151-M","Siderastrea siderea","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-062-C152-M_above","1256-062-C152-M","Siderastrea siderea","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-064-C153-M_above","1256-064-C153-M","Siderastrea siderea","E5","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-068-C327-M_above","1256-068-C327-M","Montastraea cavernosa","E12","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-071-C328-M_above","1256-071-C328-M","Montastraea cavernosa","E12","Colombia","Caribbean","Mucus_above","Mucus","above"
"1256-101-PW164-M_above","1256-101-PW164-M","Pavona clavus","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-104-PW165-M_above","1256-104-PW165-M","Pavona clavus","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-107-PW166-M_above","1256-107-PW166-M","Tubastraea sp","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-110-PW167-M_above","1256-110-PW167-M","Tubastraea sp","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-113-PW168-M_above","1256-113-PW168-M","Pavona clavus","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-116-PW169-M_above","1256-116-PW169-M","Tubastraea sp","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-120-PW170-M_above","1256-120-PW170-M","Pavona clavus","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-123-PW171-M_above","1256-123-PW171-M","Gardineroseris planulata","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-126-PW172-M_above","1256-126-PW172-M","Gardineroseris planulata","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-129-PW174-M_above","1256-129-PW174-M","Pavona gigantea","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-132-PW175-M_above","1256-132-PW175-M","Porites panamensis","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-134-PW176-M_above","1256-134-PW176-M","Pavona gigantea","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
"1256-137-PW177-M_above","1256-137-PW177-M","Porites panamensis","E11","Panama","Eastern Pacific","Mucus_above","Mucus","above"
