"Phylum","taxon_path_count","tax_path_mean_abun","tax_path_sd","unique_function_count"
"Acidobacteriota",200238,73.4279427942794,31.43449553356,1272
"Actinobacteriota",3249406,76.2037944701109,80.3295027429524,1730
"Bacteroidota",5919974,77.3205945352907,72.6981292342218,1974
"Bdellovibrionota",385045,86.3329596412556,71.8010797693969,1621
"Calditrichota",24345,19.1241162608013,10.9007958580406,1273
"Campilobacterota",18096,15.1304347826087,8.2894121193007,1196
"Chloroflexi",233382,47.2050970873786,46.0381761373987,1431
"Crenarchaeota",1193010,36.5796897038082,36.7050647544721,709
"Cyanobacteria",177193.72,44.0232844720497,29.7155674546175,1589
"Dadabacteria",187308,66.6102418207681,37.3084712838721,703
"Desulfobacterota",705198.5,49.6688618115228,40.0622006205443,1903
"Fibrobacterota",34628,46.3560910307898,13.655925060468,747
"Firmicutes",481713.5,55.1159610983982,53.9191917012302,1411
"Fusobacteriota",73815,38.485401459854,34.5270685373736,959
"Margulisbacteria",24192,30.3157894736842,14.4400470015185,798
"Marinimicrobia_(SAR406_clade)",447552,62.4810833449672,25.8132786410753,551
"Myxococcota",757129.96,70.5882864068618,65.9570866860588,1839
"NB1-j",42768,46.1857451403888,11.3651935138091,926
"Nanoarchaeota",69488,106.250764525994,26.2866421751022,654
"PAUC34f",93264,120.030888030888,31.1788831749997,777
"Patescibacteria",92235,68.0199115044248,21.2316074062915,678
"Planctomycetota",806157.5,72.1975192548809,43.7478476177429,1689
"Proteobacteria",21313801.54,64.5055703381777,63.2683028578334,3791
"SAR324_clade(Marine_group_B)",2325096,87.524788255223,88.1300392286628,1155
"Spirochaetota",93312,93.125748502994,53.5524443083341,1002
"Thermoplasmatota",392262,58.4593144560358,32.6275165423321,610
"Verrucomicrobiota",1707966,62.3322506477866,43.5742277970124,1580
