"id","E7.10.Poc.dami.2.20150621.S","E7.10.Poc.dami.3.20150621.S","E7.10.Ser.cali.1.20150622.S","E7.10.Ser.cali.2.20150622.S","E7.10.Ser.cali.3.20150622.S","E7.17.Cyp.micr.1.20150621.S","E7.17.Cyp.micr.2.20150621.S","E7.17.Cyp.micr.3.20150621.S","E7.17.Ech.lame.1.20150620.S","E7.17.Ech.lame.2.20150620.S","E7.17.Ech.lame.3.20150620.S","E7.17.Fav.abdi.1.20150623.S","E7.17.Fav.spA.1.20150623.S","E7.17.Fav.spA.2.20150623.S","E7.17.Fav.spB.1.20150623.S","E7.17.Fav.spC.1.20150623.S","E7.17.Gon.edwa.1.20150623.S","E7.17.Hyd.exce.1.20150620.S","E7.17.Hyd.exes.2.20150622.S","E7.17.Myc.elep.1.20150622.S","E7.17.Pla.sine.1.20150622.S","E7.17.Pla.sine.2.20150622.S","E7.17.Pla.sine.3.20150622.S","E7.19.Lob.hemp.1.20150619.S","E7.19.Lob.hemp.1.20150621.S","E7.19.Lob.hemp.2.20150619.S","E7.3.Por.loba.1.20150619.S","E7.3.Por.loba.2.20150619.S","E7.3.Por.loba.3.20150619.S","E7.3.Por.loba.4.20150619.S","E7.5.Gal.astr.1.20150622.S","E7.5.Gal.fasc.1.20150621.S","E7.5.Gal.fasc.1.20150622.S","E7.6.Acr.hyac.1.20150622.S","E7.6.Acr.hyac.2.20150622.S","E7.6.Acr.hyac.3.20150622.S","E7.6.Mon.aequ.1.20150620.S","E7.6.Mon.aequ.2.20150620.S","E7.6.Mon.aequ.3.20150620.S","E7.6.Mon.aequ.4.20150620.S","E7.7.Pav.vari.1.20150623.S","E7.7.Pav.vari.2.20150622.S"
"3e9cad600329bfb33036edd20e88d4cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"76c280cab1e3ee78fa1509dc66c00aaf",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ab3477503f3a42316be20ceae4ab83fc",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"80fb0fab8829c50086327a0e96e6dfa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5996bd4d4a0e19369673647d01a8ee5d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"a428d23d66c3366e2d8375eb57677a48",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,3,0,0,1,0,0,0,0,0,0,0,0,0,9
"072f0d441a9488875ea9d89b6132537e",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99fe039c9a46dbc6819e0334d56b4bbb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55085dfa4c9207904eeac42561818e84",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5
"ec3954444fcd36603ae2b57aef0fb5ef",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"037f92e3933f1e0bec31389b8bb2f4d8",0,0,0,0,0,0,0,0,0,0,0,75,0,3,75,6,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
"f5c3f3593d3325c3c884c480787b1cd0",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f920a3b817bd51ab71b165d1c1f49f56",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
