"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-008-C119-T","1256-011-C120-T","1256-014-C121-T","1256-018-C122-T","1256-024-C127-T","1256-027-C128-T","1256-030-C129-T","1256-032-C132-T","1256-036-C133-T","1256-042-C143-T","1256-045-C144-T","1256-048-C145-T","1256-052-C148-T","1256-055-C149-T","1256-061-C151-T","1256-066-C153-T"
"9b80dbae369b7fc1c6fd976cf165977e","d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Unclassified  Marinimicrobia_(SAR406_clade)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"b5437f4f6da8e72f188fa1cae9c4a17f","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8afde0214ae11742d62f79f4fff23761","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"1ac6988fc5e060d6efb85f66c17e8941","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris","Unclassified  Prosthecochloris",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"1aea5a010e7926952ffd38e51b667cbc","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales uncultured_bacterium",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"c7ea97b9ee5e88133dea10264566b2b2","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"cf2db5fe469411a304a81cd7b23730a2","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"9ee3e242875dab25305cd5d817564eba","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Unclassified  Gracilibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"d6af672ed7782cee5dfae089efe4ffe8","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22 uncultured_bacterium",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5fba78a525a1ae30b2e6bf81b138265","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22 uncultured_bacterium",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"e340362369e619f630aa08d009345fe4","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"75640263d100a7799e59e25ecf7e4bda","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Unclassified  Gracilibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"7c3813a2f2091b8404a0e315d4ddf5a1","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Unclassified  Gracilibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"c2056e1c78164774ac4fdf5aecfeaac6","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","Saccharimonadales uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7d38bafed245b3709630ca3b3e9443bc","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Saccharimonadaceae","Saccharimonadaceae uncultured_bacterium",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"645702e161b9f43d6c02d4d155f10a8e","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7x","Unclassified  TM7x",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"2009a3dc77818c32b29bee5c9d006172","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","Saccharimonadales uncultured_bacterium",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"22adbb2ada61cd03aafd92325638a5ee","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","Saccharimonadales uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7b41e089e83193141925032c92793803","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Unclassified  Absconditabacteriales_(SR1)",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"8f6877463b77d95c814e653b1333281c","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Unclassified  Absconditabacteriales_(SR1)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"46b387c88bd08f72dbce110965d431cb","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Unclassified  Candidatus_Woesebacteria",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"d55ff8eecee68890121c96f60496b029","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Unclassified  Candidatus_Woesebacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97f0744134d3cd4bc94263bbdac5a4c4","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"e1f2573a11d1d224fa5989877fbbacce","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Unclassified  Candidatus_Kaiserbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
