id,Taxon,Consensus
3da0ff6fb7c39996320aeab758bc7452,d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Acanthopleuribacterales; f__Acanthopleuribacteraceae; g__Acanthopleuribacter; s__uncultured_bacterium,0.8
98c76adeeef220610bc13e4e44fa5b8d,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__SM2D12; g__SM2D12,1
2eaccc904ea91ba3a92e5b63d9e2f8a5,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales,1
63083ceacad4cb06f74dbe7d58eec850,d__Bacteria; p__Planctomycetota; c__Pla4_lineage; o__Pla4_lineage; f__Pla4_lineage; g__Pla4_lineage,0.7
b9311732854cb0d3493a2e9e85d8bd0f,d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22; s__uncultured_bacterium,0.6
07250dedf54cc11ffb3ff71264a6f2de,d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria,0.6
cf09c1a2f69eb84515c3029c05ee3733,d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__WCHB1-41; f__WCHB1-41; g__WCHB1-41; s__uncultured_organism,1
d2973a13621b676173f12e71e7823b2c,d__Bacteria; p__Planctomycetota; c__BD7-11; o__BD7-11; f__BD7-11; g__BD7-11; s__uncultured_bacterium,0.9
4177ae8ad0b9dcb12d19e1e053eaf12d,d__Bacteria; p__Nitrospinota; c__P9X2b3D02; o__P9X2b3D02; f__P9X2b3D02; g__P9X2b3D02; s__uncultured_bacterium,0.9
019dc3ec05ce4ba1c31904d91d3df070,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae; s__uncultured_bacterium,1
17f9d461cf617ee4cdc98552d324677f,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__mle1-8; f__mle1-8; g__mle1-8; s__uncultured_organism,0.8
5b30e450607cf0798da26f821f2b41b8,d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19,1
1090ff43d4e342f4144f046538c3cb5e,d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Vermiphilaceae,1
f19443a7a5e70d09059aa5546bf649fd,d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA286-E23; g__SCGC_AAA286-E23,1
79ae40dabf84e83679ef3a9a1751a947,d__Bacteria; p__Patescibacteria; c__ABY1,1
8173be77f62723bea8c32a690df4d231,d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Babeliales; g__Babeliales; s__uncultured_bacterium,0.8
e62809ed1629b81f9d42e70f21d837f8,d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__Oligoflexales; f__uncultured; g__uncultured; s__uncultured_delta,0.7
ff192a91bb244f12df0d402a7ef70a0f,d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Moranbacteria; f__Candidatus_Moranbacteria; g__Candidatus_Moranbacteria; s__uncultured_bacterium,0.7
