"id","E10.10.Poc.dami.1.20150630.T","E10.10.Sty.pist.2.20150630.T","E10.17.Fav.abdi.1.20150630.T","E10.17.Gon.favu.1.20150629.T","E10.17.Gon.favu.1.20150630.T","E10.17.Gon.favu.2.20150630.T","E10.17.Mon.curt.3.20150629.T","E10.Acr.cyth.1.20150627.T","E10.Acr.cyth.2.20150627.T","E10.Acr.cyth.3.20150627.T","E10.Acr.pali.2.20150627.T","E10.Acr.pali.3.20150627.T","E10.Alv.alli.1.20150628.T","E10.Alv.alli.2.20150628.T","E10.Alv.alli.3.20150628.T","E10.Cyp.micr.1.20150627.T","E10.Fav.abdi.1.20150629.T","E10.Mon.curt.1.20150629.T","E10.Mon.curt.2.20150629.T","E10.Poc.dami.1.20150628.T","E10.Poc.dami.2.20150628.T","E10.Por.hero.1.20150628.T","E10.Por.hero.2.20150628.T","E10.Por.hero.3.20150628.T","E10.Sty.pist.1.20150628.T"
"f8632e43a655c0eca7c9350f4ac1e56d",0,0,0,17,0,0,0,0,0,0,0,0,3,7,17,0,0,0,0,0,0,0,0,0,0
"b1c1fc8dddfd09f0e077669b724c164c",0,0,0,0,0,0,0,0,20,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"f2615d661d0e2c5fe5640415502fff83",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4000997b1621925f24f7a022e33f61f",0,0,46,71,18,51,0,0,0,0,0,0,0,14,73,0,0,0,0,0,0,0,0,0,0
"beeada301c2f4798b0535346b8715e4d",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5105145be8b8ab198c6a532421fc0fd1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"a129c63ee8018955d065f3e55ef7c2ab",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd07a5dad3726c7419c47ebd4988fc8b",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fba0d553cf7372256ccd436a7f8047f9",0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"2bcd2421036a89d08e8bf8b89fb03d71",0,0,0,0,20,56,2,0,0,0,0,0,19,5,10,0,0,0,0,0,0,0,0,0,0
"009202934fa195147a0dc21c74bb5c43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"57674b5b76fcd696580bf65789632ea3",0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"5e63be16bab6d05c30f9b838a8fe47d8",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"6c980b9b6d7d332b521e77027f7b047e",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"37c61b23630d3945f72b11d8691c4f72",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46414686e0a2b26acdf54795037621fa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"be8e44bedb9426bf1ab19809c51a709f",0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72f402fa7d4a2d6d58f88d96b21b1608",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bf7421e39a210e211b0113cdd11bb20d",0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,76,52,0,0,0,0,0,0
"3cf7a7bd1514cda81d188a294befd699",0,0,0,0,0,3,0,0,0,0,0,10,0,21,1,0,0,0,0,0,0,0,0,0,0
"874b93f6573820b4e4b0dd34603b4584",0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"72ad82bd9daaa32e30efcf4d521db708",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"7b1f5bbcff2d2617af0cb39ba2d5e773",0,0,57,0,0,0,4,0,48,0,6,2,9,12,0,0,0,4,4,0,0,0,0,0,0
"27b7fe649c5d300855ea99e80c70cddf",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"c9e350dec8613c1aea02d4ba001933e3",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f767295673e25d405560b4c6e1f26710",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1067116836dfcbc3c71793f9ffd4e29e",0,0,0,0,0,2,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1aa3dff03b452d986dd77b96974e11cb",0,0,0,0,0,9,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
"cffe272ffabaa152992bbfc1cf12d7f4",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f66891be3d9e24988dbf50803a086892",0,0,0,0,98,0,0,0,0,0,0,3,104,7,35,0,0,0,0,0,0,18,0,0,0
"ab3d5423f38e245c04e2001b763b84a6",0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22,0
"cf89d7a8bb2826fcf3ef07db48311480",0,0,0,0,52,0,0,0,0,0,0,0,47,11,2,0,0,27,0,0,0,0,0,0,0
"5b46b361ef9119fc127490ff4566c747",0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62e44c57bd28d4fd557a731ac5cfb212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
"e986bee3a82d359a815a03b8b5ccc771",0,0,0,2,23,16,1,0,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,0
"a4e10457c627562e469f827669b357f8",0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"29c233790a6bd307bf7cd07b4c41f529",0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"db72ecec380da553c28253610ffb9599",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd29cf20409e365a101c5f875636ffaa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f15a865328c135b277c721b83a3e12ed",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"b5a15f54d6a7e19fbec7a88dbc0d50f1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"b43859b7af5722e4daa2c2e0f501eae8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"68beb008ff38a12125c9e2a867828aaa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"b690c7446bfec94f2e6dabdbbaac62fc",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1fcbbc109e0b0d9cfe7952bc26e783e7",0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5620372d1ffdb416f3c8b279e1159df3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"f29f0cb17e529992d2c8d18b8a33a479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"477cf6781b36a1b61936f6b9263a8e15",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13b78e04d7db113f07d7a2008673cedc",0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"c62660469fc51e6ccaadf8c6d980a489",0,0,0,3,0,6,0,0,0,0,0,5,0,3,18,0,0,0,0,0,0,0,0,0,0
"bd68fd8e95b21ce7dd70886eb5c2131c",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c405f7851315d76b4c70598b4a41d1c8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7dd8809db25249b4a622a8932893edd0",0,0,0,21,12,13,2,0,0,0,0,7,0,17,2,6,0,0,0,0,0,0,0,0,0
"13301423bca6eb11e7e6724ed81a6f1c",0,0,0,0,1,0,2,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0
"3c2713cae4e923d6faafd47d2f71e737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"def0a3ce5083d2c9df8f7533f7ef1c35",0,0,0,12,6,8,4,0,0,0,0,36,13,14,29,2,0,0,0,0,0,0,0,0,0
"a1b14daa9bc2d19df4bbb32e1625503d",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ac3f252366d1a78f38c27887ad052efc",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"002a8447d3b648408dbb3a78d8ad55bf",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74579a0bce709da5de3515eabbaab24f",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615cd63f5172a695bb71a368c32cfad5",0,0,29,47,25,5,42,0,0,0,6,0,0,6,0,1,0,49,28,0,29,0,0,49,15
"122134481c88f6ba900243fb1225ee81",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa0bc59a5cfdbd4aa16abeeaaa0baeeb",0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"d2f744aebefd22c55e8adfb5a3d8247f",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"455685cd1922e9ade14564a3978969ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"741cd70f25e5cb9fe2bb9e3ccf84337c",0,0,0,0,16,9,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0
"21969fb78de2e367851bab377c131761",0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d0c6896d2ecf0f35c04d3e1b02d942da",0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
"5fe4616822089011b45e52f0d728691f",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"972366e86da253b7ac53c64be947451c",0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1a81118e16f4df38203c02d7091dd782",0,0,0,0,0,12,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"e5ccf772644df7075276ead03076d107",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68c19340915c8725b910ad49d0020437",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529c585b4ac8602346bac95752853bd8",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3954b42d4ad057dbab5c1ec17d6ee8ca",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb5f18afe69789813b190e906b69a58c",0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"10007c5c6f9ff5155ccd91502c4e911a",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138e5b1668ac9d45d5b42a05db340877",0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82f8c2b8955aaa1acaea7ca5a7aab29b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6c76fa21993aa16fcecfce0723de1ece",0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"ac8b0f66940758e6b4141b689a31b5e4",0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f7bbf1c9e8f19b4d540ed9c3e6b6b3de",0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"19e82a07b7135ae5c07e2480f4759ae3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"40744745f7dd1d885641fdf7228829dd",0,0,0,0,7,11,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0
"02ef58c351a7faf041cecf6d256934be",0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0
"adb240ecc18fc6ac15552db655be267f",0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"56fdba3741faf46e8b996e1d28b1ea19",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8dd277e9cbadf2335fc47d6bdfac1b7c",0,0,0,4,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"a8a9acc8385c00d94c4517ba6af8c528",0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"3b96be0401428d61f8a3e56868217f36",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6703c3f0c407450d72b0281753436700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"ab11813a5cbad120915c03fe6a2b8b12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"68f744c0bf8a22e4a3d287a3573b52ef",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5abc6525119fef9527cabd7a337fd02",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"393ec74daf60284c8d6d2d4c88f55db5",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a739f666ee52b838a4779921fbe0f0be",0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"42d4f89dfaf364e30e6bbf07b1fa17fb",0,0,0,0,0,11,0,0,0,0,0,0,0,28,6,11,0,0,0,0,0,0,0,0,0
"1a683b0b59781fc556e477b35f79e586",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"5232f099301472337cd39df339947dcb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"543a5a8d221f818dc467e945fea137bc",0,0,0,0,1,37,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"ed7de724b75d0d82538aab93a910b236",0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d7bf2fe20e8001c8809e44e1be9681ea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"5d56aacc2598539d4e789a607ed675fb",0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"e84026f37652361c45ca3f85b52fb891",0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0
"52e2cfb9db7688af5dbe69e7fccae0e6",0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"122aac1cb14b2360377fa1d23d9234cb",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955459a584c34e5c967d551047a567b3",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab53f82ddd02795deb179910dbbd04cd",0,0,0,0,0,9,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f87195c36eea4232f74f5b4f29b6234",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b7f85236c32190690cd369c1e973b28",0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cbc01b4a18b029e736b7d2e7ad8e87b8",0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"aab2921d91bce0acf66b47ac045e0a08",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"5c920cc93544e6dadfa9ca2abaa39f8d",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6eefe5035a8836b20d8d9bf686094169",0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"805a4007aa6c6a5315eb8a52c544c007",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
