"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"dbb84892e1477312c708fd1d216e6b8a",0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
"ae10bbca173b5149c326569d76c9ef82",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"01c67bd4e4f615e1f614f690672f4ed4",7,3,0,0,99,23,0,29,12,13,151,52,18,49,0,0,78,75,70,63,0
"df62a40e3bcfd8c1f48f1744e79e27e5",0,22,0,18,41,4,0,55,3,5,34,26,17,14,0,0,10,20,17,10,0
"af9d50db04590580f786c1b439ab4dd7",0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"a87809b07f9e31464a26862f0400d256",0,0,0,0,1,0,0,3,1,1,3,2,0,1,0,0,0,2,0,0,0
"efec0bac622bd32d004df90feb767e08",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"b031860a6ae1ebcb4f6bda0943dbeb6d",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1e1658355657a4734c1efd9c5dfae7e1",0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"8f6528baf66a806642e841c1dce6b1c3",0,0,0,0,2,0,0,0,0,4,2,0,3,0,0,0,0,3,4,0,0
"f752f9073554734b656b21cd59321dd2",0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"370e3eb7685848a5032ef01a74bca2aa",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3fa17cb5a885dd6d92175e056d123852",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"99352d8941369f0e4084c847482e2020",0,0,0,0,1,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0
