sample	function	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun
1256-001-Control	1CMET2-PWY	6ea0da67973fdbb99cf25002c7fd757c	146.0	2.4471351757244197	0.6495335616438357	94.8319	1.5895
1256-001-Control	1CMET2-PWY	7198d4064888b90d0a04afb69148a2b7	51.0	0.8548211915201739	1.1691607843137255	59.6272	0.9994
1256-001-Control	1CMET2-PWY	7590de42c65245780f5c1afbbcbbd1d6	2.0	0.0335223996674578	1.16915	2.3383	0.0392
1256-001-Control	1CMET2-PWY	79b6593a32a2e813adc5fbdb2b12d94d	16.75	0.2807500972149591	1.0392537313432835	17.4075	0.2918
1256-001-Control	1CMET2-PWY	7c540c7d41db0e782ecaa2be721665c2	26.75	0.44836209555224815	1.0392523364485982	27.8	0.466
1256-001-Control	1CMET2-PWY	7d52722b7cd49129d99d9cbf378a6e45	70.0	1.1732839883610229	1.0392542857142857	72.7478	1.2193
1256-001-Control	1CMET2-PWY	7ff153e9c004926a43dcecefc51cd5d2	51.0	0.8548211915201739	0.7794411764705882	39.7515	0.6663
1256-001-Control	1CMET2-PWY	808c930e6d151df4de5b12c51bcd4961	2.0	0.0335223996674578	0.64955	1.2991	0.0218
1256-001-Control	1CMET2-PWY	81c33c702ccd47d4a67661622d8dd6b8	96.0	1.6090751840379744	1.0392541666666666	99.7684	1.6722
1256-001-Control	1CMET2-PWY	8297338118317361dd77640fe47c82d9	72.0	1.206806388028481	1.169161111111111	84.1796	1.411
1256-001-Control	1CMET2-PWY	872724d64e1621e246c4058caa42c08d	124.0	2.0783887793823843	0.6495338709677418	80.5422	1.35
1256-001-Control	1CMET2-PWY	88858ce4fb666ea84bf418cf4bb654b0	23.0	0.3855075961757647	1.0392521739130434	23.9028	0.4006
1256-001-Control	1CMET2-PWY	88bd48da82f30bf8f25050cfb681e9ce	8.89	0.14900706652184995	1.4289763779527558	12.7036	0.2129
1256-001-Control	1CMET2-PWY	8d02af7715f2350766a50c97562846ce	80.0	1.340895986698312	1.2990675	103.9254	1.7419
1256-001-Control	1CMET2-PWY	91b24c0b92375b52222ef7e9f6e828af	117.0	1.9610603805462816	0.9093470085470086	106.3936	1.7833
1256-001-Control	1CMET2-PWY	965e11b65719c36918ed6afd15602d70	48.0	0.8045375920189872	1.1691604166666667	56.1197	0.9406
1256-001-Control	1CMET2-PWY	96b798de8af22294e426547ee136a1d8	13.0	0.2178955978384757	0.7794384615384615	10.1327	0.1698
1256-001-Control	1CMET2-PWY	995b5b3e7da11099b5a04ae5e58f191e	0.67	0.011230003888598364	1.0392537313432835	0.6963	0.0117
