"id","E1.10.Poc.dami.1.20140731.S","E1.10.Poc.dami.1.20140905.S","E1.11.Fun.sp.1.20140811.S","E1.11.Lep.tran.1.20140731.S","E1.11.Psa.cont.1.20140730.S","E1.11.Psa.digi.1.20140807.S","E1.14.Phy.lich.1.20140801.S","E1.14.Phy.lich.1.20140811.S","E1.15.Dip.heli.1.20140726.S","E1.15.Dip.heli.1.20140809.S","E1.15.Dip.heli.1.20140815.S","E1.15.Dip.heli.1.20140905.S","E1.17.Cau.furc.1.20140801.S","E1.17.Ech.lame.1.20140905.S","E1.17.Ech.mamm.1.20140728.S","E1.17.Fav.sp.1.20140805.S","E1.17.Fav.sp.1.20140811.S","E1.17.Fav.sp.2.20140805.S","E1.17.Hyd.exes.1.20140803.S","E1.19.Lob.sp.1.20140730.S","E1.19.Lob.sp.1.20140809.S","E1.19.Sym.sp.1.20140724.S","E1.19.Sym.sp.1.20140814.S","E1.19.Sym.sp.1.20140815.S","E1.19.Sym.sp.1.20140905.S","E1.2.Tur.pelt.1.20140814.S","E1.2.Tur.reni.1.20140730.S","E1.2.Tur.stel.1.20140805.S","E1.3.Por.cyli.1.20140801.S","E1.3.Por.cyli.1.20140815.S","E1.3.Por.loba.1.20140726.S","E1.3.Por.loba.1.20140905.S","E1.4.Pac.rugo.1.20140728.S","E1.4.Pac.rugo.1.20140814.S","E1.4.Pac.spec.1.20140801.S","E1.4.Pac.spec.1.20140811.S","E1.5.Gal.astr.1.20140728.S","E1.5.Gal.astr.1.20140807.S","E1.5.Gal.astr.1.20140814.S","E1.5.Gal.astr.1.20140905.S","E1.6.Acr.humi.1.20140731.S","E1.6.Acr.sp.1.20140905.S","E1.6.Iso.pali.1.20140803.S","E1.6.Iso.pali.1.20140815.S","E1.6.Mon.hisp.1.20140807.S","E1.7.Pav.sp.1.20140905.S","E1.7.Pav.vari.1.20140805.S","E1.7.Pav.vari.1.20140815.S","E1.7.Pav.veno.1.20140809.S","E1.7.Pav.veno.1.20140811.S"
"b69db483254c37f97efbc635d9e753cf",34,0,0,0,0,7,2,0,16,6,0,0,0,0,118,0,0,0,13,0,0,0,7,0,0,0,0,0,58,79,0,22,0,0,0,0,0,0,0,0,0,0,0,28,0,52,0,0,0,0
"2595cee7c4c4a9833271b608a63828b4",0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,16,0,14
"a01b7d5a5e45402eb20b90062d0637bd",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ea6fe6cc33cb8c95dc00a9b28d71d8b1",0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"44283ebbfb93f60f36c01035df724e83",12,0,0,1,0,81,31,51,47,66,5,58,30,0,95,0,78,0,92,29,70,15,0,20,19,0,39,72,20,25,29,31,0,13,71,0,105,50,66,33,0,0,0,105,0,0,0,56,29,17
"74257a5e13d26d30421d04f0c226ddb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0
"fd2237c95c0437d9cf77487dadb14f9e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"949c3ebd12c5eadc6064495ac5475e9c",10,0,0,0,0,10,18,1,0,11,0,14,18,0,0,0,95,0,16,0,73,0,0,0,0,0,0,51,16,8,0,0,0,9,18,0,6,0,20,10,0,0,0,18,0,0,0,32,0,7
"b8e5535460ad2785001a85b02972ddd8",0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"6bfd6df9f1585998b5aeb491440534ad",71,0,0,30,0,10,0,0,26,14,12,1,0,0,0,0,0,1,0,0,12,0,0,0,12,0,0,22,25,13,12,0,0,0,0,0,0,0,30,4,0,0,0,25,0,96,0,33,0,3
"90b9de7de1dd1e9c14b0f2137e2d0e37",0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b2e2f3e7343f515fce06aa78c7f41f3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"8421340cc72dac823d9094fb4cc5eea5",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a77345395ff05b8da176f35ae38728b3",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945bd422914b64d9498372fee798d31d",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5e18241130f4c90d68302dd0fb65401",0,0,63,0,0,22,0,0,0,0,7,0,0,38,0,0,0,0,0,0,0,13,36,0,0,105,13,0,0,0,0,0,0,7,0,171,0,0,0,0,43,33,0,0,0,30,0,0,0,0
"a6d5fcd4f9860297e79e67dee80eaa97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b52a11d3418029a099e2f21d4c24dbb",0,0,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"42d46fd8b309143dd8bdd676800564ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,3,0,76,0,0,0,0,0
"36bb4290a765a6110cf9eaf9bf81d3ab",0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,82,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371ff3f6af66ba2c07137267c7948686",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,292,0,0,22,0,0,0,0,0,0,11,0,16,0,13,0,0,0,11,0,0,31,0,0,0,0,0,0,0,279,2,0,13,0,0
"19965d9768339e458850bb31a793ece9",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,57,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,27,0,8,0,1
"1108a9f96893e0325120bcbf431ec256",0,0,0,9,0,0,9,0,0,5,12,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,19,0,12,0,0,7,18,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0
"63e8007f2d73270f25e51e576d86f4a0",0,0,0,0,0,9,0,22,0,0,0,7,0,0,0,0,0,0,0,10,12,0,0,0,0,0,8,0,0,3,0,70,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"322f3ddcae7684bdc11f309564a0816a",0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,7,0,23,4,0,0,0,0,0,0,0,0,0,8
"c95fb44938bd39229f2ebdb75b24f7e2",8,0,0,0,0,31,0,11,11,4,0,2,0,0,0,0,59,0,0,0,12,36,0,0,0,0,0,4,0,10,8,0,0,8,0,0,0,42,26,1,0,0,0,19,0,0,0,28,0,14
"1e276a06ac8d298d145db7bfc68ee8fa",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0
"8774b8f6783345d2ea5f60ada09b6262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"9e2bb5235d9ca20cf9ebaec45c280e12",15,0,0,62,3,19,41,0,14,13,12,0,145,0,0,0,63,1,49,10,43,3,0,0,3,0,20,11,41,28,10,0,0,12,66,0,18,24,56,6,0,0,0,16,0,25,0,63,6,12
"27f35817cfbd9408622cf1a07f792246",35,52,430,91,263,37,0,0,6,13,97,19,27,97,0,69,3,5,50,29,28,7,0,0,35,15,39,31,2,56,41,43,45,4,47,0,14,64,22,26,45,54,0,21,0,81,0,54,235,50
"42b30db0ae77d481374842aae5ff9e3c",10,0,0,0,15,5,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,16,0
