"","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","ci.mean","SE","zstat","p_value","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2173446febdc12fe9eeb38acd0edadc3",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria",NA,NA
"33e500c16a4914748177202973eee64f",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b",NA,NA
"3ea7ff4f40ec8a07da137403d9f471f6",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"4f25dc7fa41cf3787649d0196f6fd2fb",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"625aa9efe09141800e41da74c4ac87f1",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria",NA,NA
"64477177f807ac120b7dd13bf4e3958d",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"7ba1c0b008242d380be82c3d37f553a8",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"9161f434d4aa942080081e425992ba17",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria",NA,NA
"931a989b87671082c6677b62a0bd9b3f",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"9829c0e87c39bce84f09b097f25f0a18",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"aaaf1a6b4f607f9a3a175332ab0032ac",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"bce312a197fbf1521d3ec51fdccbf563",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"d32c6bd6421c130391ccb946fb77ad70",5e-06,0.005,0.000140723699476507,5.91928586597559e-07,0.0323810928249399,0.00498753324501506,0.000879426220637907,0.0277529832630192,"neutral",0.0323805008963533,0.00826033186131462,0.605302557324163,0.55631496186953,277.044851011026,"d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria",NA,NA
"094737da2e576b1d6ea197691ec597e8",1e-05,0.005,0.00028142928219526,2.34778830113509e-06,0.0326517122223252,0.00995021575365241,0.00272519349826942,0.0356455342594984,"neutral",0.0326493644340241,0.00832891949847553,0.600317964522909,0.559704255176766,278.73271907803,"d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA,NA
"0f6b2ea1938f0312652d5ec9a77b50ce",1e-05,0.005,0.00028142928219526,2.34778830113509e-06,0.0326517122223252,0.00995021575365241,0.00272519349826942,0.0356455342594984,"neutral",0.0326493644340241,0.00832891949847553,0.600317964522909,0.559704255176766,278.73271907803,"d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA
"1652aa537c821e686f7f614ab1362dbf",1e-05,0.005,0.00028142928219526,2.34778830113509e-06,0.0326517122223252,0.00995021575365241,0.00272519349826942,0.0356455342594984,"neutral",0.0326493644340241,0.00832891949847553,0.600317964522909,0.559704255176766,278.73271907803,"d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia",NA,NA
"172fedacff79bfa7625bc61673562374",1e-05,0.005,0.00028142928219526,2.34778830113509e-06,0.0326517122223252,0.00995021575365241,0.00272519349826942,0.0356455342594984,"neutral",0.0326493644340241,0.00832891949847553,0.600317964522909,0.559704255176766,278.73271907803,"d__Archaea","Asgardarchaeota","Heimdallarchaeia","Heimdallarchaeia","Heimdallarchaeia",NA,NA
