	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
151316	FALSE
324488	FALSE
4389591	FALSE
2860	FALSE
1105792	FALSE
4261545	FALSE
4358878	FALSE
2896033	FALSE
4385170	FALSE
107274	FALSE
511928	FALSE
2776653	FALSE
811810	FALSE
252636	FALSE
1108248	FALSE
4478949	FALSE
4454320	FALSE
1132384	FALSE
181875	FALSE
4456435	FALSE
575079	FALSE
1109458	FALSE
109057	FALSE
2662153	FALSE
1106054	FALSE
644385	FALSE
2058154	FALSE
4355551	FALSE
170883	FALSE
4349537	FALSE
2655589	FALSE
1107711	FALSE
4389260	FALSE
274405	FALSE
818331	FALSE
1678827	FALSE
639790	FALSE
227000	FALSE
352526	FALSE
4463263	FALSE
4465584	FALSE
4430489	FALSE
544395	FALSE
2935	FALSE
3825887	FALSE
576363	FALSE
512663	FALSE
587391	FALSE
4408481	FALSE
206114	FALSE
4425265	FALSE
4428688	FALSE
2445279	FALSE
4374025	FALSE
3164102	FALSE
182038	FALSE
4472671	FALSE
67775	FALSE
832359	FALSE
620857	FALSE
859313	FALSE
4443256	FALSE
553974	FALSE
238105	FALSE
4420771	FALSE
169264	FALSE
280566	FALSE
4383665	FALSE
808539	FALSE
4387407	FALSE
98554	FALSE
325904	FALSE
553766	FALSE
4412803	TRUE
235928	FALSE
547139	FALSE
327084	FALSE
728068	FALSE
208171	TRUE
256652	FALSE
352699	FALSE
4352040	FALSE
262025	FALSE
2313484	FALSE
305967	FALSE
829116	TRUE
591272	FALSE
801857	FALSE
940971	FALSE
1853226	FALSE
531374	FALSE
691473	FALSE
268483	FALSE
114811	FALSE
4184652	FALSE
136056	FALSE
1111553	FALSE
299227	FALSE
4479618	FALSE
4411920	FALSE
343908	FALSE
4344969	FALSE
677590	FALSE
557998	FALSE
3429461	FALSE
310920	FALSE
3760122	FALSE
575225	FALSE
2194481	FALSE
552862	FALSE
4482302	FALSE
1679817	FALSE
752461	FALSE
605842	FALSE
4306533	FALSE
578760	FALSE
99933	FALSE
2062934	FALSE
4415180	FALSE
573032	FALSE
114788	FALSE
513117	FALSE
571664	FALSE
4349595	FALSE
4392443	FALSE
786086	FALSE
1126466	FALSE
4064681	FALSE
4396740	FALSE
4396338	FALSE
7604	FALSE
4391995	FALSE
4410004	FALSE
3025176	FALSE
807785	FALSE
757894	FALSE
570408	FALSE
266995	FALSE
2146124	FALSE
200561	TRUE
758023	FALSE
590476	FALSE
551628	FALSE
4450181	FALSE
250017	FALSE
1108984	FALSE
4438836	FALSE
827866	FALSE
295330	FALSE
4398746	FALSE
3208	FALSE
334709	FALSE
3888454	FALSE
150582	FALSE
3852555	FALSE
661170	FALSE
587951	FALSE
535383	FALSE
210359	FALSE
3129454	FALSE
72480	FALSE
2710	FALSE
1787054	FALSE
3831498	FALSE
1111255	FALSE
2583848	FALSE
4379013	FALSE
849122	FALSE
1114110	FALSE
4450615	FALSE
2680784	FALSE
3867306	FALSE
4247767	FALSE
2722477	FALSE
536121	FALSE
278136	FALSE
144057	FALSE
4366403	FALSE
563535	FALSE
835189	FALSE
740676	FALSE
541497	FALSE
448094	FALSE
992246	FALSE
575061	FALSE
798688	FALSE
588112	FALSE
2860880	FALSE
539453	FALSE
1147840	FALSE
305529	FALSE
1110665	FALSE
804325	FALSE
608473	FALSE
