"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"eff20fa74e08389df6823a8e9f957cd8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"67549581b72735ea12ee618db015d32a",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"ddb7f43aee1b25ff17976685ce571852",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"2ab514d845c1f6abf92892b70cd07b6b",1,0,0,0,0,0,1,6,0,2,0,0,0,0,0
"550f8c24c08a218fb6a8295b63ee0405",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7a2c730ee326d133710fe41f4685bf57",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"53613844f2b31fbcab240d292b1bfe33",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"eef4107ff36a9b5df10e3ec636dd817b",2,1,0,0,0,0,5,8,0,3,0,1,0,0,0
"3f26ea827a034ca8a82af965230e5ceb",21,55,74,0,8,0,9,19,45,68,1,14,5,91,3
"7cea37e220b4e0f704e15b31144b414c",0,0,0,0,0,0,1,3,0,2,0,5,0,0,0
"d9c484f560d364287de8131d8d198c8d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7b77f097bbe9863f6bf69080fbff0591",0,3,0,0,0,0,0,0,2,0,0,1,0,0,0
"115466a18b3a37bb4d5fa12ac6074a3b",0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"85d4a3d173f069070cd3795156b3c93a",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"51884cf57373d7726318f7efdc264ad9",0,0,0,0,0,0,7,1,0,0,1,1,0,0,0
"6a4c7a2e3e7aa4b68e99d898dcc49368",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"15adca182a338d8e043e63b6465cf05e",0,0,0,0,15,0,1,0,0,7,0,2,2,0,0
"220049259bb4ce1a85ca752722f83537",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"92ea04e5f99479c6e135a2ccfcb54902",0,0,0,0,0,0,0,1,0,2,0,0,0,16,0
"1b3d5be1fc55a29ae000045283e4ef00",3,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"665994c1e5ad4198e40826c95a96ea31",0,23,0,0,0,0,0,0,0,0,0,53,0,17,13
"fa3f1e8674b1f62287fafd8bfcc21e9c",0,0,0,27,4,0,0,0,0,0,0,0,0,0,0
"0548e2f9ec82a10d30a9b9176858249b",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"fe6e1d748acc1d15ba3e097298a5314b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"4e4c5cd13eb19d445bd2ee4bd71a7053",0,31,58,70,0,5,0,4,0,15,0,0,0,65,125
"88b7d40aa11ffb6904e8afdcad84b670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"e08eddfa8b449c475494afa9b3cec078",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"e017152985fa483351fc11d7cd8ba7a2",1,0,0,0,0,0,0,2,12,1,0,4,0,0,53
"5796373644ec73af7f9c0b1d27e7cf93",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"3e1383e04fac7265e85848785b5a97f9",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"addfd33c3fa0fe4c5cd37463bb935220",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"2c90e61265abb47e2d7585b742bc3ab9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"c4d11ab154bf7827e8b4ee6472341ec6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
