sample_name_backup,expedition_number,BiologicalMatter,faith_pd,faith_SR
E1.10.Poc.dami.1.20140728.T,E1,Coral Tissue,2.413143774,22
E1.10.Poc.dami.1.20140731.M,E1,Coral Mucus,3.885307188,33
E1.10.Poc.dami.1.20140731.S,E1,Coral Skeleton,11.07031449,103
E1.10.Poc.dami.1.20140731.T,E1,Coral Tissue,10.29419227,64
E1.10.Poc.dami.1.20140905.S,E1,Coral Skeleton,3.184593404,43
E1.10.Sty.pist.1.20140807.M,E1,Coral Mucus,6.08396921,58
E1.10.Sty.pist.1.20140815.M,E1,Coral Mucus,13.3943043,100
E1.10.Sty.pist.1.20140815.T,E1,Coral Tissue,2.075266802,38
E1.11.Fun.sp.1.20140730.M,E1,Coral Mucus,24.21068995,143
E1.11.Fun.sp.1.20140730.T,E1,Coral Tissue,19.33210782,131
E1.11.Fun.sp.1.20140811.M,E1,Coral Mucus,9.895461292,58
E1.11.Fun.sp.1.20140811.S,E1,Coral Skeleton,10.89217357,102
E1.11.Fun.sp.1.20140811.T,E1,Coral Tissue,8.897863855,42
E1.11.Lep.tran.1.20140731.M,E1,Coral Mucus,2.535827933,33
E1.11.Lep.tran.1.20140731.S,E1,Coral Skeleton,19.77448832,118
E1.11.Lep.tran.1.20140731.T,E1,Coral Tissue,18.88896993,108
E1.11.Psa.cont.1.20140730.M,E1,Coral Mucus,2.35220004,31
E1.11.Psa.cont.1.20140730.S,E1,Coral Skeleton,5.431638976,44
E1.11.Psa.cont.1.20140730.TS,E1,Whole Coral,3.122922586,30
E1.11.Psa.cont.1.20140730.T,E1,Coral Tissue,4.351491399,36
E1.11.Psa.digi.1.20140807.M,E1,Coral Mucus,18.37002341,133
E1.11.Psa.digi.1.20140807.S,E1,Coral Skeleton,25.91291328,234
E1.11.Psa.digi.1.20140807.T,E1,Coral Tissue,10.82577408,71
E1.14.Phy.lich.1.20140801.S,E1,Coral Skeleton,25.4606994,183
E1.14.Phy.lich.1.20140811.M,E1,Coral Mucus,2.139538776,23
E1.14.Phy.lich.1.20140811.S,E1,Coral Skeleton,30.9616575,273
E1.14.Phy.lich.1.20140811.T,E1,Coral Tissue,4.346981694,57
E1.15.Dip.heli.1.20140726.M,E1,Coral Mucus,9.691680109,58
E1.15.Dip.heli.1.20140726.S,E1,Coral Skeleton,18.58185427,138
E1.15.Dip.heli.1.20140726.T,E1,Coral Tissue,20.08928041,144
E1.15.Dip.heli.1.20140809.M,E1,Coral Mucus,15.54648237,114
E1.15.Dip.heli.1.20140809.S,E1,Coral Skeleton,31.66986526,239
E1.15.Dip.heli.1.20140809.T,E1,Coral Tissue,30.49486362,280
E1.15.Dip.heli.1.20140815.M,E1,Coral Mucus,9.954953813,68
E1.15.Dip.heli.1.20140815.S,E1,Coral Skeleton,18.51787047,140
E1.15.Dip.heli.1.20140815.T,E1,Coral Tissue,22.11923717,146
E1.15.Dip.heli.1.20140905.M,E1,Coral Mucus,5.789333688,96
E1.15.Dip.heli.1.20140905.S,E1,Coral Skeleton,30.12462285,241
E1.15.Dip.heli.1.20140905.T,E1,Coral Tissue,22.10305592,203
E1.17.Cau.furc.1.20140801.DS,E1,Coral Skeleton,20.29743702,148
E1.17.Cau.furc.1.20140801.M,E1,Coral Mucus,13.84680763,61
E1.17.Cau.furc.1.20140801.S,E1,Coral Skeleton,13.66474646,83
E1.17.Cau.furc.1.20140801.T,E1,Coral Tissue,16.60681231,87
E1.17.Ech.lame.1.20140905.M,E1,Coral Mucus,6.982380454,104
E1.17.Ech.lame.1.20140905.S,E1,Coral Skeleton,5.604464793,92
E1.17.Ech.lame.1.20140905.T,E1,Coral Tissue,6.300664962,96
E1.17.Ech.mamm.1.20140728.M,E1,Coral Mucus,5.613896076,64
E1.17.Ech.mamm.1.20140728.S,E1,Coral Skeleton,3.38876202,30
E1.17.Ech.mamm.1.20140815.M,E1,Coral Mucus,13.48285404,100
E1.17.Ech.mamm.1.20140815.T,E1,Coral Tissue,6.726764653,70
