"","PD","SR"
"E1_Coral Mucus",2177.441813,21
"E1_Coral Skeleton",2137.960467,20
"E1_Coral Tissue",2105.459379,20
"E3_Coral Mucus",1717.721093,10
"E7_Coral Mucus",1643.360547,16
"E7_Coral Skeleton",1640.718087,15
"E3_Coral Skeleton",1590.97071,10
"E3_Coral Tissue",1590.97071,10
"E7_Coral Tissue",1466.393136,14
"E10_Coral Mucus",1206.17804,11
"E10_Coral Skeleton",1172.710382,10
"E10_Coral Tissue",1105.382166,8
"E1_Whole Coral",369.443046,1
