"id","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","ci.mean","SE","zstat","p_value","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"0b20371f451426b6cd05db9276227d7e",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae",NA,NA
"0da89dad83dcc6aed19fc42184f2be1e",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae",NA,NA
"0dbc1a9bdca9ad3dcc95d2e9910ec40e",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3",NA,NA
"0e19a44882ae3ab31e2383f1b011e991",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","MAT-CR-M4-B07","MAT-CR-M4-B07","MAT-CR-M4-B07","MAT-CR-M4-B07",NA,NA
"16c0e326171953ad5fb96ddb5132965d",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",NA,NA
"1b87a1c2ebcea3e1f974c6361a9cd6ad",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Firmicutes","uncultured","uncultured","uncultured",NA,NA
"23f10ed61c225ad19de97774be33c2fa",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Gemmatimonadota","AKAU4049","AKAU4049","AKAU4049",NA,NA
"3db5bed6379e705bd5691f7b4c0aad22",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411",NA,NA
"41234bf3b3b1b417286cdc64994de4fb",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,NA
"4323fd8a62ddebee68c0d643c7858022",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","Rokubacteriales",NA,NA
"519e8a6ff9eb9c21ab8f87e6b8526e0d",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Unclassified Vicinamibacterales",NA,NA
"5a963d338567c1b38f890f0d558ba723",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Unclassified Desulfobacterales",NA,NA
"5ce599ceab6b99d4dcd78fa8858c37b5",3.96825396825397e-06,0.00396825396825397,0.00017276150528394,1.11896558980596e-06,0.0259890644474933,0.00396039869521881,0.000698480111804097,0.0221183838554062,"neutral",0.0259879454819035,0.00662957792905701,0.598568115605274,0.56089621244964,395.431829776996,"d__Bacteria","Chloroflexi","Dehalococcoidia","MSBL5","MSBL5",NA,NA
