"Feature ID"	"Taxon"	"Consensus"
"11696481ecd6e2f5ac47f1d97a26d6d2"	"d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Azambacteria; f__Candidatus_Azambacteria; g__Candidatus_Azambacteria"	0.6
"13a6ea27f50c0fcc4a9f153acb980ee9"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536; f__Ga0077536; g__Ga0077536"	0.7
"14acb41850fd16a57b17efb6fe735da0"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__Neorickettsia"	1
"15275bc9622ccad8cebb49de0fb958d6"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Maritalea"	1
"15608e4a680829e9e775ad839ff61753"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__uncultured_bacterium"	0.6
"156fc46d81faac78044c6e6c43a4f12f"	"d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Sh765B-TzT-35"	0.6
"16c0e326171953ad5fb96ddb5132965d"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI_clade; s__uncultured_bacterium"	0.8
"17a8bad3804891d1f9313f9e8e24c600"	"d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae; g__Sumerlaea; s__uncultured_organism"	0.6
"17f9d461cf617ee4cdc98552d324677f"	"d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__mle1-8; f__mle1-8; g__mle1-8; s__uncultured_organism"	0.8
"1816f728a609cb1817d79822d0864684"	"d__Bacteria; p__Firmicutes; c__Syntrophomonadia; o__Syntrophomonadales; f__Syntrophomonadaceae; g__Syntrophomonas"	0.7
"18bd0a9ae7d5f86586609335611103d8"	"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17"	1
"18c3ebaae0add40bb694269a6805c306"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__AT-s2-59; f__AT-s2-59; g__AT-s2-59"	0.6
"19202744a941e6da281265d34663fb1c"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinomadura"	1
"19c8fa1bb5325954745e00503cf17756"	"d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_archaeon"	0.8
"1a0189802234246a1bcc3dbea4a6adcd"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiales_Incertae_Sedis; g__Motilibacter"	0.6
"1a6979b550952976147a1e68878b9ea0"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Roseospira"	0.9
"1a9f3f6d59a2709a8a504a48dcb67202"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Cyanobacteriaceae; g__Cyanobacterium_CLg1"	1
"1aa37bbc889044764fbdd50674d92467"	"d__Bacteria; p__Verrucomicrobiota"	1
"1aa54c0910337d44700937c241771e7a"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales"	1
"1aea427b7efcaac6bd760d22f2a33e77"	"d__Bacteria; p__Actinobacteriota; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteriaceae; g__Rubrobacter"	1
"1b272d2e70645350051e6ebe0528a6a2"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Hoeflea"	0.6
"1b43ce1e9f53b3ba4d98d5c8de7d97af"	"d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Haloferula"	0.8
"1b70c7589fbbd13f77d5d7bf20a135d2"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Jatrophihabitans"	1
"1be3d6da13996e11234005fb9982b560"	"d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter"	1
"1bff2e4e424c550eda706bd8c199b08e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Moritellaceae"	0.9
"1e1e414efd031cdbfd4aff70d34e90b6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__Hydrocarboniphaga"	1
"200227d43e87981ceaed8b6e7d2fe8e5"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylotenera"	0.7
"2013885cae8b0c6af1c395f5367c62e3"	"d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus"	1
"2122f6d3d4d78b44cbd827f07739176f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Piscirickettsiales; f__Piscirickettsiaceae; g__Piscirickettsia; s__Piscirickettsia_salmonis"	0.7
"212ef66de99e4343a75c5f3e8df01470"	"d__Bacteria; p__Chloroflexi; c__OLB14; o__OLB14; f__OLB14; g__OLB14; s__uncultured_bacterium"	0.6
"226c7e0403d850be22eb73eee7acd31a"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Skermanella"	0.6
"22fe7e4c6c0c67dda139d75449c78c31"	"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium"	0.7
"2311c08c0ab58e255f1c4bbfa12d49dd"	"d__Bacteria; p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__Armatimonadales; g__Armatimonadales; s__uncultured_bacterium"	0.8
"23c271aa39ac9d8f0542f86a737c75ac"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella"	1
"240cab4982f287b928b74e6773ff3250"	"d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera"	1
"258327e6883170d7e5d5349110ae437e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Hydrogenophilus"	1
"262be0ab8c0547306030b4c1f1e873e4"	"d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_bacterium"	0.7
"26b527d4c58a6970c17903a15080817e"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__uncultured; g__uncultured"	1
"26b7198096851ca813337eaaf86d6590"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__OM182_clade; f__OM182_clade; g__OM182_clade"	1
"26f2f03921a766faf144656dc967e175"	"d__Bacteria; p__Desulfobacterota"	1
"27424e0bcd906f6eaf994bb913ab97da"	"d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia; f__Geothermobacteraceae; g__Geothermobacter"	0.7
"2750714e4451ecc5a3c158f0cb8667c0"	"d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Rhodothermaceae; g__uncultured"	0.6
"27c0f79ba15c838222a078e7cf19166b"	"d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__S-70; f__S-70; g__S-70; s__uncultured_bacterium"	0.8
"28d0a31c3432affeb1138072b96bfb70"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__F0058; s__uncultured_bacterium"	0.9
"2ad0f061e9924b39ce1da7de1b05db25"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Cocleimonas"	0.7
"2b188689a042eeac7cb63192ffaaa9c9"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales"	0.8
"2b1f23099b477a1f3ba6dc2723ef9528"	"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__OPB41; f__OPB41; g__OPB41"	1
"2b529e3ffa1c12d3f8da64dc78e924c5"	"d__Bacteria; p__Firmicutes; c__Bacilli"	1
"2b67fe70fb67b9bb7ec1cffbcd46e4f2"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga"	0.6
"2b72a529f8e095bee46b16ebd9e8d73e"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__EF100-94H03; g__EF100-94H03"	1
"2b7bf3120ead165261e1aa3584eedd41"	"d__Bacteria; p__Patescibacteria; c__ABY1; o__Candidatus_Uhrbacteria; f__Candidatus_Uhrbacteria; g__Candidatus_Uhrbacteria"	1
"2bbcc2fa9a3490443f08d1de0af0e75e"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium"	0.7
"2bd6bcb1d5ff27ea9521b4b1b334de0b"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__IS-44"	0.7
"2d8f03a721cbf9c1810617a406fb2dd8"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia"	1
"2d9adcadf1b1f6baa51d3a4a14baf212"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Oligosphaerales; f__Lenti-02; g__Lenti-02"	0.8
"2da08ba8f0e3a6bd20c633af7cb1d16f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales"	1
"2df15040d9624270c27ec8700bab72ff"	"d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__Fibrobacter; s__uncultured_bacterium"	0.7
