"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00761",217,1,0,23
"K00762",467,1.01965065502183,0.138948411508873,40
"K00763",235,1,0,31
"K00764",462,1.00653594771242,0.080668497296232,40
"K00765",455,1,0,39
"K00766",454,1.00665188470067,0.0813776429288919,39
"K00767",460,1,0,39
"K00768",202,1.03061224489796,0.200209205078117,18
"K00769",71,1,0,4
"K00772",206,1.01477832512315,0.120962825167191,24
"K00773",472,1.01070663811563,0.103027839162705,37
"K00782",141,1.01438848920863,0.169637785935994,9
"K00783",335,1,0,20
"K00784",168,1.02439024390244,0.154729905667636,21
"K00786",19,1.05555555555556,0.235702260395516,5
"K00788",462,1.21899736147757,0.420453329917272,36
"K00789",474,1.01282051282051,0.11261992820672,40
"K00790",467,1.00430107526882,0.0655118745728452,37
"K00791",479,1.02569593147752,0.15839625991508,37
"K00793",454,1.00665188470067,0.0813776429288919,39
"K00794",464,1.01531728665208,0.122946099599201,39
"K00795",186,1,0,6
"K00796",467,1.01965065502183,0.138948411508873,39
"K00797",221,1.17553191489362,0.523294003356865,29
"K00798",261,1,0,21
"K00799",960,4.92307692307692,2.67273958243141,7
"K00800",489,1.04710920770878,0.21209964776084,39
"K00801",12,1,0,6
"K00803",13,1.3,0.483045891539648,3
"K00805",37,1,0,8
"K00806",468,1.01298701298701,0.113340884120357,36
"K00808",43,1,0,2
"K00809",118,1.03508771929825,0.184813925144984,16
"K00812",488,1.24489795918367,0.475727457271453,36
"K00813",102,1,0,4
"K00816",2,1,0,1
"K00817",611,1.32537960954447,0.491654391179347,40
"K00818",269,1,0,22
"K00819",80,1.03896103896104,0.194771015456777,9
"K00820",546,1.16666666666667,0.389915710432357,40
"K00821",195,1.02631578947368,0.160495612240071,21
"K00822",126,1.01612903225806,0.126482812723718,2
"K00823",60,1.11111111111111,0.317220634287258,10
"K00824",201,1.13559322033898,0.343327324534411,6
"K00826",817,1.7457264957265,0.545060460649351,40
"K00830",92,1.06976744186047,0.256248853055389,5
"K00831",314,1,0,19
"K00832",28,1,0,4
"K00833",215,1.00467289719626,0.0683585927024663,19
"K00835",69,1,0,5
"K00836",70,1,0,3
"K00844",4,1,0,2
"K00845",597,1.31497797356828,0.535614910964117,36
"K00846",10,1,0,1
"K00847",297,1.03125,0.193255170630981,18
"K00848",31,1,0,6
"K00849",160,1,0,16
"K00850",549,1.31654676258993,0.528549874243492,34
"K00851",79,1,0,8
"K00852",209,1.375,0.726166565461879,16
"K00853",23,1,0,4
"K00854",258,1.27722772277228,0.786943351475571,12
"K00855",51,1.02,0.14142135623731,3
"K00856",39,1,0,7
"K00857",170,1,0,19
"K00858",471,1.00641025641026,0.0798924495306734,39
"K00859",467,1,0,37
"K00860",145,1.02836879432624,0.166616000404159,13
"K00863",7,1,0,2
"K00864",266,1.01526717557252,0.122848242949679,20
"K00865",43,1,0,6
"K00867",56,1,0,3
"K00868",92,1.31428571428571,0.467582656193181,3
"K00869",34,1.03030303030303,0.174077655955698,8
"K00872",149,1,0,24
"K00873",515,1.10991379310345,0.313119870061742,39
"K00874",200,1.29032258064516,0.455382555539187,8
"K00876",191,1.09770114942529,0.297767031368097,14
"K00878",43,1.075,0.266746782836918,6
"K00879",1,1,NA,1
"K00882",6,1,0,2
"K00883",58,1,0,1
"K00884",10,1,0,1
"K00885",10,1,0,1
"K00886",13,1,0,5
"K00887",4,1,0,1
"K00891",527,1.18426966292135,0.388140309799307,39
"K00892",3,1,0,2
"K00895",20,1,0,4
"K00899",3,1,0,2
"K00901",181,1.00555555555556,0.074535599249993,12
"K00906",61,1,0,1
"K00912",401,1,0,30
"K00917",2,1,0,1
"K00919",438,1,0,36
"K00924",83,1.97619047619048,2.36321499943734,5
"K00925",302,1.0863309352518,0.281358601520664,31
"K00926",68,1,0,8
"K00927",509,1.08067940552017,0.272631707738346,40
"K00928",546,1.17167381974249,0.410261113864913,39
"K00929",19,1.05555555555556,0.235702260395516,3
"K00930",457,1.01555555555556,0.123885778910588,38
"K00931",424,1.02415458937198,0.153714729857007,35
"K00933",3,1,0,1
"K00934",3,1,0,1
"K00936",337,1.38114754098361,0.967694810170949,22
"K00937",320,1.0062893081761,0.0791799727659528,20
"K00938",5,1,0,2
"K00939",494,1.04661016949153,0.211026086227121,40
"K00940",468,1.00862068965517,0.0925463778589682,39
"K00941",283,1.06792452830189,0.252092444041969,32
"K00942",468,1,0,37
"K00943",438,1.05797101449275,0.244100838787558,40
"K00945",464,1.00215982721382,0.0464739412340173,37
"K00946",404,1,0,36
"K00947",17,1,0,1
"K00948",545,1.15466101694915,0.367783704097107,40
"K00949",75,1,0,11
"K00950",504,1.11013215859031,0.313399758366397,37
"K00951",452,1.18324607329843,0.387375498140168,34
"K00952",4,1,0,3
"K00954",460,1.00217864923747,0.0466760028009337,35
"K00955",104,1.06122448979592,0.240974248126322,8
"K00956",110,1,0,9
"K00957",221,1.00913242009132,0.0953442617887563,13
"K00958",141,1.20512820512821,0.405532037478854,8
"K00962",468,1,0,37
"K00963",317,1.01602564102564,0.125775687063039,24
"K00965",127,1.05833333333333,0.235355384180488,21
"K00966",65,1.08333333333333,0.278717806785302,13
"K00969",466,1,0,37
"K00970",413,1.06443298969072,0.245839674114689,31
"K00971",360,1.02272727272727,0.14924484002478,32
"K00972",36,1,0,5
"K00973",518,1.18264840182648,0.398475722306219,40
"K00974",255,1.05371900826446,0.225929641423389,30
"K00975",257,1.14222222222222,0.362585512628751,27
"K00978",57,1,0,10
"K00979",400,1,0,30
"K00980",12,1.5,0.534522483824849,3
"K00981",467,1.01082251082251,0.103578985191455,37
"K00982",212,1,0,8
"K00983",62,1,0,6
"K00986",4,1,0,2
"K00988",3,1,0,2
"K00989",367,1,0,31
"K00990",252,1.01612903225806,0.126226514967502,17
"K00991",327,1,0,35
"K00992",180,1,0,3
"K00995",405,1.16045845272206,0.411802620696544,37
