"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"1256-186-PW199-S_below","1256-186-PW199-S","Pocillopora elegans","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-191-PW202-S_below","1256-191-PW202-S","Pocillopora elegans","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-194-PW203-S_below","1256-194-PW203-S","Pavona varians","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-197-PW204-S_below","1256-197-PW204-S","Pavona varians","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-201-HI6-S_below","1256-201-HI6-S","Porites lobata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-204-HI7-S_below","1256-204-HI7-S","Montipora capitata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-207-HI8-S_below","1256-207-HI8-S","Pocillopora meandrina","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-210-HI10-S_below","1256-210-HI10-S","Pocillopora meandrina","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-213-HI57-S_below","1256-213-HI57-S","Leptastrea purpurea","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-217-HI58-S_below","1256-217-HI58-S","Lobactis scutaria","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-220-HI59-S_below","1256-220-HI59-S","Montipora capitata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-223-HI60-S_below","1256-223-HI60-S","Pavona varians","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-226-HI61-S_below","1256-226-HI61-S","Porites evermanni","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-229-HI62-S_below","1256-229-HI62-S","Pavona varians","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-236-HI64-S_below","1256-236-HI64-S","Pocillopora damicornis","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-239-HI65-S_below","1256-239-HI65-S","Porites lobata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-242-HI66-S_below","1256-242-HI66-S","Leptastrea purpurea","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-245-HI67-S_below","1256-245-HI67-S","Porites evermanni","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-249-HI68-S_below","1256-249-HI68-S","Gardineroseris planulata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-252-HI69-S_below","1256-252-HI69-S","Gardineroseris planulata","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-255-HI70-S_below","1256-255-HI70-S","Lobactis scutaria","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-257-HIA-S_below","1256-257-HIA-S","Tubastraea coccinea","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-260-HIB-S_below","1256-260-HIB-S","Pocillopora damicornis","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-263-HICS_below","1256-263-HICS","Tubastraea coccinea","E15","Hawaii, United States","North Pacific","Skeleton_below","Skeleton","below"
"1256-272-P2-S_below","1256-272-P2-S","Montastraea cavernosa","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-282-P1-S_below","1256-282-P1-S","Montastraea cavernosa","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-286-P6-S_below","1256-286-P6-S","Orbicella franksi","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-289-P7-S_below","1256-289-P7-S","Orbicella franksi","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-292-P8-S_below","1256-292-P8-S","Orbicella faveolata","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-296-P11-S_below","1256-296-P11-S","Orbicella annularis","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"1256-299-P12-S_below","1256-299-P12-S","Orbicella annularis","E2","Panama","Caribbean","Skeleton_below","Skeleton","below"
"E1.10.Poc.dami.1.20140731.S_below","E1.10.Poc.dami.1.20140731.S","Pocillopora damicornis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.10.Poc.dami.1.20140905.S_below","E1.10.Poc.dami.1.20140905.S","Pocillopora damicornis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.11.Fun.sp.1.20140811.S_below","E1.11.Fun.sp.1.20140811.S","Fungia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.11.Lep.tran.1.20140731.S_below","E1.11.Lep.tran.1.20140731.S","Leptastrea transversa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.11.Psa.cont.1.20140730.S_below","E1.11.Psa.cont.1.20140730.S","Psammocora contigua","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.11.Psa.digi.1.20140807.S_below","E1.11.Psa.digi.1.20140807.S","Psammocora digitata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.14.Phy.lich.1.20140801.S_below","E1.14.Phy.lich.1.20140801.S","Physogyra lichtensteini","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.14.Phy.lich.1.20140811.S_below","E1.14.Phy.lich.1.20140811.S","Physogyra lichtensteini","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.15.Dip.heli.1.20140726.S_below","E1.15.Dip.heli.1.20140726.S","Diploastrea heliopora","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.15.Dip.heli.1.20140809.S_below","E1.15.Dip.heli.1.20140809.S","Diploastrea heliopora","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.15.Dip.heli.1.20140815.S_below","E1.15.Dip.heli.1.20140815.S","Diploastrea heliopora","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.15.Dip.heli.1.20140905.S_below","E1.15.Dip.heli.1.20140905.S","Diploastrea heliopora","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Cau.furc.1.20140801.DS_below","E1.17.Cau.furc.1.20140801.DS","Caulastrea furcata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Cau.furc.1.20140801.S_below","E1.17.Cau.furc.1.20140801.S","Caulastrea furcata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Ech.lame.1.20140905.S_below","E1.17.Ech.lame.1.20140905.S","Echinopora lamellosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Ech.mamm.1.20140728.S_below","E1.17.Ech.mamm.1.20140728.S","Echinopora mammiformis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Fav.sp.1.20140805.S_below","E1.17.Fav.sp.1.20140805.S","Favites sp1","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Fav.sp.1.20140811.S_below","E1.17.Fav.sp.1.20140811.S","Echinophyllia orpheensis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Fav.sp.2.20140805.S_below","E1.17.Fav.sp.2.20140805.S","Favites sp2","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.17.Hyd.exes.1.20140803.S_below","E1.17.Hyd.exes.1.20140803.S","Hydnophora exesa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Lob.sp.1.20140730.S_below","E1.19.Lob.sp.1.20140730.S","Lobophyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Lob.sp.1.20140809.S_below","E1.19.Lob.sp.1.20140809.S","Lobophyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Sym.sp.1.20140724.S_below","E1.19.Sym.sp.1.20140724.S","Symphyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Sym.sp.1.20140814.S_below","E1.19.Sym.sp.1.20140814.S","Symphyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Sym.sp.1.20140815.S_below","E1.19.Sym.sp.1.20140815.S","Symphyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.19.Sym.sp.1.20140905.S_below","E1.19.Sym.sp.1.20140905.S","Symphyllia sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.2.Tur.pelt.1.20140814.S_below","E1.2.Tur.pelt.1.20140814.S","Turbinaria peltata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.2.Tur.reni.1.20140730.S_below","E1.2.Tur.reni.1.20140730.S","Turbinaria reniformis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.2.Tur.stel.1.20140805.S_below","E1.2.Tur.stel.1.20140805.S","Turbinaria stellulata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.3.Por.cyli.1.20140801.S_below","E1.3.Por.cyli.1.20140801.S","Porites cylindrica","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.3.Por.cyli.1.20140815.S_below","E1.3.Por.cyli.1.20140815.S","Porites cylindrica","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.3.Por.loba.1.20140726.S_below","E1.3.Por.loba.1.20140726.S","Porites lobata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.3.Por.loba.1.20140905.S_below","E1.3.Por.loba.1.20140905.S","Porites lobata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.4.Pac.rugo.1.20140728.S_below","E1.4.Pac.rugo.1.20140728.S","Pachyseris rugosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.4.Pac.rugo.1.20140814.S_below","E1.4.Pac.rugo.1.20140814.S","Pachyseris rugosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.4.Pac.spec.1.20140801.S_below","E1.4.Pac.spec.1.20140801.S","Pachyseris speciosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.4.Pac.spec.1.20140811.S_below","E1.4.Pac.spec.1.20140811.S","Pachyseris speciosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.5.Gal.astr.1.20140728.S_below","E1.5.Gal.astr.1.20140728.S","Galaxea astreata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.5.Gal.astr.1.20140807.S_below","E1.5.Gal.astr.1.20140807.S","Galaxea astreata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.5.Gal.astr.1.20140814.S_below","E1.5.Gal.astr.1.20140814.S","Galaxea astreata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.5.Gal.astr.1.20140905.S_below","E1.5.Gal.astr.1.20140905.S","Galaxea astreata","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.6.Acr.humi.1.20140731.S_below","E1.6.Acr.humi.1.20140731.S","Acropora humilis","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.6.Acr.sp.1.20140905.S_below","E1.6.Acr.sp.1.20140905.S","Acropora sp_bushy","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.6.Iso.pali.1.20140803.S_below","E1.6.Iso.pali.1.20140803.S","Isopora palifera","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.6.Iso.pali.1.20140815.S_below","E1.6.Iso.pali.1.20140815.S","Isopora palifera","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.6.Mon.hisp.1.20140807.S_below","E1.6.Mon.hisp.1.20140807.S","Montipora hispida","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.7.Pav.sp.1.20140905.S_below","E1.7.Pav.sp.1.20140905.S","Pavona sp","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.7.Pav.vari.1.20140805.S_below","E1.7.Pav.vari.1.20140805.S","Pavona varians","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.7.Pav.vari.1.20140815.S_below","E1.7.Pav.vari.1.20140815.S","Pavona varians","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.7.Pav.veno.1.20140809.S_below","E1.7.Pav.veno.1.20140809.S","Pavona venosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E1.7.Pav.veno.1.20140811.S_below","E1.7.Pav.veno.1.20140811.S","Pavona venosa","E1","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E10.10.Sty.pist.1.20150630.S_below","E10.10.Sty.pist.1.20150630.S","Stylophora pistillata","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.17.Fav.abdi.1.20150630.S_below","E10.17.Fav.abdi.1.20150630.S","Favites abdita","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.17.Fav.pali.1.20150630.S_below","E10.17.Fav.pali.1.20150630.S","Dipsastraea pallida","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.17.Gon.favu.1.20150629.S_below","E10.17.Gon.favu.1.20150629.S","Goniastrea favulus","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.17.Gon.favu.1.20150630.S_below","E10.17.Gon.favu.1.20150630.S","Goniastrea favulus","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
