	M00176_Sulfur_reduction_sulfate_H2S_
4342317	FALSE
2326885	FALSE
3041662	FALSE
279230	FALSE
356942	FALSE
1065569	FALSE
797985	FALSE
4359077	FALSE
4314534	FALSE
4374027	FALSE
2845471	TRUE
1139618	FALSE
4341881	TRUE
1928988	FALSE
806354	FALSE
2153555	FALSE
124193	FALSE
300387	FALSE
588995	FALSE
4480305	FALSE
3114949	FALSE
4466618	FALSE
1500147	FALSE
3071921	FALSE
2317377	FALSE
1135388	FALSE
863019	FALSE
98258	FALSE
908948	FALSE
20957	FALSE
4451400	FALSE
212239	FALSE
210958	FALSE
544033	FALSE
249243	FALSE
141607	FALSE
978072	FALSE
110321	FALSE
4323443	FALSE
3114957	FALSE
821884	FALSE
3506234	FALSE
257821	FALSE
611009	FALSE
2163606	FALSE
1130212	TRUE
1087298	FALSE
810119	TRUE
3900309	FALSE
1015143	FALSE
104788	FALSE
321103	FALSE
107506	FALSE
347501	FALSE
4427218	FALSE
104310	FALSE
783892	FALSE
4369968	FALSE
832260	FALSE
241895	FALSE
531374	FALSE
1123395	FALSE
833257	FALSE
516022	FALSE
38435	FALSE
181641	FALSE
622992	FALSE
515169	FALSE
536947	FALSE
804742	FALSE
132661	FALSE
157266	TRUE
511931	FALSE
275275	FALSE
3382	FALSE
4357413	FALSE
4343435	FALSE
112259	FALSE
1111413	FALSE
217797	FALSE
441828	FALSE
761601	TRUE
4409036	FALSE
725347	FALSE
817013	FALSE
4465677	FALSE
4443105	FALSE
4359327	FALSE
4469032	FALSE
1059762	TRUE
1109245	FALSE
4195126	FALSE
2775220	FALSE
221107	FALSE
758112	FALSE
201361	FALSE
225370	FALSE
1114358	FALSE
4385942	FALSE
2528843	FALSE
2599642	FALSE
790466	FALSE
339359	FALSE
62921	FALSE
1107031	FALSE
313493	FALSE
1142199	FALSE
591043	FALSE
112962	FALSE
4325392	FALSE
517031	FALSE
1126195	FALSE
1078375	FALSE
354247	FALSE
14475	FALSE
1118132	FALSE
3348667	FALSE
4440517	FALSE
1124068	FALSE
7229	FALSE
4378239	FALSE
5137	FALSE
439457	FALSE
107461	FALSE
679745	FALSE
1108706	FALSE
4374109	FALSE
4340807	FALSE
262768	FALSE
669611	FALSE
4408637	FALSE
4351262	FALSE
209523	FALSE
136286	FALSE
2216255	FALSE
558772	FALSE
350334	FALSE
3070042	FALSE
849585	FALSE
920506	FALSE
1856738	FALSE
546441	FALSE
99912	FALSE
351929	FALSE
2718033	FALSE
348170	FALSE
3956482	FALSE
62707	FALSE
206386	FALSE
563796	FALSE
72926	FALSE
140105	FALSE
194024	FALSE
113467	FALSE
1134274	FALSE
582609	FALSE
357342	FALSE
96373	FALSE
1120876	FALSE
829240	FALSE
2781721	FALSE
968354	FALSE
149607	FALSE
646478	FALSE
1845162	FALSE
469663	FALSE
2055428	FALSE
864067	FALSE
239868	FALSE
512121	FALSE
174842	FALSE
848713	FALSE
533420	FALSE
351673	FALSE
3213372	FALSE
1106960	FALSE
206114	FALSE
301880	FALSE
759250	FALSE
101553	FALSE
1016369	FALSE
3706429	FALSE
809730	FALSE
240641	FALSE
643757	FALSE
696477	FALSE
668615	FALSE
1731151	FALSE
590604	FALSE
137183	FALSE
4442779	FALSE
203626	FALSE
4365141	FALSE
761592	FALSE
4353625	FALSE
258655	FALSE
313174	FALSE
234654	FALSE
166322	FALSE
201724	FALSE
4386366	FALSE
518263	FALSE
4311215	FALSE
4434699	FALSE
815435	FALSE
810893	FALSE
297256	FALSE
867135	FALSE
317953	FALSE
146126	FALSE
4375708	FALSE
782472	FALSE
2480553	FALSE
244568	FALSE
4436510	FALSE
331119	TRUE
1104728	FALSE
276370	FALSE
