"","PD","SR"
"E15_Coral Skeleton",1256.245524,8
"E11_Coral Skeleton",1129.608899,7
"E5_Coral Skeleton",987.680611,4
"E9_Coral Skeleton",738.886091,2
"E12_Coral Skeleton",369.443046,1
"E2_Coral Skeleton",369.443046,1
"E4_Coral Skeleton",0,0
