"id","1256-004-C118-S","1256-007-C119-S","1256-010-C120-S","1256-013-C121-S","1256-016-C122-S","1256-020-C123-S","1256-023-C127-S","1256-026-C128-S","1256-029-C129-S","1256-035-C133-S","1256-041-C143-S","1256-044-C144-S","1256-047-C145-S","1256-050-C148-S","1256-054-C149-S","1256-057-C150-S","1256-060-C151-S","1256-063-C152-S","1256-065-C153-S"
"2f40b5ae10d056fe2755da73815a80df",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"93dc9b07842b685e9c3b33d44c67d918",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"544db24193e0a9e9e5464bb67b2b9c03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"a5ddff990eab72db7ab90428ae4c2aef",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9437a7928f4fe038d4555f4d6608ba70",0,0,0,0,0,0,2,0,11,0,1,0,12,4,2,0,0,0,3
"9a04c9eda2112dbc4b14a3f35695e02c",32,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4
"ac3acb104dde7f78c176bf90db1faabf",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
"b3be43b463659b7ba47b046bda4a6a5e",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"b56429b4d3d8cae4b43982454f9523fa",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"bea475cf0e9e7b8b3981f82ba6bbcf83",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"4b9f530043873e67b841207437ec2c5f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4
"a586a01041fbb788338b37d3d669ac25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"89fe142b376f8919507d6a60dafbdd43",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2
"a754936f7b99aeecae2b8b219b8dd1f8",24,0,2,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,3
"eb683fd9e31cd828933d0acbe8d8f856",0,0,0,0,0,0,6,2,3,0,0,0,4,18,62,0,0,161,8
"958dad7a9eb179da36bc0d4e2ec59817",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"89ddfb032c2464b0a69e5f9e4d695767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"834a116eb92571ffdb8ab40e4afafd15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0
"c037264a915a072d3260baff4fe94213",38,42,48,6,0,61,5,5,16,0,32,17,3,2,3,37,1,0,3
"4413be40a34a973a1a5816f97ed3e492",40,0,0,0,3,0,15,25,20,0,0,0,3,7,10,0,0,10,61
"add9b3fcd11004d13a665cbff8f584b4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"0b8c52ea1cba3f4b650f4e179cb6329a",26,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"58154e1bd55978894b923d54e66e070e",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,2
"7819afe8fc5a5b9036496dd9f78ab8e6",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,0
"15733cc57b3d3cbc46b0eb4ea23ed941",0,0,0,0,0,0,11,11,8,0,0,0,0,0,2,0,0,0,7
"137ff2c2c90d7967b18a3e130cb72c76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"d85f3e99846e6ec0ba1b5c5eee06fe2c",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"9e229e8729a1f0db63b51bbb360fffb2",0,54,0,21,165,18,0,0,0,94,0,0,0,0,0,0,105,5,0
"5220669154c0a3e6feac24c6d4b96101",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0
"fa41633cc8c08172818597449b7347d0",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce8dcf1e90e4ab9706e377d1f9e9dd40",0,0,0,0,0,0,5,0,6,0,0,0,0,0,10,0,0,0,0
"de31b68eb81d7c60ebad9be36cddebf2",4,4,10,13,0,19,0,0,0,0,0,0,0,0,0,34,0,0,0
"7de5e7c251f6407aa94b05e3e0427abe",16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b7814b630ea715318fe2dfceaa409b5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
"88f69919c62834731fe1f36118f71d64",39,17,27,50,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0
"6e7892d51b8860619162064749e03841",0,64,55,68,0,75,0,0,0,0,0,0,0,0,0,23,0,0,0
"37ddd9cf87005849201bcb8b92cc53dd",26,36,54,50,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2
"d4b81cb1a5b74f89e7f3bf9005ddd7bd",102,187,189,232,0,334,0,0,0,0,0,0,0,0,57,130,0,0,0
"ab007057c8067137d744e315413ec2ff",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1bd79f0056b4bfff6e6d7cb744523cfd",0,0,0,0,0,0,4,0,2,0,0,0,0,7,0,0,0,0,0
"c53359c239846263812e5e20f69f0512",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b79b61b75e58afd9c16002bb8fbe2ab",0,0,0,0,0,0,4,5,0,0,0,6,0,18,14,4,0,0,0
"9f718530519a3538aa75b5714e09ee57",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"72994dfae1614cc086f3b867fff4b8fa",0,0,0,0,0,0,22,6,6,0,0,0,0,7,2,0,0,0,4
"262e71724d2e4a7e02c0d674702cead9",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"aca96c135ad551132b251de4466f245f",0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0
"487da8b0aec41c62d0c94eaab65ce408",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"fdca1985167f8896db49a956d5bcdaea",0,0,0,0,0,0,2,0,0,0,0,0,0,5,10,0,0,12,16
"4c6b251db4a57a4a8e7222f6ed640b77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4260a106b5909df9a2cfa903f49ad6fa",24,0,0,0,2,0,3,1,0,0,10,0,0,21,38,0,0,19,7
"307ff84454bef0cfe8795f111fee9919",0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,5
"102df19d94eb16282512646bed3ba9aa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
"f57436bfddaf6b8b6924539b9f375987",0,0,0,0,0,3,0,0,51,0,0,0,0,0,0,0,0,0,2
"3f06ddbc2a7bdb21d1b6039d5e4daa75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dac12db81c621035a957563691d4d9e6",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"83179f2bc768ab5da1dca25c8b36e5a7",0,0,0,0,28,0,0,0,4,25,0,0,0,2,3,2,54,9,0
"32d4a002a620736a1b31606291f0fe61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"d16f3aa83d708f2be97dc1eed35b8ed3",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2b72a529f8e095bee46b16ebd9e8d73e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"418f3c3f43f41907ff1147010432c643",0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,1
"1bbbf920e5b2134973f7f19e7d878a20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"88784ad04098cf97b7823b7ac6068436",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
