,chi2_stat,p_value
"""395c52ea59da6ee9ca5a7f38d559045d""",8.726403048287468,0.36589941931946335
"""143e2107bf6409cf050b4748500b3f19""",7.531623543348415,0.48050429634148595
"""9e7d08f029634e46437b4c9eead0fcbc""",8.697301595710925,0.3684711176259944
"""926f475bef82b5d762a00d2cb36741c3""",10.025941854902806,0.26320985705537825
"""101053501543f9299c3f828734dec9fb""",7.026535439850772,0.5337724187534056
"""3d44680f832278176eeefa1da630116a""",8.851517123136622,0.35497633947751683
"""4c39bf1253c2f1cce12b35f5760d662e""",25.900207865234208,0.0010923990177669806
"""0f2d26ea11b266299cfe5e64b364f750""",6.577787954550414,0.5827928732189285
"""0243b6b185e5cdb5e420f44747c32ab6""",10.46995964905126,0.23357674569192832
"""964e4e9caaea46408ea43e282ac11821""",18.595291957093636,0.017180471811834856
