,chi2_stat,p_value
"""bd71ef83aa26a10df3fc63ac9036c911""",0.05798102323333365,0.999999971242918
"""cf192c135103c697ed6b0ea5bd0652c8""",0.27265324873056457,0.9999870921110178
"""498ef5935a6ef1b3ec6f4a446c22e81b""",0.20682963334989923,0.9999956121463721
"""fb9718a34c841a3861ff9f58b233aa22""",0.07247434773886531,0.9999999302051187
"""6892122fb255076be4906a927069ace0""",0.20431886357669427,0.9999958171759279
"""bf09cd11a0aa3e9ea08f89dc8455cccc""",0.1301076290046018,0.9999992915610787
"""80939c455319192ef5d75183020d5a83""",0.15291819971908852,0.999998660400831
"""679442698c4cb805f8d6621b27edde63""",0.018508690557493462,0.9999999996966411
"""6abd62b00356e9dce0767439fb54c5fd""",0.1330019028740826,0.9999992272818694
"""b9acde39e8f44e4fdb498d2d0aa0ffcd""",0.08422362658192853,0.9999998732979394
"""8d15f2ddb73b507ff81a110503d9ecb9""",0.17101769055351784,0.999997919505097
"""59094e6cb36ccaa09060d8f67fd5c7f9""",0.07620596296549191,0.9999999148088088
"""b2ca3d68af5972fd2175604a9503e705""",0.5137582867815512,0.9998521426458857
"""2f7eceac769be5cf712cb12ed58adf5d""",0.12471772056724033,0.9999994005701782
"""3ca25c3ef4d4be166b7e8ce3771095c6""",0.15194068772985525,0.999998693817407
"""f5811c64854ac860cb6cc902c2005265""",0.06449350412073852,0.9999999560928715
"""1dad9f42a4a6c0b45569516becc2cab0""",0.07316314993278795,0.9999999275336511
"""c68ac31b9a740905499cf7154c890231""",0.10353397962485258,0.9999997129019282
"""93e6dd7f5cff61b10508023b656f0428""",0.3637714739436642,0.9999605557843309
"""1b23cc6850b5fed0bf2bc4b5630fe122""",0.2868053552261071,0.9999842849898298
"""b2195b313fabc9b223fb053359558f25""",0.07393682147305639,0.9999999244428321
"""7adf8968e7bb40c15df1b4c10a5d8c13""",0.04083902776213836,0.999999992873467
"""915ec277ffc66e7a75ef315a32e95fd3""",0.1212236357634082,0.9999994642272246
"""9e5ca1bd20bd457a1c266d7d0e83c0ec""",0.009207310634448077,0.9999999999813534
"""3f9ea9d68dda7077babb85bb36ff8ba0""",0.14102085773788128,0.9999990265060509
"""47b4549e39efd69400f17cba2a60fa91""",0.39842822382251264,0.9999440129580478
"""bc6c07189b77231f7967eb708a5c99f7""",0.04093430159380977,0.9999999928070055
"""e342a84f28deca4d35c047cbf9659f1f""",0.14878811090002608,0.9999987973846666
"""1b387e9734e716278c26ba8e2c3e5804""",0.2218242783655469,0.9999942291212865
"""b84b1f158fb5570d083dc2d731a2d645""",0.06173351234187691,0.9999999630993479
"""0d89daed2e31eb0b35eee707949a3f9f""",0.16997851849703682,0.9999979687720149
"""a18318ff5b556750c4273d52979922cd""",0.1785589200082062,0.9999975349683038
"""babb27bd0e5d9f85abb8e27fb244e9af""",0.22472674626917694,0.9999939281312276
"""0ef2aea4b1dcd545c78fc0ed9ca8329f""",0.16324653127567543,0.9999982672952904
"""3941f4ed6d883b7b74218c4d826987a8""",0.12539800439489832,0.9999993875505386
"""251734cc5d62aa36f1b7ec891710c138""",0.05583843566521918,0.999999975242537
"""faefcdfb04cd34b5b4493299660914d9""",0.30058296516236255,0.9999811443483293
"""4ca838bacdf5c4d0f4d1f509dd5785c8""",0.04609630909473933,0.9999999884567335
"""84e6fe5b4a799fcff24a45e77b882538""",0.3204114226002636,0.9999758459723951
"""a525e24b9b280dee324ced4f781222fb""",0.07186323705523456,0.9999999325131048
"""401e9fc03748d5ed7d572f8fff8656d1""",0.1487613703968481,0.9999987982361573
"""d38faecc8d9fbdc5ac95e8de50d2a1f0""",0.6411897944557476,0.9996589364849108
"""adbe52fa3684cfd8c329602a44f2f166""",0.35843339833730553,0.9999627415918523
"""845c69f31c1f07179e7925fdf2f1ed81""",0.24360284954931494,0.9999916791711405
"""d23931a93e4d0554b104bf85c767ff07""",0.1615491643612527,0.9999983371172404
"""1add56626510da30b03485dda502ff01""",0.3137461263100537,0.9999777349966217
"""b02b1920535dcd614c6bd39eb30a7259""",0.11808620391009152,0.9999995169723384
"""0d06999ee50ab0abad026a088f8a84b8""",0.029513370819442927,0.9999999980473775
"""d38e52b2f6db93bb629f82cf4739dab5""",0.11779805977285311,0.9999995216146605
"""9f726ddfaf1942cf274d965df8377185""",0.19779341545405887,0.9999963169058942
"""6a0deebfe9e7b161cefca58be356a7ba""",0.3095405072561907,0.999978869684557
"""d84605a2ed3edf0f10a6bd93d365a9cd""",0.031678912421505286,0.9999999974103081
"""fe91b708e4f90914a272e639da3d7c42""",0.48826902998410293,0.9998781474991254
"""57ce800e8771e548352155a00e6e55ca""",0.3258433017502267,0.9999742216968192
"""65bdb315874beb3e45bb115ce0fe1238""",0.2701270361323688,0.9999875513697362
"""f953ae3d25209f3cfe74a2d17049c345""",0.23789809587932903,0.9999924144339105
"""c3e53c139e2b77e01725dfe522cb8393""",0.15009664822301125,0.9999987551671276
"""e0bf608e6629445614dcb358430108ae""",0.16740010168698083,0.9999980872772168
"""7b33c61b9ec519809645104a8ff7e70e""",0.14637723765118688,0.9999988723721817
"""307b54435ecc34a2056e7dd23ec297db""",0.12217604285179033,0.9999994474004505
"""a0ab7862960e0fc04012260b2e5d1853""",0.0815937058941083,0.9999998882800346
"""61b5006cd4ad09c3e1e1636165386a7e""",0.15143401436101442,0.999998710892677
"""b9b0e6abc0a457b349aeb72743a514ee""",0.1654486456392854,0.999998173498294
"""e175f322c5e5cb14092d58f2a3932546""",0.11062634684861115,0.99999962683314
"""b67608e830326b797364fb959cbe6bef""",0.07531463459800447,0.9999999186961697
"""2451aaf421aab0dd0ab5f0474543cf6b""",0.2844181331941721,0.9999847872589642
"""032b66e64ba19eac8df7248aa1be6e1f""",0.1313689046501807,0.9999992640589098
"""0c47fe1a880059c6746b89e7e29e0e63""",0.10252980607197883,0.9999997237684181
"""3de11ad4fdcf4e3a5e370d5b5f7f86bf""",0.1560446265239727,0.9999985492528449
"""0fdc3549d858701aa9ddf356c972efb6""",0.11556473455026156,0.9999995564793686
"""9ffe42627ceaf6bae59c5c301b63b6a9""",0.11691844720678649,0.9999995355810075
"""0b0ecf946414d301f203a1d04971ad4e""",0.06091982505593867,0.9999999649953378
"""dcda1d7b6fa38d7464f4aa3e431b43b1""",0.13822140835703037,0.9999991005308353
"""fce2d8cc8444856763f2c2a0147f5d5d""",0.18270584761673683,0.9999973023358142
"""1f7e584603a8b3b91975f6f39421b113""",0.08568237673875347,0.9999998643683967
"""ca003eb31979615390b56db312a478ce""",0.13851454288436985,0.9999990929824035
"""fd4dd44d1364089d6f2844a4186d8f3d""",0.13171487964286868,0.9999992563781802
"""a838bbb517f81d81d738c47e2d8d1fbc""",0.07121859748601107,0.9999999348854771
"""bacfd40f02baa9e88dbde72541273d25""",0.13191033724177073,0.9999992520127238
"""e251d95da506a2e82434147519bb939f""",0.05851797802201938,0.9999999701691675
"""301ff7294412539a7cb66156be330637""",0.2156709062934531,0.9999948306384631
"""28224521a0a017b966a064482d0dea96""",0.10657812464796383,0.9999996780095067
"""de894d4a1e33fb7478aa29fda9b7f13e""",0.04445872862063694,0.9999999900051444
