,chi2_stat,p_value
"""bd71ef83aa26a10df3fc63ac9036c911""",11.538223623433396,0.1730266343523283
"""bf09cd11a0aa3e9ea08f89dc8455cccc""",15.092484964533806,0.05737189950604269
"""679442698c4cb805f8d6621b27edde63""",5.108398593868196,0.7459300211265678
"""f5811c64854ac860cb6cc902c2005265""",15.026986460132076,0.05862284428525636
"""b2195b313fabc9b223fb053359558f25""",8.133050362036203,0.4205825482574054
"""9e5ca1bd20bd457a1c266d7d0e83c0ec""",1.3995112164361088,0.9942534774473107
"""0d89daed2e31eb0b35eee707949a3f9f""",24.986842219064414,0.001562558700589164
"""251734cc5d62aa36f1b7ec891710c138""",7.538188814804589,0.4798281652905677
"""4ca838bacdf5c4d0f4d1f509dd5785c8""",9.68022490989526,0.28819097426867407
"""0d06999ee50ab0abad026a088f8a84b8""",7.614449671416273,0.47200785359251585
"""d84605a2ed3edf0f10a6bd93d365a9cd""",4.941910337754826,0.7637664260336958
"""0c47fe1a880059c6746b89e7e29e0e63""",27.888107251578237,0.0004959985249130946
"""1f7e584603a8b3b91975f6f39421b113""",24.59084212402224,0.0018230287040368978
"""e251d95da506a2e82434147519bb939f""",7.197711296708385,0.5154592731957086
"""de894d4a1e33fb7478aa29fda9b7f13e""",6.935561664819362,0.5436008238182102
