"id","1256-201-HI6-S","1256-204-HI7-S","1256-207-HI8-S","1256-210-HI10-S","1256-217-HI58-S","1256-220-HI59-S","1256-223-HI60-S","1256-226-HI61-S","1256-229-HI62-S","1256-236-HI64-S","1256-239-HI65-S","1256-245-HI67-S","1256-249-HI68-S","1256-252-HI69-S","1256-255-HI70-S","1256-257-HIA-S","1256-260-HIB-S","1256-263-HICS"
"543726974451b236fcced190092af14e",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2cb34003f168988ad6227485eac88e4d",0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0
"055cba3d5e5dd5a1233426b109a6d6b7",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"47830587dbfc298a3b2b7aaac2af4612",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfcd140e45ed533d775eb54e445138be",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5eb9ffae1e0a3904908571a064ca9d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"b3c809161d97cd19f34f856bb98b3e7c",0,0,0,0,0,0,0,2,0,0,31,1,0,0,0,1,0,0
"afe2794035780fc2e10c4f6e6cb34eb6",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"e683295b6cd848cd647d9dec6b07d945",5,0,0,0,0,0,0,0,0,0,2,5,0,0,0,17,0,0
"8708001d3fa4eb38dbb2a2a9a1ab7362",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"f5aeffac54c7633e989038cdc37e6424",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3603ce3ae6132c8b9aff61a7edb08bd8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6374111cea73f996514c6e04aeeefc7f",0,0,0,0,4,0,0,0,0,12,2,4,0,0,0,2,0,0
"0dbc1a9bdca9ad3dcc95d2e9910ec40e",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"3a9d4e57525318b3f6b11ca46ed8648d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3f3b9b1b0f32605a7afeb77c0823f072",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9f75d33667fb8b7533aea566f41031c8",1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0
"cf251e20c5b225b18310d70b05b2fda2",1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"db56b3e445a3cf206e4c7055f22d61c6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8ea6478918fa5128ba59100580a789ec",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"4cbd1416bce23995d3a8d077928f670d",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"8ab1b49c922a8ab9134c660c10c4d2b7",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"8ada6ce6544c917d96b9f4ae1abd4111",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"82f8c1b9a5c81173d5f219f4a1060605",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"8919e0a3904ea1b76ef8436585242f27",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"0c7fa91300f810f0cf02b6ff683532b5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d74b74eacd5d3eb84f5aab8a7e31606f",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"a740cf6239991b0f27e830136e19ccad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"a5d4ba82604db7fa4e2be6d0e90d7bb8",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"a1e41f59a6a2f0a3ca8efb43f1e2edff",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c9f3b17ef1354fcc59bc2b519e6a1c2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7527e41e9b8d48b0cfc751b8ed7dd8d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0
"69b8c642144529b0486433d1fbf9dfe6",0,5,0,11,3,0,3,4,0,0,1,0,0,0,0,0,0,0
"0972af539c438102f4f9e91fb23c9a06",0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,0,0,0
"202314ca82c568d7f7717403a85968b0",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"41e6ec8e71757d8d1478eadbc6fe4a79",0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0
"342e70faf99c951fec44124da1f563dc",0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5ae9e27dbb77330014cd414d79afa6ff",3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0
"c88f868d28cdcfcdb7ac92bf9dd4223e",0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,0,0
"73f64e4d39c22d420dfd5b9d77e7398b",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5e5f016c278c6113da398f83d6754fe4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7b9bd53bfa4f559d5fdd7b2b1109831c",4,0,0,7,11,0,0,19,38,5,3,15,0,37,0,22,57,49
"6d8ba015de66e077e9ec266fdcb47b8b",0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0
