"id","1256-274-P5-M","1256-288-P7-M","1256-291-P8-M","1256-294-P11-M","1256-298-P12-M","1256-303-P479-M","1256-305-P480-M","1256-307-P481-M","1256-309-P482-M","1256-311-P483-M","1256-313-P484-M","1256-315-P485-M","1256-319-P486-M","1256-321-P489-M","1256-323-P492-M","1256-324-P493-M","1256-326-P494-M","1256-330-P497-M","1256-332-P498-M","1256-333-P499-M","1256-337-P502-M","1256-338-P503-M","1256-340-P504-M","1256-342-P507-M","1256-344-P508-M","1256-346-P509-M","1256-348-P510-M","1256-350-P511-M","1256-352-P512-M","1256-358-P501-M"
"2313d1235f85d195f43ad2e2f6c4811d",0,0,0,0,0,0,7,3,0,0,4,4,0,12,1,21,0,0,0,0,8,0,0,12,0,0,1,0,0,0
"cb07deb3b34c88e64d664ccce340c1db",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bceb37b1b935bf8bc34d45d0aa38d97e",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7c9c52e177f5c8ba043628baa86de286",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"57bffe89bf08b4ea88fb4d82bc3c6610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0
"faf7861cb232eee2054e46e1fe673d3f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,52,0,0,0,0,0,0,0,0,0,0
"ac5d7ba6a4368d2218254bd606b99270",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3cfafaac9e9cb9505bb5b59228437fb",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1eb103fe76e5e7f2e009f8785c7f09a",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d171d59ba35e8288cf343812b41e4f7a",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fd34de2a2d750631fc584ea2a486617",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45962bc8d8e4874791d343112e12c4b0",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"efb859d7e20ef1c61419d6673196c811",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"154f8ae806d654126619a56f61fe1c25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9c69cd95d6d498c80245233d3b1bf849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"541143515a684fd2a9cb7e821a7deb30",4,0,0,1,0,4,0,22,4,6,7,13,0,5,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
