"","PD","SR"
"E2_Coral Mucus",1578.610132,9
"E15_Coral Mucus",1256.245524,8
"E11_Coral Mucus",1129.608899,7
"E5_Coral Mucus",934.100179,3
"E9_Coral Mucus",738.886091,2
"E12_Coral Mucus",369.443046,1
