"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-012-C121-M","1256-019-C123-M","1256-022-C127-M","1256-025-C128-M","1256-028-C129-M","1256-040-C143-M","1256-043-C144-M","1256-046-C145-M","1256-049-C148-M","1256-056-C150-M","1256-059-C151-M","1256-062-C152-M","1256-064-C153-M"
"dd7d0cbb421f0ca8c19414ad432eaeb1","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,1
"1894c723507ed84817bd3259eb0f143d","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,1,0
"46b0b18a2c2494b750f8e4ad1c90898a","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Unclassified  Candidatus_Campbellbacteria",0,0,0,0,0,0,0,0,0,0,0,0,6
"6908fe23ad5625bcf45e573d22821307","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Unclassified  Candidatus_Campbellbacteria",0,0,0,0,0,0,0,0,0,0,0,0,3
"d350ba0a9e6e4bee755fb19dbf759ca8","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Unclassified  Candidatus_Campbellbacteria",0,0,2,0,0,0,0,0,0,0,0,0,0
"e490ce4f97ed43ecc64b6704cc52b966","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",0,0,0,0,0,0,1,0,0,0,0,0,0
"5c562cff9d4de9e59eab3960339895c6","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Unclassified  Candidatus_Kaiserbacteria",0,0,0,0,0,0,0,0,0,0,0,0,2
"6a2112e3fe93990bd45f9d5d5dc755ad","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria uncultured_bacterium",0,0,0,0,0,1,0,0,0,0,0,0,0
"8e3dc6bb1fe7f08fec33c8e7173ce38a","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b","GWA2-38-13b","GWA2-38-13b uncultured_bacterium",0,0,0,0,0,0,1,0,0,0,0,0,0
"d2017b4367c916148f342a6094b31709","d__Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","Caenarcaniphilales","Caenarcaniphilales","Unclassified  Caenarcaniphilales",0,0,0,0,0,0,0,0,0,0,0,12,0
"ac016a108edb4278e4cf8df29606bcb5","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Unclassified Xenococcaceae","Unclassified Xenococcaceae",0,0,0,0,3,0,0,0,0,0,0,0,0
"64012ed5d9789843af0998512ab0876c","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Cyanobacterium_CLg1","Cyanobacterium_CLg1 uncultured_cyanobacterium",0,0,0,0,0,2,0,0,0,0,0,0,0
"417818c90c322827fc0e63e292a5a5f0","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","Unclassified  Schizothrix_LEGE_07164",0,0,0,0,0,0,0,0,0,0,0,0,1
"8dd2a31696f3ba271461721e2e189073","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","Unclassified  Schizothrix_LEGE_07164",0,0,0,0,0,2,0,0,0,0,0,0,0
"5b9bd3ad9f1ce750469e54107f23a21e","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Unclassified Nostocaceae","Unclassified Nostocaceae",0,0,0,1,0,0,0,0,0,0,0,0,0
"0c7cba5e923fe6d4fb4867d2309806b4","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus_MIT9313","Unclassified  Prochlorococcus_MIT9313",0,0,0,0,0,0,0,0,0,0,0,1,0
"7db93e38cf78596ef15a7fb407ad6e7c","d__Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonas","Unclassified  Syntrophomonas",0,0,0,0,0,0,0,0,0,0,0,0,1
"ef851ca994c634d38038d879a47de1b8","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Finegoldia","Finegoldia uncultured_bacterium",0,0,0,0,2,0,0,0,0,0,0,0,0
"ff3f08fd1f6d5b674ee453cf048ebdd1","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Finegoldia","Finegoldia uncultured_bacterium",0,3,0,0,0,0,0,0,0,0,0,0,0
"8f7b09aefd904463034ab7ec2640ba4b","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Dialister uncultured_bacterium",0,0,0,0,0,0,0,2,0,0,0,0,0
"87480cdfbe93d25ac5875b777d87e84d","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Unclassified  Veillonella",0,0,0,0,0,0,0,0,0,0,4,0,0
"73568cf51dd3e4fa23adb125029591e1","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Fenollaria","Fenollaria uncultured_bacterium",0,0,0,0,0,0,0,4,0,0,0,0,0
"ec1244cc38c8ab9990cc883e754f30b5","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Anaerococcus uncultured_bacterium",0,9,0,0,0,0,0,0,0,7,0,0,0
"c060ad9b6c3373e056f3f2d81810a8c1","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Unclassified  Anaerococcus",0,0,0,0,0,0,0,0,0,0,0,0,1
"49f2bf0fe965b163b503aa3f82d958c8","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Anaerococcus uncultured_bacterium",0,0,0,0,0,0,0,4,0,0,0,0,0
"e171e5beaa7165b2bb64630f4e6083e7","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","Fusibacter uncultured_bacterium",0,0,0,0,0,0,1,0,0,0,0,0,0
"dfc46eed17428d961e38d52db3138891","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified Lachnospiraceae","Unclassified Lachnospiraceae",5,0,0,0,0,0,0,0,0,0,0,0,0
"8190ba68af261452a7826f88200c4c14","d__Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Unclassified  Halanaerobium",54,0,0,0,0,0,0,0,0,0,0,0,0
"d1f51aec11ee1b85aaa0fa59fe5f3df8","d__Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Unclassified  Halanaerobium",0,15,0,0,0,0,0,0,0,0,0,0,0
"6032dc88d8a978f502f4f76edcd21809","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,3,0,0,1,0,0
"d82786ea3ce00abc1c54ba4ed7339b62","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,14,0,0,0
"ed33190a87c415c466212c224c19c873","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,8,0,0,0,0,0,0,0,3,11,0,0
"6e204ee2adc9ae27b065b34113b78576","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,32,0,0,0
"99f08cfc1de6830982ce2d24b1152ad0","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,13,0,0,0
"342e70faf99c951fec44124da1f563dc","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,3,0,0,0,0,0,0,0,6,8,0,0
"01a5e9803e1da350503d8be99c66fb02","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,14,0,0,0
"ab2b1f0860339d3088c2581dbc8d7efc","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,5,0,0,0,0,0,0,0,0,0,0,0
"daffb6f7fbbfe50fabb587667a3bd7d0","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Unclassified  Leuconostoc",0,0,0,0,0,0,0,0,0,0,4,0,0
"faba4cfabbce4a3a3adc209bc80d60da","d__Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Kapabacteriales uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,2
"1dbf89b5f3e98b8d5c1070af361248a3","d__Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Unclassified  Kapabacteriales",0,0,0,0,0,0,0,0,0,0,0,0,1
"f5a327332d43776d6c2e997b6c98d5a4","d__Bacteria","Sumerlaeota","Sumerlaeia","uncultured","uncultured","uncultured","uncultured uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,1
"bfbb5e8416537e557b848a8b39ce81ed","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Pseudofulvibacter","Unclassified  Pseudofulvibacter",0,0,0,0,0,0,0,0,0,0,0,2,0
"62c7477c5c6512565ec871c489ae08e3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,7,0
"29db41705fc5b4b8ad897869f83bf4b2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,3
"2fc2b259409a90a716567ea923f3c357","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,8,0,0,0,0,0,0,0,0,0
"2680dc69b1f9cff21aa8e2dd8541446e","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",4,0,0,0,0,0,0,0,0,0,0,0,0
"2306c29e2dadf9e405585b7b0273cd4e","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,0,13,0,0,0,0,0,0,0,0
"774ea835798a01b0b533678ce3a865fd","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,3,0,0,0,0,0,0,0,0,0
"6d0ef383217115f0ee51f2994e21bc4d","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,0,0,0,0,0,33,0,0,0,0
