pseudo_sampleID	expedition_number	host_scientific_name	neutrality	compartment	compartment_neutrality
1256-211-HI10-T_above	E15	Pocillopora meandrina	above	Tissue	Tissue_above
1256-214-HI57-T_above	E15	Leptastrea purpurea	above	Tissue	Tissue_above
1256-218-HI58-T_above	E15	Lobactis scutaria	above	Tissue	Tissue_above
1256-221-HI59-T_above	E15	Montipora capitata	above	Tissue	Tissue_above
1256-224-HI60-T_above	E15	Pavona varians	above	Tissue	Tissue_above
1256-227-HI61-T_above	E15	Porites evermanni	above	Tissue	Tissue_above
1256-237-HI64-T_above	E15	Pocillopora damicornis	above	Tissue	Tissue_above
1256-240-HI65-T_above	E15	Porites lobata	above	Tissue	Tissue_above
1256-246-HI67-T_above	E15	Porites evermanni	above	Tissue	Tissue_above
1256-253-HI69-T_above	E15	Gardineroseris planulata	above	Tissue	Tissue_above
1256-258-HIA-T_above	E15	Tubastraea coccinea	above	Tissue	Tissue_above
1256-267-HID-T_above	E15	Pocillopora meandrina	above	Tissue	Tissue_above
1256-273-P2-T_above	E2	Montastraea cavernosa	above	Tissue	Tissue_above
1256-276-P5-T_above	E2	Orbicella franksi	above	Tissue	Tissue_above
1256-277-HIE-T_above	E15	Pocillopora damicornis	above	Tissue	Tissue_above
1256-287-P6-T_above	E2	Orbicella franksi	above	Tissue	Tissue_above
1256-290-P7-T_above	E2	Orbicella franksi	above	Tissue	Tissue_above
1256-293-P8-T_above	E2	Orbicella faveolata	above	Tissue	Tissue_above
1256-297-P11-T_above	E2	Orbicella annularis	above	Tissue	Tissue_above
1256-300-P12-T_above	E2	Orbicella annularis	above	Tissue	Tissue_above
1256-304-P479-T_above	E2	Porites porites	above	Tissue	Tissue_above
1256-312-P483-T_above	E2	Agaricia tenuifolia	above	Tissue	Tissue_above
1256-322-P489-T_above	E2	Stephanocoenia intersepta	above	Tissue	Tissue_above
1256-325-P493-T_above	E2	Eusmilia fastigiata	above	Tissue	Tissue_above
1256-327-P494-T_above	E2	Eusmilia fastigiata	above	Tissue	Tissue_above
1256-329-P496-T_above	E2	Siderastrea siderea	above	Tissue	Tissue_above
1256-331-P497-T_above	E2	Siderastrea siderea	above	Tissue	Tissue_above
1256-334-P499-T_above	E2	Diploria labyrinthiformis	above	Tissue	Tissue_above
1256-339-P503-T_above	E2	Acropora palmata	above	Tissue	Tissue_above
1256-343-P507-T_above	E2	Acropora cervicornis	above	Tissue	Tissue_above
1256-345-P508-T_above	E2	Meandrina meandrites	above	Tissue	Tissue_above
1256-347-P509-T_above	E2	Meandrina meandrites	above	Tissue	Tissue_above
1256-349-P510-T_above	E2	Meandrina meandrites	above	Tissue	Tissue_above
1256-351-P511-T_above	E2	Meandrina meandrites	above	Tissue	Tissue_above
E1.10.Poc.dami.1.20140728.T_above	E1	Pocillopora damicornis	above	Tissue	Tissue_above
E1.10.Poc.dami.1.20140731.T_above	E1	Pocillopora damicornis	above	Tissue	Tissue_above
E1.10.Sty.pist.1.20140815.T_above	E1	Stylophora pistillata	above	Tissue	Tissue_above
E1.11.Fun.sp.1.20140730.T_above	E1	Fungia sp	above	Tissue	Tissue_above
E1.11.Fun.sp.1.20140811.T_above	E1	Fungia sp	above	Tissue	Tissue_above
E1.11.Lep.tran.1.20140731.T_above	E1	Leptastrea transversa	above	Tissue	Tissue_above
E1.11.Psa.cont.1.20140730.T_above	E1	Psammocora contigua	above	Tissue	Tissue_above
E1.11.Psa.digi.1.20140807.T_above	E1	Psammocora digitata	above	Tissue	Tissue_above
E1.14.Phy.lich.1.20140811.T_above	E1	Physogyra lichtensteini	above	Tissue	Tissue_above
E1.15.Dip.heli.1.20140726.T_above	E1	Diploastrea heliopora	above	Tissue	Tissue_above
E1.15.Dip.heli.1.20140809.T_above	E1	Diploastrea heliopora	above	Tissue	Tissue_above
E1.15.Dip.heli.1.20140815.T_above	E1	Diploastrea heliopora	above	Tissue	Tissue_above
E1.15.Dip.heli.1.20140905.T_above	E1	Diploastrea heliopora	above	Tissue	Tissue_above
E1.17.Cau.furc.1.20140801.T_above	E1	Caulastrea furcata	above	Tissue	Tissue_above
E1.17.Ech.lame.1.20140905.T_above	E1	Echinopora lamellosa	above	Tissue	Tissue_above
E1.17.Ech.mamm.1.20140815.T_above	E1	Echinopora mammiformis	above	Tissue	Tissue_above
E1.17.Fav.sp.1.20140805.T_above	E1	Favites sp1	above	Tissue	Tissue_above
E1.17.Fav.sp.1.20140811.T_above	E1	Echinophyllia orpheensis	above	Tissue	Tissue_above
E1.17.Fav.sp.2.20140805.T_above	E1	Favites sp2	above	Tissue	Tissue_above
E1.17.Hyd.exes.1.20140803.T_above	E1	Hydnophora exesa	above	Tissue	Tissue_above
E1.19.Lob.sp.1.20140730.T_above	E1	Lobophyllia sp	above	Tissue	Tissue_above
E1.19.Lob.sp.1.20140809.T_above	E1	Lobophyllia sp	above	Tissue	Tissue_above
E1.19.Sym.sp.1.20140814.T_above	E1	Symphyllia sp	above	Tissue	Tissue_above
E1.19.Sym.sp.1.20140815.T_above	E1	Symphyllia sp	above	Tissue	Tissue_above
E1.19.Sym.sp.1.20140905.T_above	E1	Symphyllia sp	above	Tissue	Tissue_above
E1.2.Tur.pelt.1.20140814.T_above	E1	Turbinaria peltata	above	Tissue	Tissue_above
E1.2.Tur.reni.1.20140730.T_above	E1	Turbinaria reniformis	above	Tissue	Tissue_above
E1.2.Tur.reni.1.20140814.T_above	E1	Turbinaria reniformis	above	Tissue	Tissue_above
E1.2.Tur.stel.1.20140805.T_above	E1	Turbinaria stellulata	above	Tissue	Tissue_above
E1.3.Por.cyli.1.20140801.T_above	E1	Porites cylindrica	above	Tissue	Tissue_above
E1.3.Por.cyli.1.20140815.T_above	E1	Porites cylindrica	above	Tissue	Tissue_above
E1.3.Por.loba.1.20140726.T_above	E1	Porites lobata	above	Tissue	Tissue_above
E1.3.Por.loba.1.20140905.T_above	E1	Porites lobata	above	Tissue	Tissue_above
E1.4.Pac.rugo.1.20140728.T_above	E1	Pachyseris rugosa	above	Tissue	Tissue_above
E1.4.Pac.rugo.1.20140814.T_above	E1	Pachyseris rugosa	above	Tissue	Tissue_above
E1.4.Pac.spec.1.20140801.T_above	E1	Pachyseris speciosa	above	Tissue	Tissue_above
E1.4.Pac.spec.1.20140811.T_above	E1	Pachyseris speciosa	above	Tissue	Tissue_above
E1.5.Gal.astr.1.20140728.T_above	E1	Galaxea astreata	above	Tissue	Tissue_above
E1.5.Gal.astr.1.20140807.T_above	E1	Galaxea astreata	above	Tissue	Tissue_above
E1.5.Gal.astr.1.20140814.T_above	E1	Galaxea astreata	above	Tissue	Tissue_above
E1.5.Gal.astr.1.20140905.T_above	E1	Galaxea astreata	above	Tissue	Tissue_above
E1.6.Acr.humi.1.20140731.T_above	E1	Acropora humilis	above	Tissue	Tissue_above
E1.6.Acr.sp.1.20140905.T_above	E1	Acropora sp_bushy	above	Tissue	Tissue_above
E1.6.Iso.pali.1.20140803.T_above	E1	Isopora palifera	above	Tissue	Tissue_above
E1.6.Iso.pali.1.20140815.T_above	E1	Isopora palifera	above	Tissue	Tissue_above
E1.7.Pav.sp.1.20140905.T_above	E1	Pavona sp	above	Tissue	Tissue_above
E1.7.Pav.vari.1.20140805.T_above	E1	Pavona varians	above	Tissue	Tissue_above
E1.7.Pav.vari.1.20140815.T_above	E1	Pavona varians	above	Tissue	Tissue_above
E1.7.Pav.veno.1.20140809.T_above	E1	Pavona venosa	above	Tissue	Tissue_above
E1.7.Pav.veno.1.20140811.T_above	E1	Pavona venosa	above	Tissue	Tissue_above
E10.10.Poc.dami.1.20150630.T_above	E10	Pocillopora damicornis	above	Tissue	Tissue_above
