"id","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"87480cdfbe93d25ac5875b777d87e84d",0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4f162bb647c5fe03f65250bae36d480",5,0,0,0,90,0,0,1,1,3,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"f9b2ea940edca4481a2065e183a17284",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94bc5a62be08c32152a03d2a278b924b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1a39769e556ad79da8b98cd2bb6d4199",0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"52ea160d6a9134f5b46ad5030ea5e75a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,219,512,0,0,0
"d1490988f0e3c90b6094ccbca39550b5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
"ed33190a87c415c466212c224c19c873",0,21,2,1,81,0,3,0,0,32,0,0,0,1,0,0,0,0,33,7,2,0,0,0,10,0
"b4f04a9fcec0638e57ba7ffb4e7221d8",0,0,3,1,0,1,0,1,5,0,0,3,0,1,0,2,5,0,0,0,19,0,0,0,0,6
"39ac8ed71c8854f44dd0617601299e37",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"c0fdae2237ef5211dd8dc9583578e1ca",0,0,0,0,0,0,0,0,0,0,2,1,0,0,19,0,2,0,0,0,0,1,0,0,0,0
"d4791b1f4a39eba35d42a21f55f0fe28",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00ee25802a51e9b0694c8c347b4a4020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"e8bb02ac608e4306c0b54a6234738c3b",0,0,5,3,0,0,1,0,0,0,0,1,0,0,11,0,10,0,0,0,19,0,0,0,0,10
"2dbce15f9d8c14fa1ff41aec5d3d062b",0,1,1,2,0,2,1,5,1,0,1,0,0,2,2,3,1,0,0,0,0,2,1,0,0,4
"40f7be9f091cddb190b16889d3e7bf6a",0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
"dd3ae2f5b39472bf2eae5c3d8da88136",29,35,36,17,48,35,6,14,17,46,24,32,18,8,18,16,24,28,0,27,58,9,16,0,0,28
"ba0233240812bd62920a009b3eaadbeb",0,0,0,0,0,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"644b6ae27c6e32fc43e4de02b3816aa1",14,0,9,1,0,1,0,1,0,0,0,0,5,0,0,4,2,3,0,0,0,1,0,0,0,4
"0a5db59e9dca2890a6de32c37ceca6f6",0,0,0,1,0,0,15,7,0,0,1,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0
"a89cade490d81ba4597caa101c730b82",0,0,2,4,0,0,5,2,0,0,2,1,1,0,0,0,0,5,0,0,0,0,1,0,0,8
"c5b1193395620e9d9f03a826b1954cf5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0
"ff57c030c46b33898c0edfd1a573d42b",0,0,0,5,0,5,2,0,1,0,1,0,0,2,0,1,10,1,0,0,0,0,0,0,0,0
