"id","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"2a4c4182ff8f60051655e75f0c6eb559",0,16,27,6,2,2,1
"11a513910159bfa80b692c78fb489ca7",0,1,0,0,1,0,0
"8af70a020c2dbadd7e1fbd2429e42605",3,35,33,0,0,4,33
"4e14624e70d85d4e0199a1b0ed7e9dcf",0,1,0,0,0,0,0
"b1c6ae4b95c8a9b5b8353385c7a435ba",0,40,7,1,0,4,15
"aab74a41a93aef417a1c5bd52d667ba7",0,0,3,0,7,7,2
"e2f2d48e13a41be5c6573482d84f34fb",0,0,0,1,1,1,0
"f5cbcb301797121f6ca6bd87553c1a2c",0,0,0,1,0,0,0
"55e609e528192f2789a48f534a1b3d8e",0,3,3,1,6,0,0
"4a16075d37f7834afbbaf15eaea1f3b8",0,0,0,0,4,1,0
"a5c7ceaeac02f7b4318029276d9b3691",0,6,0,0,0,1,0
"e4e4b9213a99f2df9a46e33c0b239b09",0,5,13,0,0,7,5
"39ff41f2a54b88df08c9a89ef2876f78",0,1,12,0,0,1,0
"4e3586e1bd33a659f0d261966332de36",0,6,15,0,0,0,14
"ea86020c0c10c5e7feecb5ec60f2d3bb",0,61,2,0,0,70,125
"4715dc051ca1da6edb1ac1d4d98e4be9",0,6,13,3,0,2,0
"ab1095a46755460f61aaa38b0ee425c6",0,0,0,0,1,0,0
"12c23507974ae1750dcca5801f51bc81",0,2,11,3,3,11,6
"faf6555ee0e326fcbe375e4a5f0bf3ea",0,0,0,0,2,0,0
"a8a0c7b3a5870c12d93cf8e5ae5a32c5",0,26,42,7,9,29,21
"46c1ede1cc3a89f72942c7270626b6a6",0,0,1,0,0,0,2
"d0bc9ce14a47dbf9ab61af15caefb5e1",0,0,0,0,1,0,0
"be550d233dfe3f1577bbbbcd77f3f5d7",0,1,0,0,0,0,4
"fed8f6e7535d43d0491cc88fc29770fa",0,0,2,3,3,0,0
"ff3ace4614121ffc609d5481b673e3fd",0,0,0,0,2,0,0
"0efe80da94215615ad98ea6f0889296c",0,13,10,0,5,6,7
"1ebbc52e680ba38ae84780ebd69159d7",0,3,4,3,0,0,0
"db96d9936344d1aa9d551d14f80152cb",0,10,7,0,0,5,0
"1a34596667ebfaa1564b306f0fc7a510",0,22,7,0,0,26,30
"0798b748144fce4afb88f11edb7a52e0",0,0,2,0,0,0,0
"b92d8ff83017ca752abf9f5500c0e865",0,0,8,0,0,0,0
"35c6854f217c20ebb13b159e3227d3f5",0,1,4,0,0,4,4
"74a55ccc22c349e18b0b00bc85122327",0,0,1,0,0,0,0
"f321fbc9ac44bf2e725fa2410d49a328",0,0,1,17,0,0,0
"1db71d3e564bd1505f7bf81a736af28f",0,0,0,0,7,0,0
"191c9d2a1e7a46c5f0520b13edd39375",0,0,0,2,13,0,0
"219392473865a84f475aaad45cf54bee",0,0,0,1,1,0,0
"fc9e11165b2da4daa3f1b8f6d0243395",0,1,0,0,5,0,0
"42e47d232f90e55066fb79796a6a4300",0,0,0,3,2,0,0
"6fce94bacc316491a55cd1d83a01aec0",0,0,0,1,0,0,0
"f6c0e89695ca7b8a5a4c4bceee55a29e",0,1,0,1,0,1,19
"56701dbfc94150aa8d7aa92642645575",0,0,0,0,0,7,1
"d2d0df7c90a69113486ba0f87392a27b",0,2,3,2,1,4,0
"4b14399b2a200415132904171b6dbe83",0,0,3,4,0,0,0
"56312ff6f833a49fd37a49d01342230f",0,2,0,0,0,1,1
"dca8f7bb5a77c57e74799f68b21e75f5",0,2,0,3,0,0,0
"10af6b28e25a6e7783eded717ad7f491",0,0,1,0,0,0,0
"34d872530a6cd244a0f67e51442615c9",12,0,0,0,0,0,0
"e59fa3fa77352187ce395bbbd7163369",0,0,0,0,1,0,0
"4bc691356b0e4f5644ee0a2389bb5226",0,0,0,0,1,0,0
"9a9ec872dc814df7e945b67be06e4ee7",0,0,0,2,0,0,0
"aa0e08684c7bc38bc281bd05c167f81c",0,0,0,0,6,0,0
"1df0dc788c180b6dcd121282b7e678fe",49,2,7,10,4,24,4
"91c7ab41b7f56eb9626d4794a331ad05",8,0,0,0,0,0,0
"86ac66b4bc451815222fed47099fb907",0,0,1,0,0,1,0
"9935f826530b6f0d84fb34081b1d01ca",0,0,8,29,0,2,1
"8dea37e9c8773b5b2150f5f698a993fb",0,0,11,0,0,8,8
"88e71df33a90da6f853a476007be14fd",0,0,1,0,0,1,3
"a6802bcc47ab239706d761fa21293b8d",0,0,0,0,0,5,1
"5b30e450607cf0798da26f821f2b41b8",28,0,0,0,0,1,0
"88063bfa2efb885cb56d3e27293d03aa",0,4,0,22,13,0,0
"3a010aff142e8b574f428c5ea22b3c16",0,1,6,2,2,0,1
"e8a93cf8d13f54586a509344ffb48c37",0,0,1,0,0,0,0
"9a440251a2038444654e9b2d76e84da2",0,1,0,27,0,0,0
"bf5b00783aa64dbfa2a44866592c3d09",0,1,0,0,0,0,0
"e9713c8a6b1b9274a7bf2f5c2ee37d83",0,0,0,0,0,4,2
"79d2c706e58140fd573e5a729eb09f3e",0,49,23,2,6,4,25
"519e8a6ff9eb9c21ab8f87e6b8526e0d",0,0,0,0,0,0,1
"ac3ff5e349b70764e3db62da3d78c350",0,13,0,0,0,14,32
"92f87b3de3e63a3dd64d9f0997c8ac0d",0,0,0,0,0,2,0
"08def5cb9b3bdd9152185a25119069f3",0,0,13,0,2,1,2
"94a03d4c45ece0cb2897b19984cd0af8",0,1,8,0,0,0,3
"7fb20068d0cbcb25b05dfcee570da3ed",0,0,1,0,0,0,0
"23d27f267e610f093d48f5e69399a81a",0,11,10,0,1,3,19
"81289671cf894bc67e521f9193063ea3",0,8,7,0,0,2,5
"65a2e48d13068405a5a3c9eb9db0e3b6",0,0,0,0,0,1,0
"d201f9a00f3125e15255726d7df73fa1",0,0,0,3,0,0,0
"f5cc95145770ff7b765903254c2c1af9",0,0,0,0,1,0,0
"6f61fe917996c48345ff921a0c7d8f8f",0,1,0,0,0,11,0
"8b299daa1aab870ee6bc0c5e7e88d849",30,65,48,12,0,15,4
"3ba707a81060b2657ac8fd8d4a859c21",0,18,12,0,0,0,29
"e04213df6b3a07c98132b6445fb1a49f",0,1,0,0,0,0,0
"5fa66ab39fcc2fe6501b0729a5f13676",0,0,0,0,1,3,2
"465601820a1878554c094049bdbc5c52",0,0,0,0,2,0,0
"c11e038610ee12feccf3a871c6b3f9c0",0,0,0,0,1,0,0
"06e495f88c2aadb1a573fd0eebba6a1c",0,0,1,0,0,1,0
"fc2209ef0e71817925e7fbf9ea3abda0",0,0,4,1,0,0,0
"959cd6d36e50d930d1bd663b0e5ba951",0,4,13,0,0,5,0
"2571ef67ec9f53ca6792afde584192e1",0,0,0,0,1,0,0
"36b254d14690b3fd27ad3470919fffad",0,0,0,1,0,0,0
"a63e17e2a6935e9357093fc11004ee06",0,0,0,0,0,1,0
"06cddb4a12e7a940c103666732546ada",0,0,0,0,1,1,0
"745abb6c8f1cec7c2fc91798b452ebbb",0,0,0,1,0,0,0
"e90c9caddc7610ed54885f62367039d6",13,0,5,14,12,10,0
"3c8c7470e81bf55595bdf98e274b7714",0,0,0,0,7,0,0
"2f701471c1ec11df28b81f71c1cc61fb",0,0,0,0,3,1,0
"5b1aa60a2dd5ef7d9545bb857bb9bd8d",3,0,0,3,0,12,7
"516df42dfbe494c890bd8c650e4bcf5a",0,0,0,0,0,0,1
"247adc975063473b3e87202d10a71ef9",0,0,0,0,2,0,0
"bd0dd143e84cdd664e46cab3e59085e7",0,0,0,1,0,0,1
"9706c33208b1c1d2eb868d2f588bef34",0,0,0,0,0,3,0
"eea80bd5244b64caa962b108fa9c3a90",10,41,67,5,2,21,37
"f1a6536ebc07557736fa5e491db0b2af",8,7,0,14,3,1,0
"5b5c1773b03ffd3feaa4152d7a759521",0,0,5,1,0,1,0
"12bfe4e2a9d8be98486e92283d97f29d",0,0,0,0,0,0,1
"d53b382c61f70d92c42a8e825afb16da",0,0,0,1,0,0,0
"334bc201e7901768ce579f8c3d0d52d0",0,1,0,0,0,0,0
"632e5f98a5594f154f67d3c89484f714",0,0,0,2,0,0,11
"08b40ff10b659b1f112d9009514a69bb",0,0,2,0,0,0,2
"1540478f196f266e7814fdbd33690f8d",7,0,0,0,0,0,0
"834fda5b0336d01be7cd2f664cee49e9",31,0,0,0,0,0,0
"2be064a0c49090da080054a2b5bc2f3a",3,1,2,1,0,6,0
"4688bef637f2bf68a7e984bca2ea600c",0,0,3,0,0,3,0
"c9c1481f0e9b99a221bd0cbde6b7da61",0,27,0,0,0,19,12
"3cc0077e71dca7363ebc940ce925c0eb",115,1,7,1,0,15,4
"d665ea323d74a28cac66037dcb9448d8",0,0,0,0,4,0,0
"ffdbbf6888c651b1f2e053df8456ce29",26,14,9,5,8,0,1
"b35510c01b44d5ea784c62147a395cea",0,0,8,11,0,0,0
"5c97456eb798a77e3a1d0ac533a7b46a",0,0,0,13,32,0,0
"83345fc568b1d5721933443953d40694",0,0,0,0,0,0,3
"dc4991d62007150bc709474ee4cd531d",0,0,1,0,0,0,0
"5d91e38b36d6bedd616c11ac8881883a",0,0,0,0,0,0,1
"cca9e8b608d677d71d32982d1eec415e",63,2,1,0,0,0,0
"0f354a39f062f408998fb3993d0e302c",0,11,13,22,0,2,0
"3ccebcff56205f0a2993ff129b3e1cd4",0,0,0,0,0,5,0
"1601d4b40fdc9a2425400dfbc18cc50e",0,8,4,9,0,1,0
"91e9cbe3b111ce2df4112a3c0815234e",0,0,0,1,0,1,0
"f0f569097fd93573359cad1a42b7f373",0,0,7,0,0,4,0
"23b17f6d12482386348a681809b25ef4",0,0,0,0,0,4,0
"ab42d87ec5edd8fa542c3af744a61a10",0,0,2,2,0,10,0
"ee079152ca52221e5e5d1b87bac6771d",0,1,9,0,2,2,3
"60f04344ac0df05e431fc509d8af263a",0,0,1,0,0,0,0
"9b8cc36dcecdc3007e41b63e0d838d5e",0,0,2,0,0,0,0
"50926ebf6c6fab3475f350ea2bf5f00e",0,10,0,0,0,3,0
"57c5a1d6cb60e4a6ca0b4a734534d94b",0,0,0,0,7,0,71
"55023f9fc60f4942fabb37c8bc80c36c",0,0,0,0,0,5,1
"26a4fccb4b0f6216b0f741747adfdbe6",0,0,0,0,0,1,0
"3d8be9d7174da19b76a2982015433108",0,0,0,0,0,6,0
"1d87ac9e3218feced383b59258883e47",0,2,0,0,0,10,0
"1b419592e3079dcf0296ba243becc890",0,0,0,0,0,5,0
"a9876be1ff77e49ee0e03892e90322ee",0,0,0,0,0,8,0
"880d46ebe44483f59fd9596dcc36bfbe",0,0,0,3,0,0,0
"166d5c3febc96fd1f6b6013b387f9af3",0,20,22,8,9,32,25
"50586f51130b804261d40f11705d7ebe",0,1,0,4,0,3,0
"b90b760d55a332687acfbdb05567b176",0,0,0,0,0,2,0
"472422b3d1fa4924387b525dcb1ee444",0,0,0,0,2,0,0
"53126949fa58af9d50cc76915aa2b350",0,0,0,0,2,10,2
"01f05f94aa33c059bf702a685fad9c78",6,0,0,0,2,6,0
"c2a4194161253dad491b2fc505653eea",0,0,0,1,0,0,0
"bb0e624e87e3c13252198d8d5ed5bc5f",0,0,0,0,1,0,0
"cc4e0e515d4ff4c88d843437d89671b3",0,6,0,0,0,1,15
"f8e0428c7b176f70cd4d0b95b4ff802e",0,1,3,9,3,3,1
"9caae3f94596817fb85886bcb2d4c137",0,2,0,0,0,1,0
"19b7189995565c78d23e540f79e6a683",0,0,0,0,0,5,1
"6bb38cc7a5f8e4e1534df5ee071d268e",19,0,1,0,1,2,29
"001d3be7a06b8adfe74a5ba9be719e2a",0,18,31,0,0,21,34
"e502be38c1aadb829c112b0160ab27f1",0,0,0,0,0,0,2
"0d050484a0ce1c58b86da8248af29a95",16,48,18,25,5,15,22
"e8a15bc57fc49245df29c2a9a98dec2c",0,13,0,0,0,5,0
"eadf57eabe2a62c2bfeec835451a8629",0,0,0,7,61,0,0
"3940794680b16e43b5c284ab67c8c945",0,14,26,3,12,10,23
"88da9b9c6d50adcd145013ed903c77f6",0,0,3,0,0,0,0
"bd2bf714cab418beafd5270a81d67c45",0,37,24,19,35,7,0
"db99c192d62ef46f5219de436ac87f3e",0,0,0,0,0,1,0
"7afff1af80a1baeeaaf6f0d93905c0a5",0,1,0,0,0,2,1
"f706dbf7d7c92c7bb9b34c9dafb6f564",0,0,1,0,0,0,0
"c9c9f8c6db0267ba3437aa2eaa45aa38",0,0,0,0,0,1,0
"1b2db82c6633d88af4cd4fd277d19259",0,0,7,0,2,3,1
"b56b042f0e360a2deeb3841b3a23be6c",0,0,0,0,0,9,0
"594e94b29df2a66d23843442423828cd",0,0,0,0,0,5,0
