sampleID,PD,SR,faithpd_avg,branch_length_avg,Faith_sd,branch_sd
E1.10.Poc.dami.1.20140728.T,2.413143774,22,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Poc.dami.1.20140731.M,3.885307188,33,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Poc.dami.1.20140731.S,11.07031449,103,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Poc.dami.1.20140731.T,10.29419227,64,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Poc.dami.1.20140905.S,3.184593404,43,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Sty.pist.1.20140807.M,6.08396921,58,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Sty.pist.1.20140815.M,13.3943043,100,9.928330902,87.33333333,7.484458132,54.74027052
E1.10.Sty.pist.1.20140815.T,2.075266802,38,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Fun.sp.1.20140730.M,24.21068995,143,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Fun.sp.1.20140730.T,19.33210782,131,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Fun.sp.1.20140811.M,9.895461292,58,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Fun.sp.1.20140811.S,10.89217357,102,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Fun.sp.1.20140811.T,8.897863855,42,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Lep.tran.1.20140731.M,2.535827933,33,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Lep.tran.1.20140731.S,19.77448832,118,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Lep.tran.1.20140731.T,18.88896993,108,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Psa.cont.1.20140730.M,2.35220004,31,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Psa.cont.1.20140730.S,5.431638976,44,9.928330902,87.33333333,7.484458132,54.74027052
E1.11.Psa.cont.1.20140730.TS,3.122922586,30,9.928330902,87.33333333,7.484458132,54.74027052
