"","PD","SR"
"E2_Coral Tissue",1632.190564,10
"E15_Coral Tissue",1256.245524,8
"E11_Coral Tissue",1129.608899,7
"E5_Coral Tissue",987.680611,4
"E12_Coral Tissue",796.461367,4
"E8_Coral Tissue",738.886092,2
"E9_Coral Tissue",369.443045,1
"E4_Coral Tissue",0,0
