"sample_names"	"function."	"taxon"	"taxon_abun"	"taxon_rel_abun"	"genome_function_count"	"taxon_function_abun"	"taxon_rel_function_abun"	"Class"	"Order"	"Family"	"model"	"Kingdom"	"Phylum"	"Genus"	"Species"
"24"	"1256-001-Control"	"K00075"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"25"	"1256-001-Control"	"K00077"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"26"	"1256-001-Control"	"K00088"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"27"	"1256-001-Control"	"K00099"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"28"	"1256-001-Control"	"K00104"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"29"	"1256-001-Control"	"K00108"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"30"	"1256-001-Control"	"K00111"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"31"	"1256-001-Control"	"K00116"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	2	182	3.05053836973866	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"32"	"1256-001-Control"	"K00123"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"33"	"1256-001-Control"	"K00128"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	2	182	3.05053836973866	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"34"	"1256-001-Control"	"K00130"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"35"	"1256-001-Control"	"K00133"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"36"	"1256-001-Control"	"K00134"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	2	182	3.05053836973866	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"37"	"1256-001-Control"	"K00135"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	2	182	3.05053836973866	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"38"	"1256-001-Control"	"K00138"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"39"	"1256-001-Control"	"K00145"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"40"	"1256-001-Control"	"K00158"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"41"	"1256-001-Control"	"K00161"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"42"	"1256-001-Control"	"K00162"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"43"	"1256-001-Control"	"K00164"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"44"	"1256-001-Control"	"K00166"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"45"	"1256-001-Control"	"K00167"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
